id,value
regression,266
time-series,168
anova,148
pca,103
clustering,85
logistic,81
repeated-measures,79
factor-analysis,54
correlation,47
data-visualization,47
multivariate-analysis,46
statistical-significance,44
lmer,40
lme4,39
bayesian,31
forecasting,29
simulation,25
arima,25
distributions,23
variance,23
spatial,20
glmm,19
prediction,18
dataset,17
k-means,16
binomial,15
random-forest,14
nlme,13
probability,10
weibull,10
permutation,10
aic,9
mathematical-statistics,9
microarray,9
caret,8
multicollinearity,7
normal-distribution,7
poisson,7
genetics,7
ggplot2,7
linear,7
sequence-analysis,6
sparse,6
glmer,5
latent-variable,5
analysis,5
coefficient,5
distance,5
mean,5
normalization,4
tukey-hsd,4
glmnet,4
mcmc,4
lsmeans,4
dataframe,4
covariance,4
qq-plot,4
ranking,4
igraph,3
estimation,3
gam,3
plm,3
lognormal,2
lags,2
posterior,2
median,2
matrix,2
garch,2
quantiles,2
bonferroni,2
jaccard-similarity,1
ecdf,1
function,1
histogram,1
average,1
collecting-data,1
aggregation,1
entropy,1
bernoulli-distribution,1
deviance,1
