id,value
anova,230
regression,77
repeated-measures,75
lmer,40
lme4,32
logistic,21
statistical-significance,17
nlme,10
variance,10
time-series,9
multivariate-analysis,9
aic,9
binomial,8
glmm,7
glmer,6
tukey-hsd,6
gam,4
data-visualization,4
simulation,3
permutation,3
deviance,3
mathematical-statistics,3
poisson,3
mean,3
prediction,3
multicollinearity,2
ggplot2,2
bayesian,2
lsmeans,2
analysis,2
correlation,2
dataset,2
lags,1
arima,1
linear,1
caret,1
forecasting,1
distributions,1
bonferroni,1
median,1
coefficient,1
