id,value
regression,83
time-series,78
forecasting,32
logistic,24
clustering,24
data-visualization,22
statistical-significance,20
prediction,19
random-forest,15
lmer,14
arima,14
anova,13
distributions,11
repeated-measures,10
glmm,10
lme4,9
simulation,9
probability,9
binomial,9
correlation,9
caret,8
multivariate-analysis,7
aic,7
mathematical-statistics,7
spatial,6
distance,6
nlme,6
poisson,5
average,5
ggplot2,5
normalization,4
normal-distribution,4
median,4
mean,4
dataset,4
bayesian,3
lsmeans,3
weibull,3
aggregation,3
gam,3
permutation,3
factor-analysis,3
variance,3
lognormal,2
glmer,2
glmnet,2
mcmc,2
estimation,2
dataframe,2
matrix,2
entropy,2
ranking,2
multicollinearity,1
tukey-hsd,1
function,1
latent-variable,1
package,1
sparse,1
coefficient,1
covariance,1
qq-plot,1
pca,1
k-means,1
deviance,1
linear,1
quantiles,1
plm,1
microarray,1
