id,value
logistic,322
regression,207
binomial,129
glmm,62
glmer,54
lme4,42
distributions,26
glmnet,25
statistical-significance,23
gam,22
poisson,21
lmer,21
data-visualization,20
simulation,18
probability,17
prediction,16
repeated-measures,16
time-series,14
aic,12
bayesian,11
anova,10
spatial,6
correlation,6
variance,6
multicollinearity,5
deviance,5
forecasting,5
multivariate-analysis,4
caret,4
ggplot2,4
mathematical-statistics,4
mcmc,3
estimation,3
qq-plot,3
random-forest,3
dataset,3
normal-distribution,2
package,2
lsmeans,2
bernoulli-distribution,2
permutation,2
lognormal,1
conditional-probability,1
fisher,1
tukey-hsd,1
posterior,1
coefficient,1
dataframe,1
average,1
distance,1
covariance,1
aggregation,1
genetics,1
linear,1
nlme,1
factor-analysis,1
quantiles,1
plm,1
mean,1
clustering,1
