id,value
regression,451
logistic,171
time-series,130
correlation,65
arima,53
glmnet,45
lmer,33
forecasting,32
statistical-significance,29
anova,28
data-visualization,25
lme4,24
poisson,22
simulation,20
pca,20
prediction,16
gam,16
multivariate-analysis,14
spatial,13
coefficient,13
glmer,12
multicollinearity,12
bayesian,12
estimation,11
aic,11
glmm,11
binomial,10
mathematical-statistics,10
probability,9
variance,9
ggplot2,8
plm,8
repeated-measures,7
garch,7
clustering,7
distributions,6
random-forest,6
nlme,6
caret,5
covariance,5
matrix,5
linear,5
dataset,5
weibull,4
conditional-probability,3
mcmc,3
dataframe,3
aggregation,3
permutation,3
factor-analysis,3
lognormal,2
lsmeans,2
qq-plot,2
deviance,2
ranking,2
jaccard-similarity,1
fisher,1
lags,1
normalization,1
normal-distribution,1
function,1
gaussian-process,1
package,1
posterior,1
analysis,1
sparse,1
average,1
genetics,1
bernoulli-distribution,1
bonferroni,1
mean,1
