id,value
regression,65
time-series,47
data-visualization,33
anova,31
logistic,28
forecasting,18
clustering,18
repeated-measures,16
arima,16
correlation,13
lme4,11
simulation,11
bayesian,11
dataset,11
distributions,10
pca,10
random-forest,10
spatial,9
caret,9
prediction,9
lmer,9
statistical-significance,9
matrix,7
ggplot2,6
lognormal,5
normal-distribution,5
glmnet,5
dataframe,5
permutation,5
glmer,4
mcmc,4
gam,4
k-means,4
linear,4
nlme,4
binomial,3
aic,3
weibull,3
genetics,3
barplot,3
multivariate-analysis,2
multicollinearity,2
tukey-hsd,2
normalization,2
package,2
poisson,2
lsmeans,2
sparse,2
distance,2
covariance,2
qq-plot,2
mathematical-statistics,2
factor-analysis,2
plm,2
glmm,2
mean,2
conditional-probability,1
sequence-analysis,1
posterior,1
estimation,1
histogram,1
median,1
aggregation,1
transform,1
entropy,1
bernoulli-distribution,1
deviance,1
garch,1
csv-file,1
quantiles,1
variance,1
