V1,V2,V3,Post
0.340692572,0.326431275,71414,"<p>I'm trying to use a zero-inflated gamma model (or a gamma 'hurdle' model). The model is a mixture of logistic regression and generalized linear modeling. I can do this analysis in two steps: 1) do a logistic regression against presence/absence data and then 2) Use a generalized linear model with a gamma distribution on the positive values. I'm trying to set the model up where, if y = 0, then E(y) = p, but if y > 0, then E(y) is gamma distributed.</p>

<p>I'm trying to set this up in BUGS/JAGS, because I've seen these models <a href=""http://stats.stackexchange.com/questions/15967/how-can-i-set-up-a-zero-inflated-poisson-in-jags"">worked before for poisson-distributions</a>. I tried to adapt the code from that link into a gamma distribution, but I can't quite seem to get it to work. I know the code won't work because my data have zeroes, and the likelihood function can't be evaluated with zeroes. However, even when restricted to positive values, I get errors for invalid parent values. Even so, I'm not even sure the model is specified correctly.</p>

<p>Here is the model:</p>

<pre><code># For the ones trick
C &lt;- 10000

# for every observation
for(i in 1:N){
    # log-likelihood of the observation from the gamma likelihood
    LogPos[i] &lt;- (shape[i] - 1)*log(y[i]) - y[i]/scale[i] - N*shape[i]*log(scale[i]) - N*loggam(scale[i])
    #likelihood
    Lpos[i] &lt;- exp(LogPos[i])

    # redefine the shape and rate parameters as a function of the mean and sd
    shape[i] &lt;- pow(mu[i], 2) / pow(sd, 2)
    scale[i] &lt;- mu[i] / pow(sd, 2)

    # mu is a function of MTD: use the inverse link
    #mu[i] &lt;- 1/eta[i]
    mu[i] &lt;- beta0 + beta1*MTD[i]


    # zero-inflated part, where w[i] is the probability of being zero
    w[i] &lt;- exp(zeta[i]) / (1 + exp(zeta[i]))
    zeta[i] &lt;- gamma0 + gamma1*MPD[i]

    # ones trick
    p[i] &lt;- Lpos[i] / C
    ones[i] ~ dbern(p[i])

    # Full likelihood
    Lik[i] &lt;- Lpos[i]*(1 - w[i]) + equals(y[i], 0)*w[i]
  } 

# PRIORS
beta0 ~ dnorm(0, 0.001)
beta1 ~ dnorm(0, 0.001)

gamma0 ~ dnorm(0, 0.001)
gamma1 ~ dnorm(0, 0.001)

sd ~ dunif(0, 100)
</code></pre>

<p>Has anyone set a model up like this or have any advice on how to set it up correctly?</p>

<p><strong>UPDATE</strong></p>

<p>I've tried a new set of code that's similar, but slight different. I still have not gotten it to work</p>

<pre><code>model{

  # For the ones trick
  C &lt;- 10000

  # for every observation
  for(i in 1:N){

    # make a dummy variable that is 0 if y is &lt; 0.0001 and 1 if y &gt; 0.0001. This is essentially a presence
    # absence dummy variable
    z[i] &lt;- step(y[i] - 0.0001)

    # define the logistic regression model, where w is the probability of occurance.
    # use the logistic transformation exp(z)/(1 + exp(z)), where z is a linear function
    w[i] &lt;- exp(zeta[i]) / (1 + exp(zeta[i]))
    zeta[i] &lt;- gamma0 + gamma1*MPD[i]

    # define the gamma regression model for the mean. use the log link the ensure positive, non-zero mu
    mu[i] &lt;- exp(eta[i])
    eta[i] &lt;- beta0 + beta1*MTD[i]

    # redefine the mu and sd of the continuous part into the shape and scale parameters
    shape[i] &lt;- pow(mu[i], 2) / pow(sd, 2)
    scale[i] &lt;- mu[i] / pow(sd, 2)

    # for readability, define the log-likelihood of the gamma here
    logGamma[i] &lt;- (shape[i] - 1)*log(y[i]) - y[i]/scale[i] - shape[i]*log(scale[i]) - loggam(scale[i])

    # define the total likelihood, where the likelihood is (1 - w) if y &lt; 0.0001 (z = 0) or
    # the likelihood is w * gammalik if y &gt;= 0.0001 (z = 1). So if z = 1, then the first bit must be
    # 0 and the second bit 1. Use 1 - z, which is 0 if y &gt; 0.0001 and 1 if y &lt; 0.0001
    logLik[i] &lt;- (1 - z[i]) * log(1 - w[i]) + z[i] * ( log(w[i]) + logGamma[i] )

    # Use the ones trick
    p[i] &lt;- logLik[i] / C
    ones[i] ~ dbern(p[i])
  } 

  # PRIORS
  beta0 ~ dnorm(0, 0.001)
  beta1 ~ dnorm(0, 0.001)

  gamma0 ~ dnorm(0, 0.001)
  gamma1 ~ dnorm(0, 0.001)

  sd ~ dgamma(1, 2)

}
</code></pre>

<p><strong>UPDATE 2</strong></p>

<p>I've gotten it to run by deleting the definition of logGamma[i] and putting it directly into the likelihood function, which now reads:</p>

<pre><code>logLik[i] &lt;- (1 - z[i]) * log(1 - w[i]) + z[i] * ( log(w[i]) + (shape[i] - 1)*log(y[i]) - y[i]/scale[i] - shape[i]*log(scale[i]) - loggam(scale[i]) )
</code></pre>

<p>The problem was that JAGS was trying to evaluate the log likelihood at all observations first, resulting in NA's for the 0's. In the new way, it only evaluates it if z = 1 (I think). I'm still having trouble getting the parameter estimates to line up. For example, the gamma's are almost identical to a logistic regression of the same form (hooray!). But the betas are pretty far off from a gamma GLM of the positive values. I don't know if this is normal or not, but I suspect there are still problems with my model specification.</p>
"
0.094491118,0.090535746,71417,"<p>This is a question I originally posted on r-help but it is more suited here. I will post the question and the answer I received from Dr. Winsemius and would be most grateful for any additional answers you can provide. </p>

<p>I am evaluating survival models using Brier score (“peperr”) and Harrell’s C-Index (“Hmisc”).
I am wondering:</p>

<ol>
<li><p>What would be considered a “good fit” according to these scores (like the heuristic levels we have for R square in linear regressions) ?</p></li>
<li><p>Are there any papers to cite on the matter (I couldn’t find any) ?</p></li>
<li><p>Is there any paper to cite that discusses the limitation of using traditional reporting for model fit in survival analysis as opposed to these measures  ?</p></li>
</ol>

<p>Dr. David Winsemius replied:</p>

<ol>
<li><p>Frank Harrell's excellent text ""Regression Modeling Strategies"" has an extensive discussion of ""goodness of fit"" and the principles of model comparison. It's both too involved as well as off-topic for Rhelp. The other text to consult is Steyerberg's ""Clinical Prediction Models"".</p></li>
<li><p>I predict that the RMS bibliography would be an excellent place to start your search.</p></li>
</ol>

<p>Despite getting his name attached to what he calls the 'c-index', I don't think one could call Frank Harrell a proponent of that measure or any of the ""competitors"". It's really just a dressed up/transformed AUC. The message I have taken from reading his book and listening to presentations is that one should apply biologic tests of sensibility as well as careful investigation of the functional relationships between candidate predictors and the outcomes of interest. He speaks very disparagingly about automatic procedures.</p>
"
0.231455025,0.221766381,71418,"<p>Prior CV postings on the matter of GOF measures in generalized linear models:</p>

<p><a href=""http://stats.stackexchange.com/questions/5293/find-out-pseudo-r-square-value-for-a-logistic-regression-analysis/5298#5298"">Find out pseudo R square value for a Logistic Regression analysis</a></p>

<p><a href=""http://stats.stackexchange.com/questions/3559/which-pseudo-r2-measure-is-the-one-to-report-for-logistic-regression-cox-s"">Which pseudo-$R^2$ measure is the one to report for logistic regression (Cox &amp; Snell or Nagelkerke)?</a></p>

<p><a href=""http://stats.stackexchange.com/questions/12641/addressing-model-uncertainty/"">Addressing model uncertainty</a></p>

<p><a href=""http://stats.stackexchange.com/questions/58756/compare-classifiers-based-on-auroc-or-accuracy/"">Compare classifiers based on AUROC or accuracy?</a></p>

<p>""Goodness of fit"" is an elusive notion. Any set of data can be perfectly fit with a complex, saturated model, but such a model will generally be useless despite being perfect. Application of such tests often completely ignores what the model that is being fit to. I find it rather strange that Anderson-Darling and  Kolmogorov-Smirnov tests are being called ""goodness of fit tests"" when they are really being used as ""tests of normality"".</p>

<p>Models need to be both validated and calibrated and the GOF measures generally tell you very little about those aspects. (It should be noted in passing that the 'rms' function <code>print.cph</code> also reports the Brier score along with a pseudo-R^2 and Somers-D as ""discrimination indexes"". And it does not report the c-index, perhaps because the Somers-D is equivalent and preceded it historically and Harrell is tired of people misusing it.)</p>

<p>You will note that Frank told you that your proposed strategy in an earlier rhelp posting where you proposed taking a ""best"" glmnet model and then apply stepwise forward and backward reduction was bad statistical practice. Part of the problem is that you were taking a result from a method which is optimized for prediction (penalized glmnet)  and then applying a procedure that was in all probability <em>lowering</em> its predictive capacity.</p>

<p>Your low Brier score is something I see all the time in my research. I work with large datasets where the outcomes of interest are rather rare (mortality over 5-12 years for basically healthy people). Even a good model will only be predicting a mortality rate of 4-5% for most of the people who die and the ""error rate"" remains high despite many variables being highly significant. Model comparison measures (especially the deviance) are much better guides for decision making than any of the GOF or discrimination measures.</p>
"
0.211288564,0.202444083,26721,"<p>In statistics, the study of streaming data is called <a href=""http://en.wikipedia.org/wiki/Sequential_analysis"" rel=""nofollow"">sequential analysis</a>. Machine learning has the closely related concept of <a href=""http://en.wikipedia.org/wiki/Online_machine_learning"" rel=""nofollow"">online learning</a>, the difference being an emphasis on model fitting (regression), rather than hypothesis testing. From the abstract:</p>

<blockquote>
  <p>A potential clustering with a specified number of clusters is represented by an association hypothesis. Whenever a new report arrives, a posterior distribution over all
  hypotheses is iteratively calculated from a prior distribution, an update model and a likelihood function. The update model is based on an association probability for clusters given the probability of false detection and a derived probability of an unobserved target. The likelihood of each hypothesis is derived from a cost value of associating the current report with its corresponding cluster according to the hypothesis. A set of
  hypotheses is maintained by Monte Carlo sampling. In this case, the state-space, i.e., the space of all hypotheses, is discrete with a linearly growing dimensionality over time. To lower the complexity further, hypotheses are combined if their clusters are close to each other in the observation space. Finally, for each time-step, the posterior distribution is projected into a distribution over the number of clusters.</p>
</blockquote>

<p>To understand <a href=""http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.61.2931"" rel=""nofollow"">the suggested paper</a> (<em><a href=""http://dx.doi.org/10.1109/ICIF.2005.1591845"" rel=""nofollow"">Sequential clustering with particle filtering: Estimating the number of clusters from data</a></em>), you will need to familiarize yourself with</p>

<ul>
<li><a href=""http://en.wikipedia.org/wiki/Cluster_analysis#Clustering_algorithms"" rel=""nofollow"">Clustering algorithms</a>.</li>
<li><a href=""http://en.wikipedia.org/wiki/Bayesian_inference"" rel=""nofollow"">Bayesian inference</a>. <a href=""http://videolectures.net/mlss09uk_bishop_ibi/"" rel=""nofollow"">Lecture by Christopher Bishop</a> of the <a href=""http://research.microsoft.com/~cmbishop/prml/"" rel=""nofollow"">PRML book</a></li>
<li><a href=""http://en.wikipedia.org/wiki/Particle_filter"" rel=""nofollow"">Particle filters</a>, also known as <a href=""http://en.wikipedia.org/wiki/Monte_Carlo_method"" rel=""nofollow"">sequential Monte Carlo methods</a>. Here are lectures by <a href=""http://videolectures.net/mlss09uk_godsill_pf/"" rel=""nofollow"">Simon Godsill</a>, <a href=""http://videolectures.net/nips09_doucet_freitas_smc/"" rel=""nofollow"">Arnaud Doucet &amp; Nando de Freitas</a>, and <a href=""http://videolectures.net/mlss07_doucet_smcm/"" rel=""nofollow"">Arnaud Doucet</a> of the <a href=""http://www.springer.com/statistics/physical+%26+information+science/book/978-0-387-95146-1"" rel=""nofollow"">Sequential Monte Carlo Methods in Practice</a> book.</li>
</ul>

<p>There might be easier ad hoc solutions but these are useful tools so I recommend learning them anyway.</p>
"
0.211288564,0.202444083,26769,"<p>I'm attempting to perform hierarchical agglomerative cluster analysis in R. </p>

<p>However, when I use particular clustering methods, I get reversals (upward branching) in the resulting tree, which violates the ultrametric property.</p>

<p><img src=""http://i.stack.imgur.com/WSPo2.jpg"" alt=""enter image description here""></p>

<p>The two methods are: UPGMC and WPGMC (methods=""median"" and ""centroid"" in <code>hclust</code>).  Legendre &amp; Legendre in their Numerical Ecology book suggest some reasons why this may occur (Section 8.6).  However, they provide no solutions to rectify the issue and convert the trees to ultrametric.</p>

<p>I'm curious: is this an unavoidable consequence of the data and the clustering method, or is there a way that I can produce a tree that satisfies the ultrametric property using these two methods?</p>

<p>Here is an example data set and R code to play with:</p>

<pre><code>#Generate data frame with mixed continuous and categorical trait data for 10 species
set.seed(91)
(df=data.frame(trait1=runif(10,0,10),trait2=runif(10,0,10),
               trait3=sample(letters[1:3],10,replace=T),row.names=paste(""sp"",1:10,sep="""")))

#Generate Gower dissimilarity matrix from trait data
library(cluster)
(dist.gower=daisy(df,metric=""gower""))

#Create a vector of clustering methods
tree.methods=c(""ward"",""single"",""complete"",""average"",""mcquitty"",""median"",""centroid"")  
#Build the trees using each method
trees=lapply(tree.methods,function(i) hclust(dist.gower,method=i))  
#Plot the trees
par(mfrow=c(4,2))
for(i in 1:length(trees)) {plot(trees[[i]])}
#The last two trees have reversals...cannot be converted to ultrametric!
</code></pre>
"
0.353553391,0.338753743,141053,"<p><strong>How much you can conclude depends on the assumptions</strong> you are willing to make about the underlying distribution.  Even with no assumptions, though, you can still conclude something, although it might not be a whole lot.  For example, the sample data are not plausibly consistent with an underlying distribution whose mean is $100$ and standard deviation is $10$: Chebyshev's inequality tells us these data must have extremely low likelihood in that case.</p>

<p><strong>The most general answer</strong> will be given in the form of a <a href=""http://en.wikipedia.org/wiki/Probability_box"" rel=""nofollow"">p-box</a>.  This is a simple device to describe a range of distribution functions.  It consists of two graphs, one lying above the other, which thereby determine a region $\mathcal P$ in Cartesian coordinates.  Any CDF whose graph would lie entirely within $\mathcal P$ is an element of that p-box.</p>

<p><strong>As an example,</strong> let's construct a (nonparametric) 90%-confidence p-box for the sample data, $(\lt 5, \lt 5, \lt 5, \lt 10, \lt 10, \lt 10)$.  This p-box should be as ""small as possible"" (in some sense) while containing any distribution law $F$ for which the probability of the data, given $F$, is at least $1 - 90/100 = 1/10$.  Let us (temporarily) call these the ""plausible laws.""</p>

<p>""As small as possible"" can be rigorously defined.  Let $\mathbb{P}$ be the set of all distribution functions.  Associated with any subset $\Omega\subset \mathbb{P}$ is the set $C(\Omega)$ consisting of all points $(x,y)$ such that $x$ is a real number and there exist $F,G\in \Omega$ with $F(x) \le y \le G(x)$.  Letting $\Omega$ be the set of plausible laws, we take the p-box to be $C(\Omega)$.</p>

<p>These data, which have no quantified results at all, tell us just two things about the plausible laws.  When a sample $X_1, X_2, \ldots, X_6$ is taken from such a law $F$, then (1) it should be unlikely that one or more of the $X_i$ equal $10$ or greater and (2) it should be unlikely that four or more of the $X_i$ should equal $5$ or greater.  These are binomial events governed by the parameters $p=F(10)$ and $q=F(5)$, respectively.  Interpreting ""unlikely"" as being a chance of $100-90 = 10\%$ or less, these criteria uniquely determine $p$ and $q$.</p>

<p>For these data, $p = (1/10)^{1/6} \approx 0.681$ and $q \approx 0.201$.</p>

<p>The p-box therefore contains the graphs of all distribution laws $F$ for which (1) $q \le F(5) \le 1$ and (2) $p \le F(10) \le 1$.  A part of this p-box (between $x=0$ and $x=15$) is shaded in gray:</p>

<p><img src=""http://i.stack.imgur.com/0vHBO.png"" alt=""Figure""></p>

<p>Within this p-box I have drawn the graphs of some distributions that come close to its boundary.  All three are two-parameter Exponential distributions.  The dark red one is determined by the two corners it passes through.  The other two (dashed gray ones) show a distribution with a large standard deviation and one with a small standard deviation.</p>

<p>These illustrations should make it clear that if you wished to construct a <em>parametric</em> p-box encompassing only two-parameter Exponential distributions, then it would exclude the region between the thick red curve and the lower line segment between $x=5$ and $x=10$, but it would have to include everything else.  We don't necessarily achieve a lot by making a strong parametric assumption in this example.</p>

<p><strong>What happens when the amount of data increases?</strong>  Suppose as you collect more data that all results continue to be either $\lt 5$ or $\lt 10$ and that their proportions remain roughly 1:1.  Then the value of $p$ approaches $1.0$--there can't be much of a chance of observing anything greater than $10$--and the value of $q$ approaches $1/2$, the proportion of $\lt 5$s in the population.  Making an Exponential distribution assumption allows you to conclude a little more: the chance of observing anything above $5$ grows vanishingly small, too.  Here is the situation upon observing $3000$ values of ""$\lt 5$"" and $3000$ values of ""$\lt 10$"":</p>

<p><img src=""http://i.stack.imgur.com/nJyHc.png"" alt=""Figure 2""></p>

<p>Nevertheless, there is a huge set of possible distributions consistent with such data, even when the dataset becomes enormous.  Intuitively this should be clear: for example, any distribution supported on a set of numbers less than $5$ will be consistent with such data and its graph will fit within this p-box.</p>

<p><strong>This approach to data analysis is not as powerful as, say, a Bayesian analysis.</strong>  However, it requires minimal assumptions: we only suppose that the data are identically and independently distributed.  There is no need to adopt a prior and justify your choice of it, for instance.  (Such checking is rather difficult when all the data are censored!)  If the p-box is sufficiently narrow to let you draw a firm conclusion, then you're done and you know your conclusion is extremely robust.  Otherwise, the p-box can be a useful tool to help you explore the impact of potential additional assumptions on your conclusions.</p>

<hr>

<p>Here is some <code>R</code> code to play with.</p>

<pre class=""lang-r prettyprint-override""><code>k1 &lt;- 3; k2 &lt;- 3     # Counts
x1 &lt;- 5; x2 &lt;- 10    # Quantitation limits
confidence &lt;- 90/100
#
# Find p and q.
#
x &lt;- c(rep(x1, k1), rep(x2, k2))
n &lt;- length(x)
alpha &lt;- 1 - confidence
p &lt;- uniroot(function(p) pbinom(n-1, n, p) - confidence, c(0,1))$root
    q &lt;- uniroot(function(p) pbinom(k1-1, n, p) - confidence, c(0,1))$root
#
# Plot the p-box.
#
plot(c(0, 15), c(0, 1), type=""n"", bty=""n"", xlab=""X"", ylab=""Probability"")
rect(0, 0, x1, 1, col=gray(.975), border=NA)
rect(x1, q, x2, 1, col=gray(.975), border=NA)
rect(x2, p, 15, 1, col=gray(.975), border=NA)
#
# Show a parametric solution.
#
F.inv &lt;- qexp; F &lt;- pexp            # Exponential distribution family
F.p &lt;- F.inv(p); F.q &lt;- F.inv(q)
sigma &lt;- (x2 - x1) / (F.p - F.q)    # Scale parameter
mu &lt;- x2 - sigma*F.p                # Offset parameter
curve(F((x - mu)/sigma), add=TRUE, col=""Red"", lwd=2)
f &lt;- stepfun(c(x1, x2), c(0, q, p)) # Lower limit of the p-box
plot(f, add=TRUE, verticals=FALSE)
curve(1 + 0*x, add=TRUE)            # Upper limit of the p-box
</code></pre>
"
0.133630621,0.12803688,141080,"<p>To generalize results to a greater population, a representative sample is necessary. In developing a psychometrically valid instrument, via confirmatory factor analysis or item response theory, we are interested in understanding the underlying relationships among items, and whether they measure a unified construct with sufficient accuracy and precision. When we conduct such a study, we are not interested in the resulting respondent scores; the respondents serve as a source of data to test whether the structure exists as we hypothesize.</p>

<p>I am looking for various views on whether or not it is necessary to have a representative sample to conduct such a validity study. Measurement invariance or differential item functioning - a key part of establishing validity - requires different subgroups, but having subgroups does not mean the sample overall is representative of a population. My question comes from a practical angle - oftentimes, when developing a new instrument or assessment, it can be challenging to find a representative sample to field it on without already having it validated, kind of a Catch-22. If you are going to make the case that a representative sample is not necessary, please provide citations if possible.</p>
"
0.313391585,0.3002731,141107,"<p>I will demonstrate using an AR(1) model. Consider a variable, $\left(y_{t}\right)_{t=0,1,\ldots}
 $. Then consider the AR(1) model: $y_{t}=\rho y_{t-1}+\varepsilon_{t},\quad\varepsilon_{t}\thicksim N\left(0,\,\sigma^{2}\right)
 $.</p>

<p>Solving the AR(1) model we get:$y_{t}=\rho^{t}y_{0}+\sum_{i=0}^{t-1}\rho^{i}\varepsilon_{t-i}
 $</p>

<p>where $y_{0}
 $ is the initial value of the process. Finding the variance we get: $\sigma^{2}\frac{1-\rho^{2t}}{1-\rho}
 $. Clearly this process is not stationary nor weakly mixing (hence its not ergodic since weakly mixing imlies ergodicity) as both the conditional mean and the conditional variance depend upon time. We can therefore write:$y_{t}=\rho^{t}y_{0}+\sum_{i=0}^{t-1}\rho^{i}\varepsilon_{t-i}\stackrel{D}{=}N\left(\rho^{t}y_{0},\,\sigma^{2}\frac{1-\rho^{2t}}{1-\rho^{2}}\right)
 $</p>

<p>If however the condition $\left|\rho\right|&lt;1
 $ holds then the series is stationary and weakly mixing (hence ergodic since weakly mixing implies ergodicity) and we can write it as:$y_{t}=\sum_{i=0}^{t-1}\rho^{i}\varepsilon_{t-i}\stackrel{D}{=}N\left(0,\,\sigma^{2}\frac{1}{1-\rho^{2}}\right)
 $</p>

<p>since when $\left|\rho\right|&lt;1
 $ holds then $\rho^{t}\rightarrow0
 $ exponentially fast and we have that $\rho^{t}y_{0}\rightarrow0
 $ and $\sigma^{2}\frac{1-\rho^{2t}}{1-\rho^{2}}\rightarrow\sigma^{2}\frac{1}{1-\rho^{2}}
 $ exponentially fast. To summarize, when $\left|\rho\right|&lt;1$
  and $\varepsilon_{t}$
  is normally distributed then the condition $\left|\rho\right|&lt;1$
  is enough to ensure ergodicity of both the mean and the variance. Now we know that $\left|\rho\right|&lt;1
 $ is enough to ensure stationarity and ergodicity of the AR(1) process and in order to test this we could run a unit root test on the series and see if the series had a unit root or not. Other sources of non-stationarity could be a deterministic trend, changing variance and structural breaks, all of which we could model. A unit root however needs a transformation of the data or we could use cointegration analysis if we had more than one series.</p>

<p>To illustrate I will simulate the AR(1) model: $y_{t}=y_{t-1}+\varepsilon_{t}
 $:
<img src=""http://i.stack.imgur.com/BrBwN.png"" alt=""""></p>

<p>We see that the autocorrelation function decays very slowly and from the time series graph the series does not look very stationary. Therefore we can say that clearly the assumption about stationarity and weakly mixing (hence ergodicity) does not hold when $\left|\rho\right|=1
 $. For information about the autocorrelation function see <a href=""http://en.wikipedia.org/wiki/Autocorrelation."" rel=""nofollow"">here</a>.</p>

<p>For the second illustration I will simulate the AR(2), $y_{t}=0.3y_{t-1}+0.4y_{t-1}+\varepsilon_{t}
 $ model but I will try to model it with an AR(1) model to see how the residuals look like.<img src=""http://i.stack.imgur.com/6YOe0.png"" alt=""enter image description here""></p>

<p>We see that the time series graph looks stationary and the ACF goes exponentially towards zero indicating stationarity and weakly mixing. By fitting an AR(1) model to the data we get the following model: $y_{t}=0.54y_{t-1}+\varepsilon_{t}
 $. If we now look at the residual ACF we see that they are not white noise (a martingale diff. seq. is white noise) and the portmanteu test rejects the null of no autocorrelation.<img src=""http://i.stack.imgur.com/vcCvV.png"" alt=""enter image description here""></p>

<p>If we then fit an AR(2) to the simulated data we get an estimated model of: $y_{t}=0.37y_{t-1}+0.32y_{t-1}+\varepsilon_{t}
 $. Now the residuals do look like white noise and we cannot reject the null of no autocorrelation.<img src=""http://i.stack.imgur.com/e8WJo.png"" alt=""enter image description here""></p>

<p>If this did not answer your question then let me know.</p>
"
0.192879187,0.221766381,186725,"<p>Short version: How would one be able to quantify an intervention effect in time-series analysis when the intervention decreases seasonal amplitude variation but doesn't directly effect the median?</p>

<p><a href=""https://www.dropbox.com/s/hb3g7j17igeqnoc/dat.csv?dl=0"" rel=""nofollow"">Here</a> is a link to my raw data.</p>

<p>I have a complex time-series of daily incidence numbers for a population over 7 years, totaling 2557 observations. There is a strong weekly and yearly seasonality (high incidence in winter months and low incidence in summer months). There is a baseline negative trend which is orders of magnitude smaller than the seasonality. An intervention was introduced at time = 1700. This intervention should theoretically not cause a level shift. My aim is to detect whether the intervention increases the baseline negative trend.</p>

<p>I have attempted to fit a dynamic linear regression with ARIMA errors in R using <code>auto.arima()</code> in the <code>forecast</code> package. I modeled the weekly season using a dummy variable for each weekday and the weekend. I modeled the monthly seasonality with harmonics using <code>fourier()</code> function in the <code>forecast</code> package. An the intervention effect was coded in by specifying the time index and post-intervention times as independent variables using the methods described in <a href=""http://isites.harvard.edu/fs/docs/icb.topic79832.files/L06_Program_Evaluation_2/Segmented_Regression.Wagner.2002.pdf"" rel=""nofollow"">Segmented regression analysis of interrupted time series studies in medication use research</a>. With these variables specified <code>auto.arima()</code> suggests an ARMA(7,7) process. The coefficients for baseline trend and post-intervention trend are however non-significant.  </p>

<p>I am concerned that by using fourier terms to model away the seasonality I am artificially removing any intervention effect, as visual analysis of the time series indicates that the intervention is specifically decreasing incidence during the winter months and therefore reducing the yearly seasonal variability. </p>
"
0.211288564,0.202444083,140465,"<p>I have just tried two ways to perform a linear discriminant analysis.</p>

<p><strong>Mode 1</strong></p>

<p>This is the data, divided in two tables (printed from screen using R commander):
<img src=""http://i.stack.imgur.com/V43Qx.png"" alt=""enter image description here"">
<img src=""http://i.stack.imgur.com/72LJJ.png"" alt=""enter image description here""></p>

<p>They belong respectively to the two already known groups.</p>

<p>I ran the next code to get the coefficients and critic value of the function:</p>

<pre><code>m1=cov.wt(Craneos1)$center
    m1=data.matrix(m1)
    m2=cov.wt(Craneos2)$center
m2=data.matrix(m2)
D=((nrow(Craneos1)-1)*var(Craneos1)+(nrow(Craneos2)-1)*var(Craneos2))/30
d=solve(D)%*%(m1-m2)
d # Estos son los coeficientes de la función
0.5*t(m1+m2)%*%d # Este es el punto crítico
</code></pre>

<p>I get the next results:</p>

<pre><code>&gt; d # Coefficients of the discriminant analysis
           [,1]
x1 -0.089306662
x2  0.155774683
x3  0.005231617
x4 -0.177194601
x5 -0.177408670

&gt; 0.5*t(m1+m2)%*%d # Este es el punto crítico
          [,1]
[1,] -30.46349
</code></pre>

<p>These results are exactly the same as those ones that appeared in a book I am studying.</p>

<p><strong>Mode 2</strong></p>

<p>I reordered the last two tables into only one with the first column as a factor:
<img src=""http://i.stack.imgur.com/sXAk6.png"" alt=""enter image description here""></p>

<p>In this case, I used the function <strong>lda</strong> (from the package MASS), since it has been widely used in examples on internet.</p>

<p>I ran the next command:</p>

<pre><code>lda(group~.,data=Datos)
</code></pre>

<p>Which displayed the next results:</p>

<pre><code>&gt; lda(group~.,data=Datos)
Call:
lda(group ~ ., data = Datos)

Prior probabilities of groups:
CRANEOS1 CRANEOS2 
 0.53125  0.46875 

Group means:
               X1       X2       X3       X4       X5
CRANEOS1 174.8235 139.3529 132.0000 69.82353 130.3529
CRANEOS2 185.7333 138.7333 134.7667 76.46667 137.5000

Coefficients of linear discriminants:
            LD1
X1  0.047726591
X2 -0.083247929
X3 -0.002795841
X4  0.094695000
X5  0.094809401
</code></pre>

<p>My questions are:</p>

<p>Is there anything wrong in the code displayed above? </p>

<p>Why are the both coefficients different depending on the mode used? </p>

<p>Which of them must be more reliable? </p>

<p>How can I get the critic value using the Mode 2?</p>
"
