id,value
regression,56
time-series,54
logistic,38
poisson,17
data-visualization,17
forecasting,14
prediction,13
probability,11
simulation,9
random-forest,9
binomial,8
arima,8
statistical-significance,8
distributions,7
weibull,7
lme4,6
anova,6
bayesian,6
repeated-measures,6
clustering,5
conditional-probability,4
caret,4
correlation,4
pca,4
glmm,4
spatial,3
estimation,3
ggplot2,3
lmer,3
mathematical-statistics,3
dataset,3
ecdf,2
sequence-analysis,2
normal-distribution,2
glmnet,2
mcmc,2
histogram,2
aggregation,2
matrix,2
gam,2
k-means,2
permutation,2
lognormal,1
glmer,1
fisher,1
multivariate-analysis,1
multicollinearity,1
package,1
sparse,1
coefficient,1
aic,1
average,1
genetics,1
deviance,1
linear,1
nlme,1
quantiles,1
variance,1
mean,1
