id,value
gam,86
regression,63
time-series,36
distributions,34
bayesian,25
logistic,19
forecasting,15
simulation,14
probability,12
lme4,11
data-visualization,10
poisson,9
prediction,8
glmm,8
binomial,7
lmer,7
garch,7
anova,6
estimation,6
correlation,6
ggplot2,6
mathematical-statistics,6
normal-distribution,5
spatial,5
mcmc,5
weibull,5
arima,5
clustering,5
lognormal,4
multivariate-analysis,4
repeated-measures,4
variance,4
gaussian-process,3
statistical-significance,3
quantiles,3
dataset,3
caret,2
plm,2
glmer,1
ecdf,1
tukey-hsd,1
function,1
glmnet,1
lsmeans,1
dataframe,1
distance,1
aggregation,1
qq-plot,1
pca,1
bernoulli-distribution,1
deviance,1
random-forest,1
factor-analysis,1
mean,1
