id,value
ggplot2,55
data-visualization,37
regression,32
time-series,15
logistic,10
anova,7
pca,7
caret,7
distributions,7
lme4,6
lmer,6
gam,5
correlation,5
repeated-measures,4
spatial,4
multivariate-analysis,3
statistical-significance,3
random-forest,3
nlme,3
prediction,3
covariance,2
qq-plot,2
k-means,2
gaussian-process,2
mean,2
clustering,2
lognormal,1
simulation,1
normal-distribution,1
barplot,1
glmnet,1
arima,1
bayesian,1
package,1
linear,1
probability,1
mathematical-statistics,1
forecasting,1
poisson,1
binomial,1
lsmeans,1
glmm,1
variance,1
dataset,1
