id,value
regression,786
time-series,130
logistic,107
lmer,90
lme4,77
anova,77
glmm,50
correlation,46
data-visualization,40
multicollinearity,39
repeated-measures,38
prediction,33
linear,29
pca,28
bayesian,27
glmer,26
binomial,26
forecasting,26
nlme,25
variance,25
arima,24
statistical-significance,24
random-forest,24
multivariate-analysis,23
glmnet,22
gam,22
ggplot2,18
simulation,16
poisson,14
distributions,13
normal-distribution,12
spatial,12
matrix,12
clustering,12
estimation,11
caret,10
lsmeans,10
qq-plot,10
mathematical-statistics,10
mcmc,9
aic,9
covariance,9
dataset,8
lognormal,6
normalization,6
probability,6
lags,5
coefficient,5
permutation,5
deviance,5
factor-analysis,5
plm,5
sparse,4
tukey-hsd,3
weibull,3
dataframe,3
bonferroni,3
mean,3
ranking,3
conditional-probability,2
package,2
histogram,2
median,2
distance,2
genetics,2
garch,2
quantiles,2
igraph,1
fisher,1
ecdf,1
function,1
gaussian-process,1
aggregation,1
transform,1
entropy,1
k-means,1
bernoulli-distribution,1
curves,1
microarray,1
