id,value
lmer,282
lme4,197
glmm,81
glmer,74
repeated-measures,69
regression,66
logistic,41
anova,40
binomial,24
lsmeans,16
poisson,13
nlme,12
aic,11
statistical-significance,10
variance,7
time-series,6
bayesian,6
correlation,6
prediction,6
linear,5
data-visualization,5
simulation,4
qq-plot,4
mcmc,4
matrix,3
multivariate-analysis,3
gam,3
tukey-hsd,3
normal-distribution,3
probability,3
distributions,3
pca,2
multicollinearity,2
ggplot2,2
normalization,2
coefficient,2
dataframe,2
covariance,1
plm,1
weibull,1
