id,value
regression,462
time-series,278
anova,167
clustering,139
logistic,125
arima,110
forecasting,108
distributions,96
data-visualization,89
simulation,87
lmer,86
normal-distribution,76
statistical-significance,70
pca,68
k-means,67
correlation,65
bayesian,62
repeated-measures,61
random-forest,55
lme4,50
prediction,50
poisson,39
binomial,38
variance,38
mean,38
probability,36
garch,35
glmm,33
estimation,31
glmnet,27
mcmc,27
caret,26
multivariate-analysis,24
lsmeans,24
mathematical-statistics,23
factor-analysis,23
lognormal,22
spatial,21
aic,21
gam,21
glmer,20
nlme,20
ggplot2,18
quantiles,18
dataset,17
matrix,15
median,14
permutation,13
distance,12
tukey-hsd,11
histogram,10
covariance,10
qq-plot,10
normalization,9
package,9
linear,9
sparse,8
posterior,7
weibull,7
multicollinearity,6
ranking,6
gaussian-process,5
coefficient,5
lags,4
deviance,4
conditional-probability,3
latent-variable,3
analysis,3
dataframe,3
average,3
aggregation,3
bernoulli-distribution,3
plm,3
sequence-analysis,2
function,2
genetics,2
entropy,2
bonferroni,2
microarray,2
fisher,1
ecdf,1
collecting-data,1
