id,value
median,22
regression,19
time-series,13
distributions,12
data-visualization,12
simulation,11
anova,9
mean,8
statistical-significance,7
clustering,6
bayesian,5
quantiles,5
permutation,4
ggplot2,3
arima,3
forecasting,3
prediction,3
lme4,2
repeated-measures,2
pca,2
normal-distribution,2
spatial,2
caret,2
probability,2
poisson,2
estimation,2
microarray,2
logistic,2
correlation,2
variance,2
weibull,2
ranking,2
dataset,2
lognormal,1
aggregation,1
ecdf,1
multivariate-analysis,1
genetics,1
glmnet,1
package,1
random-forest,1
nlme,1
posterior,1
analysis,1
factor-analysis,1
histogram,1
