id,value
regression,435
time-series,388
forecasting,178
logistic,169
random-forest,145
caret,118
clustering,113
anova,105
arima,105
data-visualization,101
lmer,92
lme4,88
distributions,72
bayesian,70
repeated-measures,68
prediction,59
multivariate-analysis,56
pca,56
glmm,50
glmnet,48
garch,47
simulation,45
correlation,44
gam,39
spatial,36
nlme,35
factor-analysis,31
variance,31
mcmc,30
package,30
aic,30
statistical-significance,30
probability,29
estimation,28
normal-distribution,27
poisson,27
binomial,25
permutation,22
ggplot2,21
weibull,19
matrix,18
plm,16
glmer,15
sparse,15
mathematical-statistics,15
quantiles,15
dataset,15
distance,13
multicollinearity,12
lognormal,11
lsmeans,11
tukey-hsd,9
igraph,8
gaussian-process,8
k-means,8
covariance,7
entropy,7
microarray,7
ranking,7
lags,6
sequence-analysis,6
normalization,6
coefficient,6
genetics,6
linear,6
latent-variable,5
qq-plot,5
mean,5
posterior,4
dataframe,4
conditional-probability,3
median,3
ecdf,2
function,2
aggregation,2
transform,2
bernoulli-distribution,2
deviance,2
bonferroni,2
jaccard-similarity,1
analysis,1
histogram,1
average,1
curves,1
dispersion,1
