id,value
poisson,87
regression,51
glmm,37
lme4,21
distributions,20
glmer,13
lmer,12
anova,7
simulation,6
prediction,6
data-visualization,6
time-series,5
multivariate-analysis,5
gam,5
mcmc,5
bayesian,5
lsmeans,4
aic,4
repeated-measures,3
aggregation,3
deviance,3
statistical-significance,3
binomial,3
logistic,3
mathematical-statistics,2
correlation,2
lognormal,1
matrix,1
qq-plot,1
ggplot2,1
multicollinearity,1
normal-distribution,1
spatial,1
glmnet,1
arima,1
caret,1
garch,1
probability,1
estimation,1
variance,1
mean,1
weibull,1
