id,value
logistic,104
probability,102
regression,84
distributions,65
binomial,42
bayesian,35
prediction,22
random-forest,22
data-visualization,21
simulation,20
time-series,19
poisson,15
statistical-significance,14
conditional-probability,12
normal-distribution,11
mathematical-statistics,10
clustering,10
estimation,8
lme4,7
glmm,7
multivariate-analysis,6
weibull,6
gam,6
ggplot2,6
lmer,6
caret,5
posterior,5
forecasting,5
quantiles,5
latent-variable,4
qq-plot,4
permutation,4
dataset,4
lognormal,3
anova,3
glmer,3
ecdf,3
glmnet,3
histogram,3
correlation,3
repeated-measures,3
genetics,3
bernoulli-distribution,3
variance,3
mcmc,2
distance,2
pca,2
k-means,2
bonferroni,2
normalization,1
tukey-hsd,1
sparse,1
aic,1
linear,1
nlme,1
microarray,1
mean,1
