id,value
regression,49
logistic,30
ranking,23
correlation,12
statistical-significance,11
lmer,10
time-series,9
repeated-measures,9
lme4,8
caret,8
distributions,8
quantiles,8
anova,6
aic,6
random-forest,6
data-visualization,5
prediction,4
matrix,4
pca,4
permutation,4
clustering,4
igraph,3
glmer,3
multicollinearity,3
ggplot2,3
glmm,3
simulation,2
normalization,2
glmnet,2
bayesian,2
poisson,2
analysis,2
estimation,2
median,2
distance,2
covariance,2
nlme,2
mathematical-statistics,2
factor-analysis,2
mean,2
multivariate-analysis,1
tukey-hsd,1
normal-distribution,1
spatial,1
package,1
binomial,1
aggregation,1
gam,1
genetics,1
k-means,1
linear,1
garch,1
forecasting,1
microarray,1
variance,1
dataset,1
