id,value
regression,1386
logistic,512
time-series,251
forecasting,88
arima,79
anova,72
prediction,67
random-forest,66
data-visualization,61
statistical-significance,56
glmnet,50
multivariate-analysis,49
poisson,45
correlation,37
simulation,35
pca,35
bayesian,34
lmer,31
lme4,29
multicollinearity,27
caret,25
repeated-measures,24
binomial,20
spatial,19
probability,19
distributions,18
glmm,18
aic,17
linear,17
estimation,16
ggplot2,16
plm,15
variance,15
dataset,15
gam,14
garch,14
mathematical-statistics,14
factor-analysis,14
normal-distribution,12
weibull,11
deviance,10
clustering,10
glmer,9
mcmc,8
covariance,8
package,7
sparse,7
lognormal,6
lags,6
matrix,6
permutation,6
normalization,5
gaussian-process,5
qq-plot,4
quantiles,4
conditional-probability,3
latent-variable,3
dataframe,3
aggregation,3
genetics,3
nlme,3
mean,3
posterior,2
median,2
coefficient,2
ranking,2
igraph,1
fisher,1
function,1
lsmeans,1
analysis,1
histogram,1
average,1
transform,1
bernoulli-distribution,1
