id,value
statistical-significance,260
regression,37
logistic,17
anova,16
time-series,12
correlation,12
mathematical-statistics,11
distributions,7
binomial,6
random-forest,4
ranking,4
repeated-measures,3
pca,3
multivariate-analysis,3
normal-distribution,3
lmer,3
permutation,3
garch,3
forecasting,3
variance,3
lme4,2
simulation,2
bayesian,2
probability,2
poisson,2
glmm,2
mean,2
data-visualization,2
clustering,2
dataset,2
ecdf,1
entropy,1
multicollinearity,1
tukey-hsd,1
arima,1
factor-analysis,1
estimation,1
microarray,1
coefficient,1
aic,1
