id,value
regression,126
time-series,68
logistic,38
arima,26
forecasting,25
distributions,24
anova,22
normal-distribution,20
clustering,18
pca,17
lmer,16
multivariate-analysis,15
lme4,14
data-visualization,14
simulation,13
correlation,13
gam,12
lognormal,11
repeated-measures,11
normalization,10
binomial,9
prediction,9
glmm,9
glmer,8
caret,8
poisson,7
random-forest,7
aic,6
linear,6
bayesian,5
estimation,5
multicollinearity,4
weibull,4
statistical-significance,4
spatial,3
mcmc,3
probability,3
coefficient,3
dataframe,3
ggplot2,3
mathematical-statistics,3
factor-analysis,3
plm,3
conditional-probability,2
glmnet,2
lsmeans,2
distance,2
covariance,2
qq-plot,2
matrix,2
genetics,2
k-means,2
permutation,2
nlme,2
variance,2
dataset,2
lags,1
sequence-analysis,1
function,1
latent-variable,1
package,1
posterior,1
analysis,1
sparse,1
transform,1
barplot,1
bernoulli-distribution,1
garch,1
curves,1
microarray,1
ranking,1
