id,value
regression,159
variance,98
pca,70
time-series,67
anova,65
lme4,53
lmer,47
simulation,33
correlation,32
bayesian,29
covariance,29
garch,29
multivariate-analysis,28
repeated-measures,28
distributions,24
logistic,23
statistical-significance,22
nlme,19
glmm,19
normal-distribution,17
data-visualization,15
clustering,15
factor-analysis,14
estimation,13
prediction,13
arima,13
forecasting,12
spatial,11
poisson,11
binomial,11
random-forest,10
glmer,9
gam,9
mathematical-statistics,9
mcmc,8
caret,8
k-means,7
gaussian-process,6
probability,6
matrix,6
posterior,5
distance,5
ggplot2,5
mean,5
lognormal,4
multicollinearity,4
latent-variable,4
analysis,4
aic,4
glmnet,3
genetics,3
permutation,3
linear,3
package,2
lsmeans,2
median,2
quantiles,2
plm,2
ranking,2
conditional-probability,1
lags,1
sequence-analysis,1
normalization,1
coefficient,1
weibull,1
dataframe,1
qq-plot,1
bernoulli-distribution,1
deviance,1
microarray,1
dataset,1
