"V1","V2","V3","V4"
"NaN","NaN","  1866","<p>Following to the recent questions we had <a href=""http://stats.stackexchange.com/questions/1818/how-to-determine-the-sample-size-needed-for-repeated-measurement-anova/1823#1823"">here</a>.</p>

<p>I was hopping to know if anyone had come across or can share <strong>R code for performing a custom power analysis based on simulation for a linear model?</strong></p>

<p>Later I would obviously like to extend it to more complex models, but lm seems to right place to start. Thanks.</p>
"
"0.0821541921922785","0.107724577173552","  2104","<p>Thank you for reading. I am trying to get sphericity values for a purely within subject design. I have been unable to use ezANOVA, or Anova(). Anova works if I add a between subject factor, but I have been unable to get sphericity for a purely within subject design. Any advice?</p>

<p>I already read the R newsletter, fox chapter appendix, EZanova, and whatever I could find online.</p>

<p>My original ANOVA</p>

<pre><code>anova(aov(resp ~ sucrose*citral, random =~1 | subject, data = p12bl, subset = exps==1)) 
anova(aov(resp ~ sucrose*citral, random =~1 | subject/sucrose*citral, data = p12bl, subset = exps==1))

&gt; str(subset(p12bl, exps==1))
'data.frame':   192 obs. of  12 variables:
 $ exps     : int  1 1 1 1 1 1 1 1 1 1 ...
 $ Order    : int  1 1 1 1 1 1 1 1 1 1 ...
 $ threshold: Factor w/ 2 levels "" Suprathreshold"",..: 1 1 1 1 1 1 1 1 1 1 ...
 $ SET      : Factor w/ 2 levels "" A"","" B"": 1 1 1 1 1 1 1 1 1 1 ...
 $ subject  : Factor w/ 16 levels ""1"",""2"",""3"",""4"",..: 1 2 3 4 5 6 7 8 9 10 ...
 $ stim     : chr  ""S1C1"" ""S1C1"" ""S1C1"" ""S1C1"" ...
 $ resp     : num  6.01 5.63 0 2.57 6.81 ...
 $ id       : int  1 2 3 4 5 6 7 8 9 10 ...
 $ X1       : Factor w/ 1 level ""S"": 1 1 1 1 1 1 1 1 1 1 ...
 $ sucrose  : Factor w/ 4 levels ""1"",""2"",""3"",""4"": 1 1 1 1 1 1 1 1 1 1 ...
 $ X3       : Factor w/ 1 level ""C"": 1 1 1 1 1 1 1 1 1 1 ...
 $ citral   : Factor w/ 4 levels ""1"",""2"",""3"",""4"": 1 1 1 1 1 1 1 1 1 1 ...

subset(p12b,exps==1)
   exps Order       threshold SET observ S1C1 S1C2 S1C3 S1C4 S2C1 S2C2 S2C3 S2C4 S3C1 S3C2 S3C3 S3C4 S4C1 S4C2 S4C3 S4C4
1     1     1  Suprathreshold   A      1  6.0  7.1  7.5  8.6 15.0 15.4 15.0 13.1 16.9   13 13.1 16.5   24   16   21   20
2     1     1  Suprathreshold   A      2  5.6  0.8  4.0  5.6  5.6 11.3 12.9 14.5 18.5   15 12.9 14.5   24   26   29   28
3     1     1  Suprathreshold   A      3  0.0  0.0  1.7  0.0  5.0  8.4  8.4  5.0 11.7   20 18.5 16.8   29   37   37   30
4     1     1  Suprathreshold   A      4  2.6  3.3  9.1 16.3  5.4 10.0  9.6 16.8 13.5   12 22.2 23.1   19   20   22   23
5     1     1  Suprathreshold   A      5  6.8  5.3 15.4 14.5 11.5  8.3 14.5 14.2  8.9   17 11.2 15.1   24   23   19   19
6     1     1  Suprathreshold   A      6  2.6  2.8  2.6  5.2 13.4 15.6 13.7 13.0 13.7   15 16.0 18.9   22   24   25   25
7     1     1  Suprathreshold   A      7  1.3  5.8 10.2  9.8 11.9 12.3 17.7 16.7 11.4   19 19.2 21.1   16   19   18   19
8     1     1  Suprathreshold   A      8  2.0  5.6  3.9  2.0  4.9  5.2  7.5  4.9 20.2   21  8.2  9.5   30   26   32   45
9     1     1  Suprathreshold   A      9  9.4 11.3 11.7 12.1 14.7 13.8 12.6 14.9 15.2   15 15.9 13.9   17   18   15   18
10    1     1  Suprathreshold   A     10  4.5 17.8 18.5 21.6  5.8 10.9 17.0 20.2  6.6   10 17.8 18.7   12   12   16   19
11    1     1  Suprathreshold   A     11  9.8 13.0 16.1 18.0 10.5 11.6 15.4 17.3 10.1   14 15.2 16.7   13   15   15   17
12    1     1  Suprathreshold   A     12  9.6 10.4 13.3 11.3 12.1 12.6 13.6 13.6 14.9   16 15.1 16.3   16   18   18   17
</code></pre>

<p>Sample output</p>

<pre><code>ezANOVA( data = subset(p12bl, exps==1)  , dv= .(resp), sid = .(observ), within = .(sucrose,citral), between = NULL, collapse_within = FALSE)
Note: model has only an intercept; equivalent type-III tests substituted.
$ANOVA
          Effect DFn DFd  SSn  SSd     F       p p&lt;.05   pes
1        sucrose   3  33 4953 3263 16.70 9.0e-07     * 0.603
2         citral   3  33  410  553  8.16 3.3e-04     * 0.426
3 sucrose:citral   9  99   56  791  0.77 6.4e-01       0.066
</code></pre>

<p>Warning messages:
1: You have removed one or more Ss from the analysis. Refactoring ""observ"" for ANOVA. 
2: Too few Ss for Anova(), reverting to aov(). See ""Warning"" section of the help on ezANOVA. </p>
"
"0.0642824346533225","0.0655590899062897","  2290","<p>This is a follow-up to the <a href=""http://stats.stackexchange.com/questions/1818/how-to-determine-the-sample-size-needed-for-repeated-measurement-anova"">repeated measures sample size</a> question.</p>

<p>I am planning a repeated measures experiment. We record energy usage for 12 months, then give (a randomly assigned) half of the customers continuous information about their energy usage (perform the treatment), and record their energy usage for another 12 months. A similar study performed in the past showed a 5% reduction in energy usage.</p>

<p>I want to estimate the required sample size using $\alpha=0.05, \beta=0.1$. G*Power 3 has a tool for repeated measures power analysis. However, it requires two inputs that I am not entirely familiar with:</p>

<ul>
<li>$\lambda$ - the noncentrality parameter (How do I estimate this?)</li>
<li>$f$ - the effect size (I believe that this is the square root of Cohen's $f^2$)</li>
</ul>

<p>According to Wikipedia's effect size page:</p>

<blockquote>
  <p>Cohen's $f^2= {R^2_{AB} - R^2_A \over 1 - R^2_{AB}}$ where $R^2_A$ is the variance accounted for by a set of one or more independent variables $A$, and $R^2_{AB}$ is the combined variance accounted for by $A$ and another set of one or more independent variables $B$.</p>
</blockquote>

<p>However, my expected 5% change in energy consumption does not tell me how much variability will be explained. Is there any way to make this conversion?</p>

<p>If you know of a way to do this power analysis in R, I would love to hear it. I am planning to simulate some data and try using lmer from the lme4 package.</p>
"
"0.123091490979333","0.125536099672233","  3874","<p>I have data from patients treated with 2 different kinds of treatments during surgery.
I need to analyze its effect on heart rate. 
The heart rate measurement is taken every 15 minutes. </p>

<p>Given that the surgery length can be different for each patient, each patient can have between 7 and 10 heart rate measurements. 
So an unbalanced design should be used. 
I'm doing my analysis using R. And have been using the ez package to do repeated measure mixed effect ANOVA. But I do not know how to analyse unbalanced data. Can anyone help?</p>

<p>Suggestions on how to analyze the data are also welcomed.</p>

<p>Update:<br>
As suggested, I fitted the data using the <code>lmer</code> function and found that the best model is:</p>

<pre><code>heart.rate~ time + treatment + (1|id) + (0+time|id) + (0+treatment|time)
</code></pre>

<p>with the following result:</p>

<pre><code>Random effects:
 Groups   Name        Variance   Std.Dev. Corr   
 id       time        0.00037139 0.019271        
 id       (Intercept) 9.77814104 3.127002        
 time     treat0      0.09981062 0.315928        
          treat1      1.82667634 1.351546 -0.504 
 Residual             2.70163305 1.643665        
Number of obs: 378, groups: subj, 60; time, 9

Fixed effects:
             Estimate Std. Error t value
(Intercept) 72.786396   0.649285  112.10
time         0.040714   0.005378    7.57
treat1       2.209312   1.040471    2.12

Correlation of Fixed Effects:
       (Intr) time  
time   -0.302       
treat1 -0.575 -0.121
</code></pre>

<p>Now I'm lost at interpreting the result. 
Am I right in concluding that the two treatments differed in affecting heart rate? What does the correlation of -504 between treat0 and treat1 means?</p>
"
"0.0524863881081478","0.0535287727572189","  4544","<p>Please provide R code which allows one to conduct a between-subjects ANOVA with -3, -1, 1, 3 contrasts.  I understand there is a debate regarding the appropriate Sum of Squares (SS) type for such an analysis.  However, as the default type of SS used in SAS and SPSS (Type III) is considered the standard in my area.  Thus I would like the results of this analysis to match perfectly what is generated by those statistics programs.  To be accepted an answer must directly call aov(), but other answers may be voted up (espeically if they are easy to understand/use).</p>

<pre><code>sample.data &lt;- data.frame(IV=rep(1:4,each=20),DV=rep(c(-3,-3,1,3),each=20)+rnorm(80))
</code></pre>

<p><strong>Edit:</strong> Please note, the contrast I am requesting is not a simple linear or polynomial contrast but is a contrast derived by a theoretical prediction, i.e. the type of contrasts discussed by Rosenthal and Rosnow.</p>
"
"0.104972776216296","0.0936753523251331","  5817","<p>I want to know if a covariate for each subject interacts with three types of trials, and the difficulty of those trials. My dependent measures are accuracy and response times (RT). For this question, Iâ€™d like to focus on RTs. Traditionally, people in my field have dichotomized the covariate of interest and used ANOVAs for analysis. I would like to treat the covariate as the continuous variable it is, and treat the subjects as random effects. I want to analyze this using mixed-models in <code>R</code> (<code>nlme</code>).</p>

<p>The first 2 trial types can be either easy or hard and the third trial type is a combination of the first 2. These trials can be easy-easy, easy-hard, hard-easy, hard-hard.</p>

<p>I expect people who have higher scores on the covariate to show a smaller difference between hard and easy RTs for at least 1 trial type.</p>

<p>This is a repeated-measures design with each subject completing 3 blocks of 40 trials of each of the trial types (for trialtypes 1 &amp; 2: 20 easy, 20 hard; for trialtype3, 10 easy-easy, 10 easy-hard, 10 hard-hard, 10 hard-easy). Stated differently, each subject completes 3 blocks of 120 trials with the various trialtypes randomly ordered. </p>

<p>Only RTs for correct trials will be analyzed (resulting in an unbalanced design for RT data). Besides a counter-balancing of response keys, this is a completely within-subjects design.</p>

<p>To summarize, what is the model (or models) that will allow me to test for interactions between trialtypes, difficulty, and the covariate using <code>nlme</code> in <code>R</code>? </p>
"
"0.123521130997592","0.136472128413867","  6865","<p>How can I test effects in a Split-Plot ANOVA using suitable model comparisons for use with the <code>X</code> and <code>M</code> arguments of <code>anova.mlm()</code> in R? I'm familiar with <code>?anova.mlm</code> and Dalgaard (2007)[1]. Unfortunately it only brushes Split-Plot Designs. Doing this in a fully randomized design with two within-subjects factors:</p>

<pre><code>N  &lt;- 20  # 20 subjects total
P  &lt;- 3   # levels within-factor 1
Q  &lt;- 3   # levels within-factor 2
DV &lt;- matrix(rnorm(N* P*Q), ncol=P*Q)           # random data in wide format
id &lt;- expand.grid(IVw1=gl(P, 1), IVw2=gl(Q, 1)) # intra-subjects layout of data matrix

library(car)        # for Anova()
fitA &lt;- lm(DV ~ 1)  # between-subjects design: here no between factor
resA &lt;- Anova(fitA, idata=id, idesign=~IVw1*IVw2)
summary(resA, multivariate=FALSE, univariate=TRUE)  # all tests ...
</code></pre>

<p>The following model comparisons lead to the same results. The restricted model doesn't include the effect in question but all other effects of the same order or lower, the full model adds the effect in question.</p>

<pre><code>anova(fitA, idata=id, M=~IVw1 + IVw2, X=~IVw2, test=""Spherical"") # IVw1
anova(fitA, idata=id, M=~IVw1 + IVw2, X=~IVw1, test=""Spherical"") # IVw2
anova(fitA, idata=id, M=~IVw1 + IVw2 + IVw1:IVw2,
                      X=~IVw1 + IVw2, test=""Spherical"")          # IVw1:IVw2
</code></pre>

<p>A Split-Splot design with one within and one between-subjects factor:</p>

<pre><code>idB  &lt;- subset(id, IVw2==1, select=""IVw1"")          # use only first within factor
IVb  &lt;- gl(2, 10, labels=c(""A"", ""B""))               # between-subjects factor
fitB &lt;- lm(DV[ , 1:P] ~ IVb)                        # between-subjects design
resB &lt;- Anova(fitB, idata=idB, idesign=~IVw1)
summary(resB, multivariate=FALSE, univariate=TRUE)  # all tests ...
</code></pre>

<p>These are the <code>anova()</code> commands to replicate the tests, but I don't know why they work. <strong>Why do the tests of the following model comparisons lead to the same results?</strong></p>

<pre><code>anova(fitB, idata=idB, X=~1, test=""Spherical"") # IVw1, IVw1:IVb
anova(fitB, idata=idB, M=~1, test=""Spherical"") # IVb
</code></pre>

<p>Two within-subjects factors and one between-subjects factor:</p>

<pre><code>fitC &lt;- lm(DV ~ IVb)  # between-subjects design
resC &lt;- Anova(fitC, idata=id, idesign=~IVw1*IVw2)
summary(resC, multivariate=FALSE, univariate=TRUE)  # all tests ...
</code></pre>

<p><strong>How do I replicate the results given above with the corresponding model comparisons for use with the <code>X</code> and <code>M</code> arguments of <code>anova.mlm()</code>? What is the logic behind these model comparisons?</strong></p>

<p>EDIT: suncoolsu pointed out that for all practical purposes, data from these designs should be analyzed using mixed models. However, I'd still like to understand how to replicate the results of <code>summary(Anova())</code> with <code>anova.mlm(..., X=?, M=?)</code>.</p>

<p>[1]: <a href=""http://lib.stat.cmu.edu/R/CRAN/doc/Rnews/Rnews_2007-2.pdf"">Dalgaard, P. 2007. New Functions for Multivariate Analysis. R News, 7(2), 2-7.</a></p>
"
"0.161976510249954","0.15693371016017","  7675","<p>An experiment I conducted recently used a 2 (between participants) x 3 (within participants) design. That is, participants were randomly allocated to one of two conditions, and then completed three similar tasks each (in a counterbalanced order). </p>

<p>In each of these tasks, participants made binary choices (2AFC) in a number of trials, each of which had a normatively correct answer. <br />
In every trial, participants were presented a distractor, which was assumed to bias responses towards one of the alternatives. The tasks differed only in presence and magnitude of this distractor (i.e. no distractor vs. distractor of small and large magnitude).</p>

<p>I would like to examine the error rates (deviations from the normatively correct answer) across these conditions. I hypothesize that the error rate will increase when a distractor is present, but will not increase further when the magnitude of the distractor is increased. Also, I expect this increase to differ between the between-subjects conditions. The latter interaction is the central interest.</p>

<p>From <a href=""http://stats.stackexchange.com/questions/3874/unbalanced-mixed-effect-anova-for-repeated-measures"">discussions here</a> and from the literature (Dixon, 2008; Jaeger, 2008), I gather that logit mixed-models are the appropriate analysis method, and that, in R, the <a href=""http://lme4.r-forge.r-project.org/"" rel=""nofollow"">lme4 package</a> is the tool of choice. <br />
While I could compute some basic analyses (e.g. random intercept model, random effects ANCOVA) with lme4, I am stuck as to how to apply the models to the design in question -- I have the feeling that I am very much thinking in terms of HLMs, and have not yet quite understood the entirety of mixed effects models. Therefore, I would be very grateful for your help.</p>

<p>I have two basic questions:</p>

<ol>
<li><p>In a first analysis, I would like to consider the error rates in only those trials in which participants were biased towards the <em>wrong</em> answer. The first model would therefore look only at trials in which the bias would point away from the correct answer.</p>

<p>If my observations were independent, i would probably use a model like this:</p>

<p><code>correct ~ condition + distractor + condition:distractor</code></p>

<p>... but obviously, they aren't: Observations are grouped within a task (with a constant presence of a distractor) and within participants. My question, then, is this: How do I add the random effects to reflect this?</p></li>
<li><p>(If I haven't lost you already :-) ) Would it be possible to include all trials (those where the bias would be into the direction of the wrong and of the correct answer), and include this difference (i.e. direction of the bias) as a trial-level predictor?</p>

<p>In my imagination of HLMs, such a predictor (at the level of the trial) would depend on on the magnitude of the distractor present (at the level of the block), which again would depend on the condition of the participant (plus, possibly, a unique factor for each participant).<br />The interactions would then emerge â€ºautomaticallyâ€¹ as cross-level interactions. How would such a model be specified in the â€ºflatâ€¹ lme4 syntax? (Would such a model make sense at all?)</p></li>
</ol>

<p>Ok, I hope all of this makes sense -- I will gladly elaborate otherwise. Again, I would be most grateful for any ideas and comments regarding this analysis, and would like to thank you for taking the time and trouble to respond.</p>

<p><strong>References</strong></p>

<p>Dixon, P. (2008). Models of accuracy in repeated-measures designs. <em>Journal of Memory and Language, 59</em>(4), 447-456. doi: 10.1016/j.jml.2007.11.004</p>

<p>Jaeger T. F. (2008). Categorical data analysis: Away from ANOVAs (transformation or not) and towards logit mixed models. <em>Journal of Memory and Language, 59</em>(4), 434-446. doi: 10.1016/j.jml.2007.11.007</p>
"
"0.104972776216296","0.107057545514438","  8545","<p>I have some problems in using (and finding) the Chow test for structural breaks in a regression analysis using R. I want to find out if there are some structural changes including another variable (represents 3 spatial subregions).</p>

<p>Namely, is the regression with the subregions better than the overall model. Therefore I need some statistical validation. </p>

<p>I hope my problem is clear, isn't it?</p>

<p>Kind regards<br>
marco</p>

<p>Toy example in R:</p>

<pre><code>library(mlbench) # dataset
data(""BostonHousing"")

# data preparation
BostonHousing$region &lt;- ifelse(BostonHousing$medv &lt;= 
                               quantile(BostonHousing$medv)[2], 1, 
                        ifelse(BostonHousing$medv &lt;= 
                               quantile(BostonHousing$medv)[3], 2,
                        ifelse(BostonHousing$medv &gt; 
                               quantile(BostonHousing$medv)[4], 3, 1)))

BostonHousing$region &lt;- as.factor(BostonHousing$region)

# regression without any subregion 
reg1&lt;- lm(medv ~ crim + indus + rm, data=BostonHousing)

summary(reg1)

# are there structural breaks using the factor ""region"" which
# indicates 3 spatial subregions
reg2&lt;- lm(medv ~ crim + indus + rm + region, data=BostonHousing)
</code></pre>

<p>------- subsequent entry</p>

<p>I struggled with your suggested package ""strucchange"", not knowing how to use the ""from"" and ""to"" arguments correctly with my factor ""region"". Nevertheless, I found one hint to calculate it by hand (https://stat.ethz.ch/pipermail/r-help/2007-June/133540.html). This results in the following output, but now I am not sure if my interpetation is valid. The results from the example above below.</p>

<p>Does this mean that region 3 is significant different from region 1? Contrary, region 2 is not? Further, each parameter (eg region1:crim) represents the beta for each regime and the model for this region respectively? Finally, the ANOVA states that there is a signif. difference between these models and that the consideration of regimes leads to a better model?</p>

<p>Thank you for your advices!
Best Marco</p>

<pre><code>fm0 &lt;- lm(medv ~ crim + indus + rm, data=BostonHousing)
summary(fm0)
fm1 &lt;- lm(medv  ~ region / (crim + indus + rm), data=BostonHousing)
summary(fm1)
anova(fm0, fm1)
</code></pre>

<p>Results:</p>

<pre><code>Call:
lm(formula = medv ~ region/(crim + indus + rm), data = BostonHousing)

Residuals:
       Min         1Q     Median         3Q        Max 
-21.079383  -1.899551   0.005642   1.745593  23.588334 

Coefficients:
               Estimate Std. Error t value Pr(&gt;|t|)    
(Intercept)    12.40774    3.07656   4.033 6.38e-05 ***
region2         6.01111    7.25917   0.828 0.408030    
region3       -34.65903    4.95836  -6.990 8.95e-12 ***
region1:crim   -0.19758    0.02415  -8.182 2.39e-15 ***
region2:crim   -0.03883    0.11787  -0.329 0.741954    
region3:crim    0.78882    0.22454   3.513 0.000484 ***
region1:indus  -0.34420    0.04314  -7.978 1.04e-14 ***
region2:indus  -0.02127    0.06172  -0.345 0.730550    
region3:indus   0.33876    0.09244   3.665 0.000275 ***
region1:rm      1.85877    0.47409   3.921 0.000101 ***
region2:rm      0.20768    1.10873   0.187 0.851491    
region3:rm      7.78018    0.53402  14.569  &lt; 2e-16 ***
---
Signif. codes:  0 â€˜***â€™ 0.001 â€˜**â€™ 0.01 â€˜*â€™ 0.05 â€˜.â€™ 0.1 â€˜ â€™ 1 

Residual standard error: 4.008 on 494 degrees of freedom
Multiple R-squared: 0.8142,     Adjusted R-squared: 0.8101 
F-statistic: 196.8 on 11 and 494 DF,  p-value: &lt; 2.2e-16

&gt; anova(fm0, fm1)
Analysis of Variance Table

Model 1: medv ~ crim + indus + rm
Model 2: medv ~ region/(crim + indus + rm)
  Res.Df     RSS Df Sum of Sq     F    Pr(&gt;F)    
1    502 18559.4                                 
2    494  7936.6  8     10623 82.65 &lt; 2.2e-16 ***
---
Signif. codes:  0 â€˜***â€™ 0.001 â€˜**â€™ 0.01 â€˜*â€™ 0.05 â€˜.â€™ 0.1 â€˜ â€™ 1
</code></pre>
"
"0.111901355435757","0.125536099672233"," 10095","<h3>Assumptions:</h3>

<p>In an ANOVA where the normality assumptions are violated, the Box-Cox transformation can be applied to the response variable. The <code>lambda</code> can be estimated by the using maximum likelihood to optimize the normality of the model residuals.</p>

<h3>Question:</h3>

<p>When the estimates for <code>lambda</code> in the null model and the full model differ, how should <code>lambda</code> be estimated?</p>

<h3>My Data:</h3>

<p>In my data the lambda estimate for the null model is <code>-2.3</code> and the lambda estimate for the full model is <code>-2.8</code>. Transforming the response using these different parameters and preforming the ANOVA leads to different F-statistics.</p>

<p>I have produced below a simplified version of the analysis using beta distributions with different parameters to simulate non-normality.  Unfortunately, in this example the results of the ANOVA are insensitive to the different estimates of <code>lambda</code>. So, it doesn't fully illustrate the problem.</p>

<pre><code>library(ggplot2)
library(MASS)
library(car)


#Generating random beta-distributed data
n=200
df &lt;- rbind(
  data.frame(x=factor(rep(""a1"",n)), y=rbeta(n,2,5)), # more left skewed
  data.frame(x=factor(rep(""a2"",n)), y=rbeta(n,2,2))) # less left skewed

print(qplot(data=df, color=x, x=y, geom=""density""))

print(""Untransformed Analaysis of Variance:"")
m.null &lt;- lm(y ~ 1, df)
m.full &lt;- lm(y ~ x, df)
print(anova(m.null, m.full))

# Estimate Maximum Liklihood Box-Cox transform parameters for both models
bc.null &lt;- boxcox(m.null); bc.null.opt &lt;- bc.null$x[which.max(bc.null$y)]
bc.full &lt;- boxcox(m.full); bc.full.opt &lt;- bc.full$x[which.max(bc.full$y)]

print(paste(""ML Box-Cox estimate for null model:"",bc.null.opt))
print(paste(""ML Box-Cox estimate for full model:"",bc.full.opt))

df$y.bc.null &lt;- bcPower(df$y, bc.null.opt)
df$y.bc.full &lt;- bcPower(df$y, bc.full.opt)

print(qplot(data=df, x=x, y=y.bc.null, geom=""boxplot""))
print(qplot(data=df, x=x, y=y.bc.full, geom=""boxplot""))


print(""Analysis of Variance with optimial Box-Cox transform for null model"")
m.bc_null.null &lt;- lm(y.bc.null ~ 1, data=df)
m.bc_null.full &lt;- lm(y.bc.null ~ x, data=df)
print(anova(m.bc_null.null, m.bc_null.full))

print(""Analysis of Variance with optimial Box-Cox transform for full model"")
m.bc_full.null &lt;- lm(y.bc.null ~ 1, data=df)
m.bc_full.full &lt;- lm(y.bc.null ~ x, data=df)
print(anova(m.bc_full.null, m.bc_full.full))
</code></pre>
"
