"V1","V2","V3","V4"
"0.0446990156267674","0.0220540545695615","  5293","<p>My name is Tuhin.
I came up with a couple of questions when I was doing an
analysis in R.</p>

<p>I did a logistic regression analysis in R and tried to check
how good the model fits the data.</p>

<p>But, I got stuck as I could not get the pseudo R square value
for the model which could give me some idea about the variation
explained by the model.</p>

<p>Could you please guide me on how to achieve this value (pseudo
R square for Logistic regression analysis).
It would also be helpful if you could show me a way to get the
Hosmer Lemeshow statistic for the model as well. I found out a
user defined function to do it, but if there is a quicker way
possible, it would be really helpful.</p>

<p>I would be very grateful if you can provide me the answers to
my queries.</p>

<p>Eagerly waiting for your response.</p>

<p>Regards</p>
"
"0.0547448901451359","0.0540211804549215","  6391","<p>I wonder how to reason when selecting samples. I am doing a panel data regression analysis about how the euro membership correlates with the budget deficit in the member countriues.</p>

<p>Using R that is:</p>

<pre><code>BUDGETDEFICIT ~ EURODUMMY + some_controll_variables
</code></pre>

<p>EURODUMMY is the variable of interest. Using panel data I have anual observations for many countriies. My question is how selecting what sample to use effects the regression analysis.</p>

<p>Should I only use countries that has introduced the Euro?</p>

<p>Is adding other European countries or western like countries benefitial as they add more datapoints and/or acts like a reference gropup?</p>

<p>Or is id only bad for the data to add countries that has not introduced the euro as they have no variation in the variable of interest (EURODUMMY)?</p>

<p>Other comments regarding this problem is also welcome.</p>
"
"0.0364965934300906","0.0540211804549215","  6400","<p>I am conducting a mulitple first order regression analysis of genetic data. The vectors of y-values do not all follow a normal distribution, therefore I need to implement a non-parametric regression using ranks.</p>

<p>Is the <code>lm()</code> function in R suitable for this, i.e.,</p>

<pre><code>lin.reg &lt;- lm(Y~X*Z)
</code></pre>

<p>where Y, X and Z are vectors of ordinal categorical variables?</p>

<p>I am interested in the p-value assigned to the coefficient of the interaction term in the first order model. The <code>lm()</code> function obtains this from a t-test, i.e., is the interaction coefficient significantly different from zero.</p>

<p>Is the automatic implementation of a t-test to determine this p-value appropriate when the regression model is carried out on data as described?</p>

<p>Thanks.</p>

<p><strong>EDIT</strong></p>

<p>Sample data for clarity:</p>

<pre><code>Y &lt;- c(4, 1, 2, 3) # A vector of ranks
X &lt;- c(0, 2, 1, 1) # A vector of genotypes (0 = aa, 1 = ab, 2 = bb)
Z &lt;- c(2, 2, 1, 0)
</code></pre>
"
"NaN","NaN","  7101","<p>I am interested in applying Bayesian additive regression trees (BART) for classification analysis of gene expression data. I am relatively new to R (and Bioconductor packages) and I am unable to find some code or vignette that I can use to learn from. I will be thankful if someone can point me in a good direction.</p>
"
"0.0999500374687773","0.0986287303940589","  7527","<p>I'm trying to implement a ""change point"" analysis, or a multiphase regression using <code>nls()</code> in R. </p>

<p><a href=""http://i.stack.imgur.com/27f1S.png"" rel=""nofollow"">Here's some fake data I've made</a>. The formula I want to use to fit the data is:</p>

<p>$y = \beta_0 + \beta_1x + \beta_2\max(0,x-\delta)$</p>

<p>What this is supposed to do is fit the data up to a certain point with a certain intercept and slope ($\beta_0$ and $\beta_1$), then, after a certain x value ($\delta$), augment the slope by $\beta_2$. That's what the whole max thing is about. Before the $\delta$ point, it'll equal 0, and $\beta_2$ will be zeroed out.</p>

<p>So, here's my function to do this:</p>

<pre><code>changePoint &lt;- function(x, b0, slope1, slope2, delta){ 
   b0 + (x*slope1) + (max(0, x-delta) * slope2)
}
</code></pre>

<p>And I try to fit the model this way</p>

<pre><code>nls(y ~ changePoint(x, b0, slope1, slope2, delta), 
    data = data, 
    start = c(b0 = 50, slope1 = 0, slope2 = 2, delta = 48))
</code></pre>

<p>I chose those starting parameters, because I <em>know</em> those are the starting parameters, because I made the data up.</p>

<p>However, I get this error:</p>

<pre><code>Error in nlsModel(formula, mf, start, wts) : 
  singular gradient matrix at initial parameter estimates
</code></pre>

<p>Have I just made unfortunate data? I tried fitting this on real data first, and was getting the same error, and I just figured that my initial starting parameters weren't good enough. </p>
"
"0.0446990156267674","0.0441081091391231","  7639","<p>I have 4301 lines of data from my science project.  I have to do unorthodox statistical analysis for my results because they are 4-dimensional; I have three independent variables.</p>

<p>With Excel I can do a lot of analysis, even multivariable linear regression, but what I need is a step up:  Multivariable nonlinear regression.</p>

<p>I have R.  Is there a way I can do it with R?</p>

<p>Also, is there a way to generate multiple 3-dimensional graphs with slices of the data automatically?</p>

<p>EDIT:  I've searched with no luck.  Is there <em>any</em> way of doing multivariable nonlinear regression automatically?</p>
"
"0.0547448901451359","0.0540211804549215","  7799","<p>I am a programmer who, in a past life, used the products RS/1, RS/Explore, and RS/Discover in a manufacturing engineer career.  Now, years later, I would like to do some multivariate regression on some real-world data (sales data from my wife's store).  The point would be to highlight what sales days are truly exceptional, not just part of the normal distribution, after taking into account month, day of week, weather, etc.</p>

<p>If I still had access to RS/1 and associated products, I'd know how to do this, but that is not the case, so I'm thinking I'd want to use R.  However, most R tutorials I have found just cover the very basics, and don't get to the point of multivariate regression.  Can you recommend an R tutorial that takes one past the basics of plotting a histogram, etc. into in-depth analysis of real-world ad-hoc data, presumably using multi-variate regression?</p>

<p>Thanks!</p>
"
"0.0632139541241014","0.0623782861551805","  7899","<p>I need to draw a complex graphics for visual data analysis.
I have 2 variables and a big number of cases (>1000). For example (number is 100 if to make dispersion less ""normal""):</p>

<pre><code>x &lt;- rnorm(100,mean=95,sd=50)
y &lt;- rnorm(100,mean=35,sd=20)
d &lt;- data.frame(x=x,y=y)
</code></pre>

<p>1) I need to plot raw data with point size, corresponding the relative frequency of coincidences, so <code>plot(x,y)</code> is not an option - I need point sizes. What should be done to achieve this?</p>

<p>2) On the same plot I need to plot 95% confidence interval ellipse and line representing change of correlation (do not know how to name it correctly) - something like this:</p>

<pre><code>library(corrgram)
corrgram(d, order=TRUE, lower.panel=panel.ellipse, upper.panel=panel.pts)
</code></pre>

<p><img src=""http://i.stack.imgur.com/R561Q.png"" alt=""correlogramm""></p>

<p>but with both graphs at one plot.</p>

<p>3) Finally, I need to draw a resulting linar regression model on top of this all:</p>

<pre><code>r&lt;-lm(y~x, data=d)
abline(r,col=2,lwd=2)
</code></pre>

<p>but with error range... something like on QQ-plot:</p>

<p><img src=""http://i.stack.imgur.com/vgvRr.png"" alt=""QQ-plot""></p>

<p>but for fitting errors, if it is possible.</p>

<p>So the question is: </p>

<p><strong>How to achieve all of this at one graph?</strong></p>
"
"NaN","NaN","  7919","<p>I am working on a linear regression with R and there are many 0 values in my predictor variables. How are these handled in R's <code>lm()</code> function? Should I remove this data for more accurate analysis? </p>

<p>Any advice is appreciated. Thanks. </p>
"
"0.0446990156267674","0.0441081091391231","  7975","<p>Having worked mostly with cross sectional data so far and very very recently browsing, scanning stumbling through a bunch of introductory time series literature I wonder what which role explanatory variables are playing in time series analysis. </p>

<p>I would like to <em>explain a trend</em> instead of de-trending.
Most of what I read as an introduction assumes that the series is stemming from some stochastic process. I read about AR(p) and MA processes as well as ARIMA modelling. Wanting to deal with more information than only autoregressive processes I found VAR / VECM and ran some examples, but still I wonder if there is some case that is related closer to what explanatories do in cross sections. </p>

<p>The motivation behind this is that decomposition of my series shows that the trend is the major contributor while remainder and seasonal effect hardly play a role. I would like to explain this trend.</p>

<p>Can / should I regress my series on multiple different series? Intuitively I would use gls because of serial correlation (I am not so sure about the cor structure). I heard about spurious regression and understand that this is a pitfall, nevertheless I am looking for a way to explain a trend. </p>

<p>Is this completely wrong or uncommon? Or have I just missed the right chapter so far?</p>
"
