"V1","V2","V3","V4"
"0.466252404120157","0.466252404120157"," 15022","<p>I'm familiar with very basic plotting in R, but I'm not sure how best to create the reasonably-complicated plot described below.</p>

<p>I have developed a density estimation method that essentially fits an empirical distribution to multiple univariate samples, under distinct conditions. To be clear, let $\mathbf{x}_i^\mathrm{j}$ be a vector of univariate values for the $i^\mathrm{th}$ sample under condition $j$. My method allows me to approximate the distribution from which the values in $\mathbf{x}_i^\mathrm{j}$ were drawn. Although in principle, $j$ could take on many values, in practice I am interested in just two conditions (e.g., $j$ specifies whether the sample is for a pre- or post-intervention condition).</p>

<p>In particular, the method I have developed attempts to establish correspondences between common features of the fitted density estimates (e.g., modes). I want to be able to plot curves for all the density estimates in such a way as to allow comparison between the two conditions, and between corresponding features of the distributions.</p>

<p>I would like to create a grid of subplots (e.g., <em>m</em> Ã— <em>n</em> if there are a total of 2 Ã— <em>m</em> Ã— <em>n</em> samples; note that <em>m</em> and <em>n</em> are only specified so that the overall plot has a convenient aspect ratio, they do not relate to the design of the experiment etc.). Each subplot would show two curves: one for the distribution underlying $\mathbf{x}_i^\mathrm{pre}$ and the other for $\mathbf{x}_i^\mathrm{post}$. Further, to allow the correspondences to be compared, I would like to color the line used to draw the curves using a â€œrainbowâ€ (or other color map), so that one could, for example, look at the red regions of two curves and visually determine whether they do in fact correspond. To this end, I can provide vectors (<em>x</em>, p(<em>x</em>), <em>c</em>), where <em>x</em> is an arbitrary value on the horizontal axis of the density estimate plot, p(<em>x</em>) is the density estimate for <em>x</em>, and <em>c</em> is a value in (0, 1), such that a particular value of <em>c</em> should correspond across all density estimates, and should, therefore, be plotted in the same color (e.g., a value of 0.2 might sit at the peak of the mode of the distributions).</p>

<p>Lastly, in order to allow the two curves in each subplot to be distinguished, I'd like to be able to style each differently, for example by using a thin line for the pre condition and a thick line for the post condition.</p>

<p>Thanks.</p>
"
"NaN","NaN"," 33616","<p>I am using the <strong>pearsonFitML</strong> function in the <strong>PearsonDS</strong> package to do maximum likelihood estimation of parameters in R. </p>

<p>I am particularly interested in fitting <strong>Pearson Type 5</strong> distributions to my data. Does anyone know how I can 'fix' this function so it only tries fitting a type 5 distribution? This may just be a straightforward issue of syntax but I've been playing round for a while and haven't got this sorted yet!</p>

<p>Many thanks,</p>

<p>Faith </p>
"
"0.390094748802747","0.390094748802747"," 38394","<p>I would like to obtain the ratio between two distribution densities and I wonder whether there is some well-founded and established approach to do that.</p>

<p>Let's say that I have two samples for the random variable $X$ coming from two populations, $P_1$ and $P_2$, that are likely to be distributed differently across the valid range of $X$. </p>

<p>Then I'll like to at least approximate the function $f(X)$ of the ratio between the densities in both populations across the range of $X$.</p>

<p>$$f(x)=\frac{Density(x|P_1)}{Density(x|P_2)}$$</p>

<p>What I am currently doing in R is to estimate the density of each sample using kernel density estimation (<code>density()</code> function). Then I can approximate $f(X)$ for any given value  by interpolating the closest point estimates returned by <code>density()</code> on each sample and dividing the resulting values. </p>

<p>Although this is satisfactory to some extent I wonder whether there is a better way. Specially, if there is an existing implementation in R. For example, I am afraid that the ratio could be extremely variable in regions where one or both distributions have very low density and I wonder whether there is a method to also obtain some estimate of uncertainty. </p>
"
"0.329690236697893","0.329690236697893"," 50250","<p>I am trying to fit the Weibull distribution to a dataset in R. I have a dataset, ""loss"", as a .csv file, and use <code>fitdistr(loss,""invexp"")</code>. I received the message:  </p>

<blockquote>
  <p>Failure infitdistr(loss, ""invweibull"") : unsupported distribution</p>
</blockquote>

<p>How can I fit the inverse Weibull Distribution to a dataset in R?</p>

<hr>

<p>Thank you! I am wonder both how to get this done in R and why I have an error when using a function fitdistr to make maximum-likelihood estimation. My error message is about function ""invweibull"" in R. The same problem I have for the frechet distribution. 
My dataset is the following: </p>

<blockquote>
  <p>336.893
  2.468.001
  572.651
  426.581
  501.593
  433.167
  708.431
  736.761
  1.405.323
  2.161.790
  492.029
  1.429.564
  585.885
  563.030
  408.345
  4.840.762
  308.791
  1.201.796
  1.463.367
  849.336
  510.141
  282.088
  648.475
  699.729
  849.677
  606.299
  380.988</p>
</blockquote>

<p>I am not sure if I can simply fit a Weibull to the inverse of the observations and say then that parameters are the same for inversed weibull. I use paket ""actuar"" and function ""invweibull"" and ""frechet"" and become a failure unsupported distribution. Simple question is, why the estimations can not be done for this dataset and may be somebody know how is it possible to fit inverse weibull and frechet distributions in R? Thank you very much for your respond to my question!</p>
"
"0.208514414057075","0.208514414057075"," 59155","<p>I want to obtain the full distribution of a Gamma (or Inverse Gaussian) distributed $y_i$ given a vector of $\bar x_i$ that have been used in the linear predictor of a coefficient. Suppose also for the Gamma GLM I have used the log-link instead of the canonical link.</p>

<p>Since both distributions are bi-parametric I know I can get the estimation of the mean parameter by <code>predict(glmObj, ..., type=""response"")</code> whichever distribution whichever link I have used. I'm not sure about the conditional variance. I know that $var\left(y_i\right)=\phi*V\left(\mu_i\right)$. My questions are:</p>

<ol>
<li><p>Is it correct to estimate $\phi$, the dispersion parameter, as the square root of <code>glmObj$deviance/glmObj$df.residual</code>, regardless of the distribution and canonical link?</p></li>
<li><p>Is $V\left(\mu_i\right)$ dependent on the canonical link?</p></li>
</ol>
"
"0.208514414057075","0.208514414057075"," 65866","<pre><code>plot(density(rexp(100))
</code></pre>

<p>Obviously all density to the left of zero represents bias.</p>

<p>I'm looking to summarize some data for non-statisticians, and I want to avoid questions about why non-negative data has density to the left of zero.  The plots are for randomization checking; I want to show the distributions of variables by treatment and control groups. The distributions are often exponential-ish.  Histograms are tricky for various reasons.  </p>

<p>A quick google search gives me work by statisticians on non-negative kernels, e.g.:  <a href=""http://www.ism.ac.jp/editsec/aism/pdf/052_3_0471.pdf"">this</a>.  </p>

<p>But has any of it been implemented in R?  Of implemented methods, are any of them ""best"" in some way for descriptive statistics?</p>

<p>EDIT:  even if the <code>from</code> command can solve my current problem, it'd be nice to know whether anyone has implemented kernels based on literature on non-negative density estimation</p>
"
"NaN","NaN"," 71735","<p>I'm trying to estimate a specific point in a bimodal distributions, It's the point that I indicated in my picture with the A.
<img src=""http://i.stack.imgur.com/YQhXE.png"" alt=""enter image description here""></p>

<p>As example we can generate a mixture of guassian and then try to determinate the point A(x,f(x)).</p>

<p>This problem is I think a problem of optimization and estimation. My question is, though, how would I go about that in detail? Maybe I'm just missing a good tutorial somehow.</p>
"
"0.255376959227625","0.255376959227625"," 82401","<p>I am trying to estimate parameters defining the rate of a Poisson bivariate distributions. (...following Maher's 1982 paper ""Modelling association football scores""). Basically I have random variables $Z_{i,j} = X_{i,j}\cdot Y_{i,j}$ (here the $X_{i,j}$ and the $Y_{i,j}$ are independent and follow Poisson distributions with rates $\alpha_i\cdot \beta_j$ and $\alpha_j\cdot \beta_i\cdot\rho$ respectively, and $\alpha_i,\beta_j$ and $\rho$ are positive numbers for $1\le i,j \le N$. I have $M$ samples $(x,y)$.</p>

<p>Depending on the case, $N$ is under one hundred, and $M$ in the thousands.</p>

<p>So what is the best approach here to estimate the parameters? I haven't found a solver for the bivariate case. I'd need to optimize functions of the sort
$$
{\mathcal L}(x_i,y_j; \alpha_i,\beta_j:1\le i,j\le N) =\sum_{k=1}^M -(\alpha_{i_k}\beta_{j_k}) + x_k\log(\alpha_{i_k}\beta_{j_k}) - (\alpha_{j_k}\beta_{i_k}\rho)+y_k\log(\alpha_{i_k}\beta_{j_k})
$$
where the index $k$ is an ordering of the sample and, e.g., the $k$-th sample is drawn from the distribution $P(\alpha_{i_k}\beta_{j_k})P(\alpha_{j_k}\beta_{i_k}\rho)$.</p>

<p>Alternatively, I considered this as a univariate problem, first estimating the $\alpha$s, then the $\beta$s. I have successfully done this using scipy.optimize: basically </p>

<ol>
<li>I start with the initial guesses $\hat\alpha_i=\frac{1}{\sqrt{\sum_{1\le i,j\le N,i\neq j} x_{i,j}}} \sum_{j\neq i}x_{i,j}$ and $\hat\beta_j=\frac{1}{\sqrt{\sum_{1\le i,j\le N,i\neq j} x_{i,j}}} \sum_{j\neq i}x_{i,j}$ suggested by Maher,</li>
<li>I estimate the $\alpha_i$s using Nelder-Mead optimization method from scipy.optimize with function 
$$
{\mathcal L}_\alpha(\alpha_i;x_k,\beta_j:1\le i,j\le N,1\le k\le M) =\sum_{k=1}^M -(\alpha_{i_k}\beta_{j_k}) + x_k\log(\alpha_{i_k}\beta_{j_k})
$$ 
I update the initial guess $\hat \alpha_i$s with the newfound estimation, and next I estimate the $\beta_j$s.</li>
<li>I loop over the above procedure.</li>
<li>I do the same with the $\gamma_i$ and $\delta_j$.</li>
</ol>

<p>As I write this, I am running experiments checking the prediction's accuracy from historical data. Results tend to be a little over %50.</p>
"
"0.361157559257308","0.361157559257308"," 82530","<p>Currently I am trying to find a well-known distribution that fits to my positive skewed dataset (n=70) the best. First I used the <code>fitdistrplus</code> R package to estimate parameters for Gamma, Weibull, Lognormal and Exponential distributions (using Maximum Likelihood estimation, though I am unsure if MLE is the best choice with 70 observations (better one?)).</p>

<p>In the second step, I selected the model with the smallest AIC. But of course the model should also pass a goodness of fit test. The first idea was simply using an Kolmogorv-Smirnov test with the estimated parameter, but this doesn't seem to be a good idea since KS-Tests with estimated parameters lead to more or less useless p values.</p>

<p>During my search on the web, I stumbled over <a href=""http://stats.stackexchange.com/questions/45033/can-i-use-kolmogorov-smirnov-test-and-estimate-distribution-parameters"">Greg Snows' suggestion</a> and apart from that over <a href=""http://users.dimi.uniud.it/~massimo.franceschet/R/fit.html"">this page</a> which describes an interesting monte carlo approach (from <a href=""http://scholar.google.com/scholar?hl=en&amp;q=A.+Clauset%2C+C.+R.+Shalizi%2C+M.+E.+J.+Newman.+Power-law+distributions+in+empirical+data.+%23+SIAM+Review+51%2C+661-703+%282009%29&amp;btnG=&amp;as_sdt=1%2C5&amp;as_sdtp="">Clauset et al.</a>). An exemplary adapted R code sample which uses the <code>fitdistrplus</code> package for maximum likelihood estimation for the log norm distribution looks as follows:</p>

<pre><code>lognormal = function(d, limit=2500) {
  # MLE for lognormal distribution
  fit &lt;- fitdist(d,""lnorm"", method=""mle"")

  # compute KS statistic
  t = ks.test(d, ""plnorm"", meanlog = fit$estimate[""meanlog""], sdlog = fit$estimate[""sdlog""]);

  # compute p-value
  count = 0;
  for (i in 1:limit) {
    syn = rlnorm(length(d), meanlog = fit$estimate[""meanlog""], sdlog = fit$estimate[""sdlog""]);
    fit2 &lt;- fitdist(syn, ""lnorm"", method=""mle"")
    t2 = ks.test(syn, ""plnorm"", meanlog = fit2$estimate[""meanlog""], sdlog = fit2$estimate[""sdlog""]);
    if(t2$stat &gt;= t$stat) {count = count + 1};
  }

  return(list(meanlog = fit$estimate[""meanlog""], sdlog = fit$estimate[""sdlog""], stat = t$stat, p = count/limit, KSp = t$p));
}
</code></pre>

<p>What I am currently asking me (and you) is, does this approach makes sense with respect to the small sample size (or should I use moment/... estimators or is MLE ok) and is the way the goodness of fit is tested suitable?</p>
"
"0.571040240720161","0.532970891338817"," 95994","<p>I`d like to extract the parameters of a two-component mixture distribution of noncentral student t distributions which first has to be fitted to a one-dimensional sample.</p>

<p>My question is closely related to this thread, but as pointed out I want to use Student t components for the mixture:
<a href=""http://stats.stackexchange.com/questions/10062/which-r-package-to-use-to-calculate-component-parameters-for-a-mixture-model?newreg=fe1454a4702e4532a03bd2c705fe3b02"">Which R package to use to calculate component parameters for a mixture model</a></p>

<p>There are many packages for R that are capable of handling mixture distributions in one way or another. Some in the context of a Bayesian framework requiring kernels. Some in a regression framework. Some in a nonparametric framework. ...</p>

<p>In general the ""mixdist""-package seems to come closest to my wish. This package fits parametric mixture distributions to a sample of data. Unfortunately it doesn`t support the student t distribution.</p>

<p>I have also tried to manually set up a likelihood function as described here:
<a href=""http://stackoverflow.com/questions/6485597/r-how-to-fit-a-large-dataset-with-a-combination-of-distributions"">http://stackoverflow.com/questions/6485597/r-how-to-fit-a-large-dataset-with-a-combination-of-distributions</a>
But my result is far from perfect.</p>

<p>The ""gamlss.mx""-package might be helping, but originally it seems to be set up for another context, i.e. regression. I tried to regress my data on a constant and then extract the parameters for the estimated mixture error distribution. Is this a valid approach? </p>

<p>But with this approach the estimated parameters seem to be not directly accessable individually by some command (such as fit1$sigma). And more importantly there seem to be serious estimation problems even in pretty simple and nonambiguous cases.
E.g. in example 2 (see syntax below) I simulated a mixture which looks like this:</p>

<p><img src=""http://i.stack.imgur.com/MG7AA.jpg"" alt=""kernel density estimate of the mixture""></p>

<p>When trying to fit a two-component student t mixture to these data either I get this error message (the deeper meaning of which I don't understand):</p>

<p><img src=""http://i.stack.imgur.com/UPvg4.jpg"" alt=""enter image description here""></p>

<p>or I get wrong results (convergenve is reached only after approximately two hours as can be seen from the output):</p>

<p><img src=""http://i.stack.imgur.com/HjlfW.jpg"" alt=""enter image description here""></p>

<p>The means could be estimated well, but both the variance and the degrees of freedom are estimated badly. In the TF2 implementation of the student t, the sigma parameter denotes the standard deviation. Its estimate is NEGATIVE for the first component! And for the second component the degrees of freedom estimate is also NEGATIVE. Probably one should not use these results in practice :(</p>

<p>By the way: Is there a way to restrict these degree-of-freedom coefficient estimates to be natural numbers? </p>

<p>The following syntax is my gamlss.mx-setup so far:</p>

<pre><code>library(gamlss.dist)
library(gamlss.mx)
library(MASS)

# example 1 (real data):
data(geyser)
plot(density(geyser$waiting) )
fit1 &lt;- gamlssMX( waiting~1,data=geyser,family=""TF2"",K=2 )
fit1
# works fine

# example 2 (simulated data):
N &lt;- 100000
components &lt;- sample(1:2,prob=c(0.6,0.4),size=N,replace=TRUE)
mus &lt;- c(3,-6)    # denotes the mean of component 1 and 2, respectively
sds &lt;- c(1,9)     # ... the standard deviations
nus &lt;- c(25,3)    # ... the degrees of freedom
mixsim &lt;-data.frame(rTF2( N,mu=mus[components],sigma=sds[components],nu=nus[components] ))
colnames(mixsim) &lt;- ""MCsim""
plot(density(mixsim$MCsim) , xlim=c(-50,50))
fit2 &lt;- gamlssMX(MCsim~1,data=mixsim,family=""TF2"",K=2)
fit2
# error message or strange results (this also happens when using a sample of S&amp;P500 returns)
</code></pre>

<p>I would be very grateful for any advice!
I've read through many related manuals and vignettes so far but I`m still lost.</p>

<p>Thanks a lot in advance!!
Jo</p>
"
