"V1","V2","V3","V4"
"0.342997170285018","0.335672543318676","  6224","<p>I used the <code>lmer</code> function in the <code>lme4</code> package in order to assess the effects of 2 categorical fixed effects (1Âº Animal Group: rodents and ants; 2Âº Microhabitat: bare soil and under cover) on seed predation (a count dependent variable). I have 2 Sites, with 10 trees per site and 4 seed stations per tree. Site and Tree are my (philosophically) random factors, but given that I have only two level for Site, it must be treated as a fixed factor. I have questions about how to interpret the results:  </p>

<ol>
<li>I made a model selection criterion based on QAICc, but the best model (lower QAICc) does not result in any significant fixed effect and other models with higher QAIC (e.g. the Full Model) did find significant fixed factors. Does this make sense?  </li>
<li>Given a fixed factor that is important to the model, how do I distinguish which level of fixed factor is influencing the response variable?  </li>
</ol>

<p>Finally, correlation between the fixed factors implies an incorrect estimation of the model?  </p>

<pre><code>FullModel=lmer(SeedPredation ~ AnimalGroup*Microhabitat*Site + (1|Site:Tree) + 
                                   (1|obs), data=datos,  family=""poisson"") 

QAICc(FM)104.9896

    enterGeneralized linear mixed model fit by the Laplace approximation 
Formula: SP ~ AG * MH * Site + (1 | Site:Tree) + (1 | obs) 
   Data: datos 
   AIC   BIC logLik deviance
 101.8 125.6  -40.9     81.8
Random effects:
 Groups    Name        Variance Std.Dev.
 obs       (Intercept) 0.20536  0.45317 
 Site:Tree (Intercept) 1.19762  1.09436 
Number of obs: 80, groups: obs, 80; Site:Tree, 20

Fixed effects:
                 Estimate Std. Error z value Pr(&gt;|z|)  
(Intercept)       0.01161    0.47608   0.024   0.9805  
AGR             -18.97679 3130.76500  -0.006   0.9952  
MHUC             -1.60704    0.63626  -2.526   0.0115 *
Site2            -0.91424    0.74506  -1.227   0.2198  
AGR:MHUC         19.92369 3130.76508   0.006   0.9949  
AGR:Site2         1.02241 4431.84919   0.000   0.9998  
MHUC:Site2        1.80029    0.86235   2.088   0.0368 *
AGR:MHUC:Site2   -3.49042 4431.84933  -0.001   0.9994  
---
Signif. codes:  0 â€˜***â€™ 0.001 â€˜**â€™ 0.01 â€˜*â€™ 0.05 â€˜.â€™ 0.1 â€˜ â€™ 1 

Correlation of Fixed Effects:
            (Intr) AGR    MHUC   Site2  AGR:MHUC AGR:S2 MHUC:S
AGR          0.000                                            
MHUC        -0.281  0.000                                     
Site2       -0.639  0.000  0.180                              
AGR:MHUC     0.000 -1.000  0.000  0.000                       
AGR:Site2    0.000 -0.706  0.000  0.000  0.706                
MHUC:Site2   0.208  0.000 -0.738 -0.419  0.000    0.000       
AGR:MHUC:S2  0.000  0.706  0.000  0.000 -0.706   -1.000  0.000 code here

BestModel=lmer(SP ~ AG * MH + (1|Site:Tree) + (1|obs), data=datos,  
               family = ""poisson"") 

QAICc(M) 101.4419

Generalized linear mixed model fit by the Laplace approximation 
Formula: SP ~ AG + AG:MH + (1 | Site:Tree) + (1 | obs) 
   Data: datos 
   AIC   BIC logLik deviance
 100.3 114.6 -44.15     88.3
Random effects:
 Groups    Name        Variance Std.Dev.
 obs       (Intercept) 0.76027  0.87194 
 Site:Tree (Intercept) 1.14358  1.06938 
Number of obs: 80, groups: obs, 80; Site:Tree, 20

Fixed effects:
             Estimate Std. Error z value Pr(&gt;|z|)
(Intercept)   -0.5153     0.4061  -1.269    0.205
AGR          -18.7146  2603.4397  -0.007    0.994
AGA:MHUC      -0.7301     0.5045  -1.447    0.148
AGR:MHUC      17.7221  2603.4397   0.007    0.995
</code></pre>
"
"0.3638034375545","0.356034497458156"," 11754","<p>I would like to estimate a multi level model in Stata or R (using lmer) where the first level coefficients are the same for all observations, but the coefficients within observation are correlated. </p>

<p>An example would look something like this:</p>

<p>$$Y_i = \beta_1 x_{1i} + \beta_2 x_{2i} + \beta_3 x_{3i} + ... + \varepsilon_{0i}$$
$$\beta_1=\gamma_1 z_1 + \gamma_2 z_2 + \varepsilon_{1}$$
$$\beta_2=\gamma_1 z_1 + \gamma_3 z_3 + \varepsilon_{2}$$
$$\beta_3=\gamma_2 z_2 + \gamma_3 z_3 + \varepsilon_{3}$$
and so on, with equations for each beta.  </p>

<p>Clearly, I'd make a distributional assumption for the $\varepsilon$'s... like $\varepsilon \sim N(0,\sigma^2)$</p>

<p>The x variables vary by observation, but the z variables do not vary between observations.  Thus, the parameters $\gamma$ and $\beta$ are also the same for all observations.  </p>

<p>This differs from most hierarchical models I have seen in that parameters are related within an observation, rather than depending on observation-level characteristics.</p>

<p>As a specific application, consider a model where the dependent variable $Y$ is a student's test scores. The x variables are measures of performance in previous classes, and the $z$ variables are characteristics of those classes.  Students have taken the same set of classes, but there are few students in each class, so I'd like to pool estimation of the coefficients $\beta$.  Because the classes have similar characteristics, there may be far fewer $\gamma$ parameters than $\beta$ parameters, and pooling estimates to those lower level class characteristics may yield more precise estimates of $\beta$ than estimation without the 2nd level model.  </p>

<p>At the same time, I'd like estimates of the $\beta$ parameters, so substituting in and estimating y as a function of $\gamma$ and x only gets me half way there.</p>

<p>What is the best way to estimate this type of model? I typically program in R, Stata and Python.</p>
"
"0.438357003759605","0.428995989125127"," 22363","<p>I asked this question on Stack Exchange, but I think it might be too specialized.  Hopefully someone in the mixed model group can help me out.</p>

<p>I want to be able to bootstrap the variance differences between two data sets obtained at different times while taking out the error in a random effect.</p>

<p>I have 2 sets of experimental data, where the data was measured at 2 time points (initial and final). I also have a set of simulation data. I want to compare the variance of the simulated date with the variance difference between the experimental data (final - initial). The idea is to get confidence intervals from the bootstrap to compare the experimental data with the simulation.</p>

<p>I am having trouble making the statistic for the bootstrap function in the <code>boot</code> package for R. So far I have.</p>

<pre><code>varcomp &lt;- function ( formula, data, indices ) {
    d &lt;- data[indices,] #sample for boot
    fit &lt;- lmer(formula, data=d) #linear model
    res.var = (attr (VarCorr(fit), ""sc"")^2) # variance estimation
    return(res.var)
    }
</code></pre>

<p>But this function only returns the variance of a single data set. I want to be able to input 2 sets of data and have it return the difference between the two data sets' variance.</p>

<p>When I try something like:</p>

<pre><code>varcomp &lt;- function ( formula, data1, data2, indices ) {
d1 &lt;- data1[indices,] #sample for boot
d2 &lt;- data2[indices,] #sample for boot
fit1 &lt;- lmer(formula, data=d1) #linear model
fit2 &lt;- lmer(formula, data=d2) #linear model
a = (attr (VarCorr(fit1), ""sc"")^2) #output variance estimation
b = (attr (VarCorr(fit2), ""sc"")^2) #output variance estimation
drv = a - b #difference between the variance estimations
return(drv)
}
</code></pre>

<p>I would then put it into boot such as:</p>

<pre><code>ip1.boot &lt;- boot ( data = ip1, statistic=varcomp, R=100, formula=CNPC~(1|Cell.line:DNA.extract)+Cell.line)
</code></pre>

<p>I can't do it this way because the boot function only allows for one data set to be inputted.</p>

<p><strong>Does anyone know how to create the correct statistic function for this?</strong></p>

<p>An example of the data can also be downloaded here (2 csv files zipped 1.22KB.)</p>

<p>My data looks something like the following:</p>

<p>Initial</p>

<pre><code>       Cell.line    Time DNA.extract   Gene      CNPC
1          9 initial           1 atubP1 1778.4589
2          9 initial           1 atubP1 2108.0552
3          9 initial           1 atubP1 2118.6725
4          9 initial           2 atubP1 2018.6593
5          9 initial           2 atubP1 1935.9008
6          9 initial           2 atubP1 1749.9158
7          9 initial           3 atubP1 1524.7475
8          9 initial           3 atubP1 1532.9781
9          9 initial           3 atubP1 1693.3098
10        17 initial           1 atubP1 1076.4720
11        17 initial           1 atubP1 1101.3315
12        17 initial           1 atubP1 1185.3606
13        17 initial           2 atubP1 1131.1118
14        17 initial           2 atubP1  892.7087
15        17 initial           2 atubP1 1028.5465
16        17 initial           3 atubP1  887.9972
17        17 initial           3 atubP1  732.9646
18        17 initial           3 atubP1  680.6724
</code></pre>

<p>Final</p>

<pre><code>   Cell.line  Time DNA.extract   Gene      CNPC
1          9 final           1 atubP1 1262.2378
2          9 final           1 atubP1 1261.9858
3          9 final           1 atubP1 1390.6873
4          9 final           2 atubP1 1539.7180
5          9 final           2 atubP1 1510.5405
6          9 final           2 atubP1 1443.1767
7          9 final           3 atubP1 1456.2050
8          9 final           3 atubP1 1578.6396
9          9 final           3 atubP1 1656.1822
10        17 final           1 atubP1 1462.5179
11        17 final           1 atubP1 1580.9956
12        17 final           1 atubP1 1255.9020
13        17 final           2 atubP1  886.7579
14        17 final           2 atubP1  581.8116
15        17 final           2 atubP1  722.0526
16        17 final           3 atubP1 4168.7895
17        17 final           3 atubP1 3266.2105
18        17 final           3 atubP1 4219.5645
</code></pre>
"
"0.54232614454664","0.530744892434275"," 31118","<p>I performed an experiment where I raised different families coming from two different source populations, where each family was split up into a different treatments. After the experiment I measured several traits on each individual. 
To test for an effect of either treatment or source as well as their interaction, I used a linear mixed effect model with family as random factor, i.e.</p>

<pre><code>lme(fixed=Trait~Treatment*Source,random=~1|Family,method=""ML"")
</code></pre>

<p>so far so good,
Now I have to calculate the relative variance components, i.e. the percentage of variation that is explained by either treatment or source as well as the interaction.</p>

<p>Without a random effect, I could easily use the sums of squares (SS) to calculate the variance explained by each factor. But for a mixed model (with ML estimation), there are no SS, hence I thought I could use Treatment and Source as random effects too to estimate the variance, i.e.</p>

<pre><code>lme(fixed=Trait~1,random=~(Treatment*Source)|Family, method=""REML"")
</code></pre>

<p>However, in some cases, lme does not converge, hence I used lmer from the lme4 package:</p>

<pre><code>lmer(Trait~1+(Treatment*Source|Family),data=DATA)
</code></pre>

<p>Where I extract the variances from the model using the summary function:</p>

<pre><code>model&lt;-lmer(Trait~1+(Treatment*Source|Family),data=regrexpdat)
results&lt;-model@REmat
variances&lt;-results[,3]
</code></pre>

<p>I get the same values as with the VarCorr function. I use then these values to calculate the actual percentage of variation taking the sum as the total variation.</p>

<p>Where I am struggling is with the interpretation of the results from the initial lme model (with treatment and source as fixed effects) and the random model to estimate the variance components (with treatment and source as random effect). I find in most cases that the percentage of variance explained by each factor does not correspond to the significance of the fixed effect.</p>

<p>For example for the trait HD,
The initial lme suggests a tendency for the interaction as well as a significance for Treatment. Using a backward procedure, I find that Treatment has a close to significant tendency. However, estimating variance components, I find that Source has the highest variance, making up to 26.7% of the total variance.</p>

<p>The lme:</p>

<pre><code>anova(lme(fixed=HD~as.factor(Treatment)*as.factor(Source),random=~1|as.factor(Family),method=""ML"",data=test),type=""m"")
                                      numDF denDF  F-value p-value
(Intercept)                                1   426 0.044523  0.8330
as.factor(Treatment)                       1   426 5.935189  0.0153
as.factor(Source)                          1    11 0.042662  0.8401
as.factor(Treatment):as.factor(Source)     1   426 3.754112  0.0533
</code></pre>

<p>And the lmer:</p>

<pre><code>summary(lmer(HD~1+(as.factor(Treatment)*as.factor(Source)|Family),data=regrexpdat))
Linear mixed model fit by REML 
Formula: HD ~ 1 + (as.factor(Treatment) * as.factor(Source) | Family) 
   Data: regrexpdat 
    AIC    BIC logLik deviance REMLdev
 -103.5 -54.43  63.75   -132.5  -127.5
Random effects:
 Groups   Name                                      Variance  Std.Dev. Corr                 
 Family   (Intercept)                               0.0113276 0.106431                      
          as.factor(Treatment)                      0.0063710 0.079819  0.405               
          as.factor(Source)                         0.0235294 0.153393 -0.134 -0.157        
          as.factor(Treatment)L:as.factor(Source)   0.0076353 0.087380 -0.578 -0.589 -0.585 
 Residual                                           0.0394610 0.198648                      
Number of obs: 441, groups: Family, 13

Fixed effects:
            Estimate Std. Error t value
(Intercept) -0.02740    0.03237  -0.846
</code></pre>

<p>Hence my question is, is it correct what I am doing? Or should I use another way to estimate the amount of variance explained by each factor (i.e. Treatment, Source and their interaction). For example, would the effect sizes be a more appropriate way to go?</p>

<p>Thanks!</p>

<p>Kay Lucek</p>
"
"0.171498585142509","0.167836271659338"," 38195","<p>Is there such a package that provides for zero-inflated negative binomial mixed-effects model estimation in R?</p>

<p>By that I mean:</p>

<ul>
<li><p>Zero-inflation where you can specify the binomial model for zero inflation, like in function zeroinfl in package pscl: <pre>zeroinfl(y~X|Z, dist = ""negbin"")</pre>
where Z is the formula for the zero inflation model;</p></li>
<li><p>Negative binomial distribution for the count part of the model;</p></li>
<li><p>Random effects specified similar to function lmer of package lme4.</p></li>
</ul>

<p>I understand glmmADMB can do all that, except the formula for zero inflation cannot be specified (it is just an intercept, i.e. Z is just 1). But are there any other packages that can do it all?</p>

<p>I will be very thankful for your help!</p>
"
"0.365636212063565","0.393610946830482"," 46322","<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""http://stats.stackexchange.com/questions/28936/how-to-compute-significant-interaction-estimates-when-main-effect-is-not-signifi"">How to compute significant interaction estimates when main effect is not significant?</a>  </p>
</blockquote>



<p>I am an applied linguist and I am modelling responses to a vocabulary test taken by second language learners of English; the aim is to test theoretical hypotheses regarding the relationship between the nature of the word and the likelihood of the learnersâ€™ knowing that word. The models I am using to explore the role of explanatory variables are the random item Item Response Theory model LLTM+e (see de Boeck et al. 2011; de Boeck 2008). These are created using the lmer function in the LME4 package in R and treat item and person responses as random. The estimates shown below are effectively like those from a binary logistic regression model, indicating the log-odds of a correct response on a word, given certain properties. Covariates relate to both item and person characteristics. </p>

<p>The nature of my concern is actually a basic regression issue. I have found a significant interaction between ability grouping of the test taker (GRP; with two levels High and Low) and the length of the word in letters (LEN_L). As far as I can see the estimate of the fixed effects for the first model shows that (a) the lower level learners have an overall lower probability of giving a correct answer (b) that LEN_L does not provide a significant explanation across the pattern of responses for the whole test-taker population, and (c) a significant interaction between GRP and LEN_L indicates that the lower ability learners are less likely to give a correct answer for a longer word. This is in keeping with theory. </p>

<p>However, when I model the data without including the main effect for LEN_L, I am not seeing a significant effect for either high or low groups as shown in Model 2. LEN_L does not show as significant if modelled without interaction with grp low (not shown). I feel that I am missing something obvious, but I cannot quite grasp what is happening. And my references have run dry on this particular issue and I am thinking myself around in circles about it.</p>

<p>(NB: in my full model I have many other significant covariates, but this pattern holds true.) 
My query basically regards whether I should use Model 1, including the non-significant main effect, or whether my findings from Model 2 indicate that the finding is a little unstable. Any advice would be much appreciated! (I can post more details if necessary.)
Karen</p>

<p>Model 1 Fixed effects:</p>

<pre><code>              Estimate Std. Error z value Pr(&gt;|z|)
(Intercept)    0.25244    0.83194   0.303  0.76156    
grp low       -2.09126    0.26406  -7.920 2.38e-15 ***
LEN_L          0.02093    0.13062   0.160  0.87272    
grp low:LEN_L -0.09185    0.03146  -2.919  0.00351 **
</code></pre>

<p>Model 2 Fixed effects:</p>

<pre><code>               Estimate Std. Error z value Pr(&gt;|z|)
(Intercept)     0.25243    0.83194   0.303    0.762    
grp low        -2.09126    0.26406  -7.920 2.38e-15 ***
grp high:LEN_L  0.02093    0.13062   0.160    0.873    
grp low:LEN_L  -0.07092    0.13202  -0.537    0.591  
</code></pre>

<blockquote>
  <p>De Boeck, P., Bakker, M., Zwitser, R., Nivard, M., Hofman, A.,
  Tuerlinckx, F. and Partchev, I. (2011) <a href=""http://www.jstatsoft.org/v39/i12/"" rel=""nofollow"">The Estimation of Item
  Response Models with the 'lmer' Function from the lme4 Package in
  R</a>. Journal of Statistical Software (39:12) pp 1-28</p>
</blockquote>
"
"0.3638034375545","0.356034497458156"," 48254","<p>Please consider this data:</p>

<pre><code>dt.m &lt;- structure(list(id = c(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12), occasion = structure(c(1L, 1L, 1L, 1L, 1L, 1L, 1L, 1L, 1L, 1L, 1L, 1L, 2L, 2L, 2L, 2L, 2L, 2L, 2L, 2L, 2L, 2L, 2L, 2L), .Label = c(""g1"", ""g2""), class = ""factor""),     g = c(12, 8, 22, 10, 10, 6, 8, 4, 14, 6, 2, 22, 12, 7, 24, 14, 8, 4, 5, 6, 14, 5, 5, 16)), .Names = c(""id"", ""occasion"", ""g""), row.names = c(NA, -24L), class = ""data.frame"")
</code></pre>

<p>We fit a simple variance components model. In R we have:</p>

<pre><code>require(lme4)
fit.vc &lt;- lmer( g ~ (1|id), data=dt.m )
</code></pre>

<p>Then we produce a caterpillar plot:</p>

<pre><code>rr1 &lt;- ranef(fit.vc, postVar = TRUE)
dotplot(rr1, scales = list(x = list(relation = 'free')))[[""id""]]
</code></pre>

<p><img src=""http://i.stack.imgur.com/fyV1H.jpg"" alt=""Caterpillar plot from R""></p>

<p>Now we fit the same model in Stata. First write to Stata format from R:</p>

<pre><code>require(foreign)
write.dta(dt.m, ""dt.m.dta"")
</code></pre>

<p>In Stata</p>

<pre><code>use ""dt.m.dta""
xtmixed g || id:, reml variance
</code></pre>

<p>The output agrees with the R output (neither shown), and we attempt to produce the same caterpillar plot:</p>

<pre><code>predict u_plus_e, residuals
predict u, reffects
gen e = u_plus_e â€“ u
predict u_se, reses

egen tag = tag(id)
sort u
gen u_rank = sum(tag)

serrbar u u_se u_rank if tag==1, scale(1.96) yline(0)
</code></pre>

<p><img src=""http://i.stack.imgur.com/hQKEP.jpg"" alt=""enter image description here""></p>

<p>Clearty Stata is using a different standard error to R. In fact Stata is using 2.13 whereas R is using 1.32.</p>

<p>From what I can tell, the 1.32 in R is coming from</p>

<pre><code>&gt; sqrt(attr(ranef(fit.vc, postVar = TRUE)[[1]], ""postVar"")[1, , ])
 [1] 1.319977 1.319977 1.319977 1.319977 1.319977 1.319977 1.319977 1.319977 1.319977 1.319977 1.319977 1.319977
</code></pre>

<p>though I can't say I really understand what this is doing. Can someone explain ?</p>

<p>And I have no idea where the 2.13 from Stata is coming from, except that, if I change the estimation method to maximum likelihood:</p>

<pre><code>xtmixed g || id:, ml variance
</code></pre>

<p>....then it seems to use 1.32 as the standard error and produce the same results as R....</p>

<p><img src=""http://i.stack.imgur.com/apbDd.jpg"" alt=""enter image description here""></p>

<p>.... but then the estimate for the random effect variance no longer agrees with R (35.04 vs 31.97).</p>

<p>So it seems to have something to do with ML vs REML: If I run REML in both systems, the model output agrees but the standard errors used in the caterpillar plots don't agree, whereas if I run REML in R and ML in Stata, the caterpillar plots agree, but the model estimates do not.</p>

<p>Can anyone explain what is going on ?</p>
"
"0.420084025208403","0.411113225896519"," 62070","<p>Let's say you have a response variable and an independent variable. Your data is measured across several levels of a categorical independent variable. One approach in analysing these data would be to use linear regression to estimate a slope at each level of the categorical independent variable. This is the approach I've used here, using <code>sleepstudy</code> dataset from the <code>R</code> <code>lme4</code> package (I've stored the betas from each model in <code>lmBetas</code>):</p>

<pre><code>library(lme4); library(plyr); library(ggplot2)
lmBetas &lt;- daply(sleepstudy, .(Subject), function(x) coef(lm(Reaction ~ Days, data=x))[""Days""])
</code></pre>

<p>Another approach in analysing these data would be to use a mixed effects model to estimate slopes for each level of the categorical independent variable, which in this case is <code>Subject</code>. This is the approach I've taken here (I've stored the betas from the model in <code>lmerBetas</code>):</p>

<pre><code>lmerBetas &lt;- coef(lmer(Reaction ~ Days + (Days | Subject), data=sleepstudy))$Subject[,""Days""]
</code></pre>

<p>I have learned that a single mixed effects model, as implemented through the <code>lmer</code> function in R, is more accurate at estimating slopes than a multiple linear regression model applied to multilevel data. This can be demonstrated with this plot of betas from the above models. </p>

<pre><code>betas &lt;- data.frame(method.betas = c(lmerBetas, lmBetas))
betas$method &lt;- c(rep(""lmer"", 18), rep(""lm"", 18))

ggplot(betas, aes(method.betas)) + 
  geom_histogram() +
  facet_grid(method ~ .)
</code></pre>

<p>The top histogram shows betas estimated using linear regression, and the bottom histogram shows betas estimated using mixed effects. You can see betas estimated using linear regression are more widely spread than those estimated through the mixed effects model.</p>

<p><img src=""http://i.stack.imgur.com/YtB22.jpg"" alt=""enter image description here""></p>

<p>So finally, my questions:</p>

<ol>
<li><p>Is a mixed effects model's higher accuracy in betas estimation connected with the fact that it models intercepts and slopes for each level of the categorical independent variable under a joint probability distribution?</p></li>
<li><p>Generally speaking, why is a mixed effects model more accurate in its betas estimation?</p></li>
</ol>
"
"0.275009549108463","0.31399291281138"," 77313","<p>I'd like to match the outputs of lmer (really glmer) with a toy binomial example. I've read the vignettes and believe I understand what's going on.</p>

<p>But apparently I do not. After getting stuck, I fixed the ""truth"" in terms of the random effects and went after estimation of the fixed effects alone. I'm including this code below. To see that it's legit, you can comment out <code>+ Z %*% b.k</code> and it will match the results of a regular glm. I'm hoping to borrow some brainpower to figure out why I'm not able to match lmer's output when the random effects are included.</p>

<pre><code># Setup - hard coding simple data set 
df &lt;- data.frame(x1 = rep(c(1:5), 3), subject = sort(rep(c(1:3), 5)))
df$subject &lt;- factor(df$subject)

# True coefficient values  
beta &lt;- matrix(c(-3.3, 1), ncol = 1) # Intercept and slope, respectively 
u &lt;- matrix(c(-.5, .6, .9), ncol = 1) # random effects for the 3 subjects 

# Design matrices Z (random effects) and X (fixed effects)
Z &lt;- model.matrix(~ 0 + factor(subject), data = df)
X &lt;- model.matrix(~ 1 + x1, data = df)

# Response  
df$y &lt;- c(1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1)
    y &lt;- df$y

### Goal: match estimates from the following lmer output! 
library(lme4)
my.lmer &lt;- lmer( y ~ x1 + (1 | subject), data = df, family = binomial)
summary(my.lmer)
ranef(my.lmer)

### Matching effort STARTS HERE 

beta.k &lt;- matrix(c(-3, 1.5), ncol = 1) # Initial values (close to truth)
b.k &lt;- matrix(c(1.82478, -1.53618, -.5139356), ncol = 1) # lmer's random effects

# Iterative Gauss-Newton algorithm
for (iter in 1:6) {
  lin.pred &lt;- as.numeric(X %*% beta.k +  Z %*% b.k)
  mu.k &lt;- plogis(lin.pred)
  variances &lt;- mu.k * (1 - mu.k)
  W.k &lt;- diag(1/variances)

  y.star &lt;- W.k^(.5) %*% (y - mu.k)
  X.star &lt;- W.k^(.5) %*% (variances * X)
  delta.k &lt;- solve(t(X.star) %*% X.star) %*% t(X.star) %*% y.star

  # Gauss-Newton Update 
  beta.k &lt;- beta.k + delta.k
  cat(iter, ""Fixed Effects: "", beta.k, ""\n"")
}
</code></pre>
"
"0.365636212063565","0.393610946830482","114350","<p>Thanks to Rijmen et al.(2003), we can fit GRM to the data with <code>lme4::glmer</code>.</p>

<p>I think Rasch model is straightforward, with <code>data.frame</code> with columns like this</p>

<pre><code> response  person  item
 0         1      1
 0         1      2
 1         1      3
 ...
 1         2      1
 0         2      2
</code></pre>

<p>we can fit Rasch model like this</p>

<pre><code> glmer(response ~ -1 + item + (1|person), data=   , family=""binomial"")
</code></pre>

<p>But how about GRM? The data would be like this</p>

<pre><code> response  person  item
 2         1      1
 4         1      2
 3         1      3
 ...
 1         2      1
 4         2      2
 ...
</code></pre>

<p>For a Likert scale (1 to 5). I thought converting the data like this</p>

<pre><code> response  person item  category
 1          1    1       2
 0          1    1       3
 1          1    2       4
 0          1    2       5
</code></pre>

<p>Because for <code>person1</code>, <code>item1</code>, the response is 2, which means that for response 2, it's yes and for response 3, it's no.</p>

<p>The model would be</p>

<pre><code> response ~ item:category + (1|person)
</code></pre>

<p>But I am not quite sure this is the right way to do...</p>

<p><em>Note</em>: person, item, category variables are all factors</p>

<p>According to <a href=""http://www.jstatsoft.org/v39/i12/paper"" rel=""nofollow"">De Boeck et al. (2011)</a>, GRM cannot be fitted with <code>lmer</code>
which is rather in contrast to Rijmen et al(2003).</p>

<p>=== ADDED</p>

<p>Now I think I am pretty sure it will work, at least for GRM with no slope parameter.</p>

<p>Data should be coded like this.</p>

<pre><code>response  person item  category
 0          1    1       1
 1          1    1       2
 1          1    1       3
 1          1    1       4
 1          1    1       5  (which is always true so should be omitted.)
</code></pre>

<p>for 1-5 category(ordinal) answer.</p>

<p>Main benefit of using GLMM for IRT model is you can put other covariates
(person, item, person-item) into the model.</p>

<p>And for GRM, you can set the difference between the ordinal response is the same,
which can't be handled by ordinary GRM function, for example, ltm::grm.
(Oh, I see ordinal::clmm can handle this, but I doubt it can be useful for a model like this)</p>

<pre><code>  response ~ item + (1 + category|person)
</code></pre>

<p>or this</p>

<pre><code>  response ~ item + (-1 + category|item) + (1|person)
</code></pre>

<p>in this case, category is integer and would be better if coded as -2, -1, 0, 1, 2.</p>

<p><strong>References</strong></p>

<p>Rijmen, F., Tuerlinckx, F., De Boeck, P., &amp; Kuppens, P. (2003). A nonlinear mixed model framework for item response theory. Psychological methods, 8(2), 185.</p>

<p>De Boeck, P., Bakker, M., Zwitser, R., Nivard, M., Hofman, A., Tuerlinckx, F., &amp; Partchev, I. (2011). The estimation of item response models with the lmer function from the lme4 package in R. Journal of Statistical Software, 39(12), 1-28.</p>

<p>====</p>

<p>Here's my source.</p>

<pre><code>library(ltm)
#Science[c(1,3,4,7)]
Sci.df &lt;- Science[c(1,3,4,7)] # Comfort, Work, Future, Benefit
Sci.df$id = 1:nrow(Sci.df)

Sci.long &lt;- reshape(Sci.df, varying=colnames(Sci.df[-5]), 
                v.names=""Response"", timevar=""item"", idvar=c(""id""), direction=""long"")
Sci.long$id &lt;- as.factor(Sci.long$id)
Sci.long$item &lt;- as.factor(Sci.long$item)

library(ordinal)
Sci.long.clmm &lt;- clmm(Response ~ (1|id)+item, data=Sci.long, threshold=""flexible"",     nAGQ=-21)
summary(Sci.long.clmm)

Positive1=as.integer(Sci.long$Response)&lt;=1
    Positive2=as.integer(Sci.long$Response)&lt;=2
Positive3=as.integer(Sci.long$Response)&lt;=3

Sci.long.sep1=Sci.long
Sci.long.sep1$Response=1; Sci.long.sep1$Positive=Positive1

Sci.long.sep2=Sci.long
Sci.long.sep2$Response=2; Sci.long.sep2$Positive=Positive2

Sci.long.sep3=Sci.long
Sci.long.sep3$Response=3; Sci.long.sep3$Positive=Positive3

Sci.long.sep = rbind(Sci.long.sep1, Sci.long.sep2, Sci.long.sep3)

Sci.long.sep$Response=as.factor(Sci.long.sep$Response)

Sci.long.sep.glmm &lt;- glmer(Positive ~ -1 + Response + item + (1|id), data=Sci.long.sep, family=binomial,
                       nAGQ=21, control=glmerControl(optimizer=""optimx"",
                       optCtrl=list(method=""nlminb""), check.conv.grad= .makeCC(""warning"", tol = 1e-4, relTol = NULL) ))
summary(Sci.long.sep.glmm)
</code></pre>

<p>I tried my best to make it same for clmm and glmer... but the log likelihood is different.</p>

<p>logLik = -1730.6 for glmer
logLik = -1633.5 for clmm</p>

<p>and the parameters r not the same but similar.</p>

<p>Does anyone know why the log likehoods are different?</p>
"
