"V1","V2","V3","V4"
"0.107211253483779","0.104257207028537"," 10697","<p>I'm studying R package dlm. So far it seems very powerful and flexible package, with nice programming interfaces and good documentation.</p>

<p>I've been able to successfully use dlmMLE and dlmModARMA to estimate the parameters of AR(1) process:</p>

<pre><code>u &lt;- arima.sim(list(ar = 0.3), 100)
fit &lt;- dlmMLE(u, parm = c(0.5, sd(u)),
              build = function(x)
                dlmModARMA(ar = x[1], sigma2 = x[2]^2))
fit$par
</code></pre>

<p>Now I'm trying to use similar code to estimate the parameters of simple linear regression model:</p>

<pre><code>r &lt;- rnorm(100)
u &lt;- -1*r + 0.5*rnorm(100)
fit &lt;- dlmMLE(u, parm = c(0, 1),
              build = function(x)
                dlmModReg(x[1]*r, FALSE, dV = x[2]^2))
fit$par
</code></pre>

<p>I expect fit$par to be close to c(-1, 0.5), but I keep getting something like</p>

<pre><code>[1] -0.0002118851  0.4884367070
</code></pre>

<p>The coefficient -1 is not estimated correctly. However, the strange thing is that the variance of the noise is returned correctly.</p>

<p>I understand that max-likelihood estimation might fail given bad initial values, but I observed that the likelihood function returned by dlmLL is very flat in the first coordinate.</p>

<p>So I wonder: can such model be estimated at all using dlm? I believe the model is ""non-singular"", however I'm not sure how the likelihood function is calculated inside the dlm.</p>

<p>Any hint greatly appreciated.</p>
"
"NaN","NaN"," 11703","<p>Assume the following easy example of a glm regression with an offset:</p>

<pre><code>numberofdrugs&lt;-rpois(84, 10)
healthvalue&lt;-rpois(84,75)
age&lt;-rnorm(84,50,5)
test&lt;-glm(healthvalue~age, family=poisson, offset=log(numberofdrugs))
summary(test)
fitted(test) #how to get one of these values manually?
</code></pre>

<ul>
<li>How can I compute the fitted values manually? </li>
<li>Also, why is there no estimation of log(numberofdrugs)? 
<ul>
<li>In the book <a href=""http://rads.stackoverflow.com/amzn/click/0412317605"" rel=""nofollow""><em>Generalized Linear Models</em></a> on page 205-207 there is an example where the offset is estimated. It was done to see if the coefficient is close to one. It's 0.903 (see page 207 if you've this classic book) and from this follows, that there is nearly a constant rate in the number of damage incident!</li>
</ul></li>
</ul>

<p>Previous related questions asked: </p>

<ul>
<li><a href=""http://stats.stackexchange.com/questions/11182/when-to-use-an-offset-in-a-poisson-regression"">When to use an offset?</a></li>
<li><a href=""http://stats.stackexchange.com/questions/11595/whether-to-use-an-offset-in-a-poisson-regression-when-predicting-total-career-goa"">Whether to use an offset when predicting hockey scores?</a></li>
</ul>
"
"0.0618984460590173","0.0601929265428846"," 13069","<p>I am very interested about the potential of statistical analysis for simulation/forecasting/function estimation, etc. </p>

<p>However, I don't know much about it and my mathematical knowledge is still quite limited -- I am a junior undergraduate student in software engineering. </p>

<p>I am looking for a book that would get me started on certain things which I keep reading about: linear regression and other kinds of regression, bayesian methods, monte carlo methods, machine learning, etc.
I also want to get started with R so if there was a book that combined both, that would be awesome. </p>

<p>Preferably, I would like the book to explain things conceptually and not in too much technical details -- I would like statistics to be very intuitive to me, because I understand there are very many risky pitfalls in statistics. </p>

<p>I am off course willing to read more books to improve my understanding of topics which I deem valuable.</p>
"
"0.186630836985285","0.199637352376173"," 13172","<p>I would like to use a binary logistic regression model in the context of streaming data (multidimensional time series) in order to predict the value of the dependent variable of the data (i.e. row) that just arrived, given the past observations. As far as I know, logistic regression is traditionally used for postmortem analysis, where each dependent variable has already been set (either by inspection, or by the nature of the study). </p>

<p>What happens in the case of time series though,  where we want to make prediction (on the fly) about the dependent variable in terms of historical data (for example in a time window of the last $t$ seconds) and, of course, the previous estimates of the dependent variable?</p>

<p>And if you see the above system over time, how it should be constructed in order for the regression to work? Do we have to train it first by labeling, let's say, the first 50 rows of our data (i.e. setting the dependent variable to 0 or 1) and then use the current estimate of vector ${\beta}$ to estimate the new probability of the dependent variable being 0 or 1 for the data that just arrived (i.e. the new row that was just added to the system)?</p>

<p>To make my problem more clear, I am trying to build a system that parses a dataset row by row and tries to make prediction of a binary outcome (dependent variable) , given the knowledge (observation or estimation) of all the previous dependent or explanatory variables that have arrived in a fixed time window. My system is in Rerl and uses R for the inference. </p>
"
"0.0618984460590173","0.0601929265428846"," 17811","<p><strong>Context.</strong> I'd like to fit a regression line to study to relation between some response variable $y$ and some continuous covariate $x$. Because of the presence of bad leverage points, I have opted for an MM-estimator instead of the usual LS-estimator. </p>

<p><strong>Methodology.</strong> Basically, MM-estimation is M-estimation initialised by an S-estimator. Hence, two loss functions have to be picked. I have chosen the widely used Tukey Biweight's loss function</p>

<p>$\rho ( u ) = \left\{
\begin{array}{ll}
1 - \left[ 1 - \left( \tfrac{u}{k} \right)^{2} \right]^{3} &amp; \textrm{if } | u | \leq k \\
1 &amp; \textrm{if } | u | &gt; k,
\end{array}
\right.$</p>

<p>with $k = 1.548$ at the preliminary S-estimator (which gives a breakdown point equal to $50 \%$), and with $k = 2.697$ at the M-estimation step (to guarantee $70\%$ Gaussian efficiency).</p>

<p>I'd like to use R to fit my robust regression line. </p>

<p><strong>Question.</strong> </p>

<pre><code>library(MASS)
rlm(y~x, 
    method=""MM"",
    k0=1.548, c=2.697,
    maxit=50)
</code></pre>

<ul>
<li>Is my code consistent with the previous paragraph?  </li>
<li>Would you use other optional arguments?</li>
</ul>

<p><strong>EDIT.</strong> Following my discussion with @Jason Morgan, I realise that my previous code is wrong. (@Jason Morgan: Thank you very much for this!) However, I am still not convinced by his proposal. Instead, here is what I propose now:</p>

<pre><code>library(robustbase)
lmrob(y~x, 
      tuning.chi=1.548, tuning.psi=2.697)
</code></pre>

<p>I think it sticks to the methodology now. <strong>Do you agree?</strong></p>

<p>Thanks!</p>
"
"0.206010481049842","0.217028683070608"," 20417","<p>I am working on a Monte Carlo study of bootstrapping in an AR(1) model for a homework assignment (I'm using Matlab). The goal is to say something about the empirical rejection probabilities of the bootstrap in this specific context. However, I've been running into some computational problems. </p>

<p>Some context first. Suppose one has a regression $y_t = \gamma + \rho y_{t-1} + \varepsilon_t$, and wants to test the two-tailed hypothesis $\rho = \rho_0$ by the bootstrap. To do this, one first estimates the regression by, say, OLS, and then uses the obtained residuals $\hat \varepsilon_t$ and coefficients $\hat \gamma, \; \hat \rho$ for constructing the bootstrap samples. However, in this case, the bootstrap sample has to be constructed recursively. What is even worse for the computations, I have to repeat these calculations many times using different simulated data sets <em>and</em> different values of $\rho$. (The reason is that this allows one to get some sense of the empirical level of the test at different values of $\rho$.) </p>

<p>So far I have been doing it in the naive way of just estimating many regressions, generating the bootstrap samples, and so on. I was able to eliminate quite a few loops by using the <code>filter</code> function when generating bootstrap samples but still computational times are quite huge. I compared it with the built-in bootstrap in <a href=""http://gretl.sourceforge.net/"" rel=""nofollow"">gretl</a>, and it is many times slower. (I'm aware that gretl is written in C, but I sense that there is more to this than that.)</p>

<p>Hence, my question would be: what general advice could you give to implement bootstrapping efficiently in a matrix based language? Are there some smart ways to avoid estimation of many OLS regressions and generation of the bootstrap samples? Although I'm using Matlab for the computations, but if you have some general advice on say, doing this with R, all the help would be very much appreciated. Also, since this is a homework assignment I have to do, using existing libraries is not really an option. :)</p>
"
"0.0875376219064817","0.0851256530758749"," 20725","<p>I have a model that looks like </p>

<pre><code>lm(y ~ lag(x, -1) + lag(z, -1))
</code></pre>

<p>So basically, this is a time series regression with exogenous variables, and I want to carry out a rolling analysis of sample forecasts, meaning that:
I first used a subsample (e.g., 1990-1995) for estimation, then I performed a one step ahead forecast, then I added one observation and made another one step ahead forecast, and so on.</p>

<p>I have tried to work with <code>rollapply</code>, defining the model as <code>arima(0,0,0)</code> with <code>xreg=lags</code> of the other variables, but that doesn't work. </p>

<p>Your help would be much appreciated!</p>
"
"0.0618984460590173","0.0601929265428846"," 24572","<p>In my previous <a href=""http://stats.stackexchange.com/questions/24380/how-to-get-ellipse-region-from-bivariate-normal-distributed-data"">question</a> I needed to help with ellipse region extraction and determine if point lies in that region or not.
I ended up with this code:</p>

<pre><code>library(ellipse)
library(mvtnorm)
require(spatstat)

netflow &lt;- read.csv(file=""data.csv"",head=FALSE,sep="" "")
#add headers
names(netflow)&lt;-c('timestamps','flows','flows_tcp','flows_udp','flows_icmp','flows_other','packe ts','packets_tcp','packets_udp','packets_icmp','packets_other','octets','octets_tcp','octets_udp','octets_icmp','octets_other')
attach(netflow)

#load library
library(sfsmisc)
#plot
plot(packets,flows,type='p',xlim=c(0,500000),ylim=c(0,50000),main=""Dependence number of flows on number of packets"",xlab=""packets"",ylab=""flows"",pch = 16, cex = .3,col=""#0000ff22"",xaxt=""n"")
#Complete the x axis
eaxis(1, padj=-0.5, cex.axis=0.8)

pktsFlows=subset(na.omit(netflow),select=c(packets,flows))
head(pktsFlows)
#plot(pktsFlows,pch = 16, cex = .3,col=""#0000ff22"")

cPktsFlows &lt;- apply(pktsFlows, 2, mean)
elpPktsFlows=ellipse::ellipse(var(pktsFlows),centre=cPktsFlows,level=0.8)

png(file=""graph.png"")
plot(elpPktsFlows,type='l',xlim=c(0,500000), ylim=c(0,50000))
points(pktsFlows,pch = 19, cex = 0.5,col=""#0000FF82"")
grid(ny=10,nx=10)
dev.off()

W &lt;- owin(poly=elpPktsFlows)
inside.owin(100000,18000,W)
</code></pre>

<p>This produces this <a href=""https://github.com/matejuh/doschecker_wiki_images/raw/master/linear_regression/density/ellipse.png"" rel=""nofollow"">graph</a>.</p>

<p><img src=""https://github.com/matejuh/doschecker_wiki_images/raw/master/linear_regression/density/ellipse.png"" alt=""graph ellipse""></p>

<p>Here is the same data with the <a href=""https://github.com/matejuh/doschecker_wiki_images/raw/master/linear_regression/density/linRegAll.png"" rel=""nofollow"">regression line plotted</a></p>

<p><img src=""https://github.com/matejuh/doschecker_wiki_images/raw/master/linear_regression/density/linRegAll.png"" alt=""Plot all with linear regression line"">.</p>

<p>Can you explain me, why the ellipse has this shape? I expected that main axe of ellipse will have the same direction with linear regression line, but it hasn't.</p>

<p>Btw. <a href=""https://github.com/matejuh/doschecker_wiki_images/raw/master/linear_regression/kernel/kernelPoints.png"" rel=""nofollow"">kernel density estimation</a> also points to 100000 althought there are no points...</p>

<p><img src=""https://github.com/matejuh/doschecker_wiki_images/raw/master/linear_regression/kernel/kernelPoints.png"" alt=""kernel density estimation""></p>
"
"0.185695338177052","0.180578779628654"," 24857","<p>Much like with regression, handling binary dependent variables in SEM requires special considerations. In particular, some of these are noted on Dave Garson's <a href=""http://faculty.chass.ncsu.edu/garson/PA765/structur.htm"" rel=""nofollow"">Structural Equation Modeling</a> and include:</p>

<blockquote>
  <ol>
  <li><p>Polychoric correlation. LISREL/PRELIS uses polyserial, tetrachoric, and polychoric correlations to create the input correlation matrix,
  combined with ADF estimation (see below), for variables which cannot
  be assumed to have a bivariate normal distribution.</p>
  
  <ul>
  <li>Sample size issue. ADF [Asymptotically distribution-free] estimation in turn requires a very large sample size. Yuan and Bentler (1994)
  found satisfactory estimates only with a sample size of at least 2,000
  and preferably 5,000. Violating this requirement may introduce
  problems greater than treating ordinal data as interval and using ML
  estimation. This is also a reason cited for preferring the Bayesian
  estimation approach to ordinal data taken by Amos since Bayesian
  estimation can handle smaller samples than ML or ADF.</li>
  </ul></li>
  </ol>
</blockquote>

<p>I'm currently trying to use the package <a href=""http://cran.r-project.org/web/packages/sem/index.html"" rel=""nofollow"">sem</a> in R to test my model, and the author of the model suggests using polychoric correlations on <a href=""http://r.789695.n4.nabble.com/Link-functions-in-SEM-td859182.html"" rel=""nofollow"">R-help</a>. The problems are: </p>

<ol>
<li>I don't know what estimation method is being used with these correlations (i.e., ADF or ML). </li>
<li>My sample size is small (N = 173). </li>
<li>I'm not familiar with how to interpret polychoric associations (in the case that it is appropriate for me to use them). All the other variables in my model are continuous in nature. </li>
</ol>

<p>Any help and/or links would be greatly appreciated. I'm also considering using other software like OpenMX, but I'm still reading about how it handles binary data. Help with what other software I might want to use would also be appreciated.</p>
"
"0.140372481268719","0.159255514317652"," 25538","<p>I am looking into time series data compression at the moment.</p>

<p>The idea is to fit a curve on a time series of n points so that the maximum deviation of any of the points is not greater than a given threshold. In other words, none of the values that the curve takes at the points where the time series is defined should be ""further away"" than a certain threshold from the actual values.</p>

<p>Till now I have found out how to do nonlinear regression using the least squares estimation method in R (<code>nls</code> function) and other languages, but I haven't found any packages that implement nonlinear regression with the L-infinity norm.</p>

<p>I have found papers on <a href=""http://www.jstor.org/discover/10.2307/2006101?uid=3737864&amp;uid=2&amp;uid=4&amp;sid=21100693651721"">""Non-linear curve fitting in the $L_1$ and $L_{\infty}$ norms""</a>, by Shrager and Hill and <a href=""http://www.dtic.mil/dtic/tr/fulltext/u2/a080454.pdf"">""A linear  programming algorithm  for curve fitting in the $L_{\infty}$ norm""</a>, by Armstrong and Sklar.</p>

<p>I could try to implement this in R for instance, but I first looking to see if this hasn't already been done and that I could maybe reuse it.</p>

<p>I have found a solution that I don't believe to be ""very scientific"": I use nonlinear least squares regression to find the starting values of the parameters which I subsequently use as starting points in the R <code>optim</code> function that minimizes the maximum deviation of the curve from the actual points.</p>

<p>The idea is to be able to find out if this type of curve-fitting is possible on a given time series sequence and to determine the parameters that allow it.</p>
"
