"V1","V2","V3","V4"
"0.134030115482631","0.151329981691595"," 10110","<p>100 periods have been collected from a 3 dimensional periodic signal. The wavelength slightly varies. The noise of the wavelength follows Gaussian distribution with zero mean. A good estimate of the wavelength is known, that is not an issue here. The noise of the amplitude may not be Gaussian and may be contaminated with outliers.</p>

<p><strong>How can I compute a single period that approximates 'best' all of the collected 100 periods?</strong></p>

<p>I have no idea how time-series models work. Are they prepared for varying wavelengths? Can they handle non-smooth true signals? If a time-series model is fitted, can I compute a 'best estimate' for a single period? How?</p>

<p>A related question is <a href=""http://stackoverflow.com/q/2572444/341970"">this</a>. Speed is not an issue in my case. Processing is done off-line, after all periods have been collected.</p>

<p><strong>Origin of the problem:</strong> I am measuring acceleration during human steps at 200 Hz. After that I am trying to double integrate the data to get the vertical displacement of the center of gravity. Of course the noise introduces a HUGE error when you integrate twice. I would like to exploit periodicity to reduce this noise. Here is a crude graph of the actual data (y: acceleration in g, x: time in second) of 6 steps corresponding to 3 periods (1 left and 1 right step is a period):
<img src=""http://i.stack.imgur.com/44q8d.png"" alt=""Human steps""></p>

<p>My interest is now purely theoretical, as <a href=""http://jap.physiology.org/content/39/1/174.abstract"" rel=""nofollow"">http://jap.physiology.org/content/39/1/174.abstract</a> gives a pretty good recipe what to do. It does not address periodicity.</p>

<p><strong>Note:</strong> I have asked <a href=""http://stackoverflow.com/q/5702974/341970"">this question on stackoverflow</a> but it seems to be off-topic there.</p>
"
"0.116073484880121","0.131055608499156"," 13252","<p>When I'm dealing with time-series data I'm generally thinking about visualizing that data with a bar graph (small n) or a line plot (large n). For example, I might create something like the below:</p>

<p><img src=""http://i.stack.imgur.com/au0Li.png"" alt=""enter image description here""></p>

<p>However, is there any instance in which a dot plot can be used to visualize time-series data? ( a clevland dot-plot is what I mean, with dates on y-axis and values on the x-axis)</p>

<p>Here's the data and code I used for the previous graph.</p>

<pre><code>conv = c(10, 4.76, 17.14, 25, 26.47, 37.5, 20.83, 25.53, 32.5, 16.7, 27.33)
click = c(20, 42, 35, 28, 34, 48, 48, 47, 40, 30, 30)

dat &lt;- data.frame(date=c(""July 7"", ""July 8"", ""July 9"", ""July 10"", ""July 11"", ""July 12"", ""July 13"",
                  ""July 14"", ""July 15"", ""July 16"", ""July 17""), click=c(click), conv=c(conv),
                  stringsAsFactors = FALSE)

dat

ggplot(dat, aes(as.character(date), conv)) +  geom_bar(fill=""#336699"", colour=""black"") + ylim(c(0,50)) +
        opts(title=""Conversion Rate"") +
        opts(axis.text.y=theme_text(family=""sans"", face=""bold"", size=10)) +
        opts(axis.text.x=theme_text(family=""sans"", face=""bold"", size=8)) +
        opts(plot.title = theme_text(size=15, face=""bold"")) +
        xlab("""") + ylab("""")
</code></pre>

<p>EDIT:</p>

<p>My question may not have been clear. I'm NOT asking how to generate a cleveland dot plot. I'm asking whether it's all right to use a cleveland dot plot to visualize time series data. According to the 'statistical visualization rulebook', are cleveland dot plots a good way to represent time series data?</p>
"
"0.189547207081969","0.178344093751605"," 13984","<p>I would like to combine the forecasted and backcasted (viz. the predicted past values) of a  time-series data set into one time-series by minimizing the Mean Squared Prediction Error.</p>

<p>Say I have time series from 2001-2010 with a gap for the year 2007. I have been able to forecast 2007 using the 2001-2007 data (red line - called it $Y_f$) and to backcast using the 2008-2009 data (light blue line - call it $Y_b$).</p>

<p>I would like to combine the data points of $Y_f$ and $Y_b$ into a imputed data point Y_i for each month. Ideally I would like to obtain the weight $w$ such that it minimizes the Mean Squared Prediction Error (MSPE) of $Y_i$. If this is not possible, how would I just find the average between the two time-series' data points?</p>

<p>$$Y_i = w\cdot Y_f + (1-w)\cdot Y_b$$</p>

<p>As a quick example:</p>

<pre><code>tt_f &lt;- ts(1:12, start = 2007, freq = 12)
tt_b &lt;- ts(10:21, start=2007, freq=12)

tt_f
     Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
2007   1   2   3   4   5   6   7   8   9  10  11  12
tt_b
     Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
2007  10  11  12  13  14  15  16  17  18  19  20  21
</code></pre>

<p>I would like to get (just showing the averaging... Ideally minimizing the MSPE)</p>

<pre><code>tt_i
     Jan Feb Mar Apr May Jun  Jul  Aug  Sep  Oct  Nov  Dec
2007 5.5 6.5 7.5 8.5 9.5 10.5 11.5 12.5 13.5 14.5 15.5 16.5
</code></pre>

<p><img src=""http://i.stack.imgur.com/VscVU.jpg"" alt=""enter image description here""></p>
"
"0.218870262065833","0.247120825286086"," 19103","<p>I have two time series, shown in the plot below:</p>

<p><img src=""http://i.stack.imgur.com/w398k.png"" alt=""Time Series Plot""></p>

<p>The plot is showing the full detail of both time series, but I can easily reduce it to just the coincident observations if needed.</p>

<p>My question is: <strong>What statistical methods can I use to assess the differences between the time series?</strong></p>

<p>I know this is a fairly broad and vague question, but I can't seem to find much introductory material on this anywhere. As I can see it, there are two distinct things to assess:</p>

<p><strong>1. Are the values the same?</strong></p>

<p><strong>2. Are the trends the same?</strong></p>

<p>What sort of statistical tests would you suggest looking at to assess these questions? For question 1 I can obviously assess the means of the different datasets and look for significant differences in distributions, but is there a way of doing this that takes into account the time-series nature of the data?</p>

<p>For question 2 - is there something like the Mann-Kendall tests that looks for the similarity between two trends? I could do the Mann-Kendall test for both datasets and compare, but I don't know if that is a valid way to do things, or whether there is a better way?</p>

<p>I'm doing all of this in R, so if tests you suggest have a R package then please let me know.</p>
"
"0.0773823232534137","0.0873704056661038"," 23746","<p>I have forecasts and actuals for panel data (i.e. time-series cross-sectional data). The forecasts are already generated and provided by some source outside of R. I'd like to evaluate the quality of the forecasts.</p>

<p>Are there standard tools in R that perform various diagnostics on the residuals? By diagnostics I mean tests such as: </p>

<ul>
<li>auto-correlation of residuals across the cross-section</li>
<li>auto-correlation of residuals along the time series for a given member</li>
<li>tests for fixed effects vs. random effects</li>
<li>heteroskedasticity, etc.</li>
</ul>

<p>Or is the best way to perform these diagnostics to perhaps build a panel model using the forecast as the predictor in the panel model?</p>
"
"0.309529293013655","0.327639021247889"," 31374","<p>Motivation: I was hired as an intern a few weeks ago to figure out if my company needed to buy new machines six months in advance. Database machines take up to 4 months to install and there is a 2 month grace period.</p>

<p>I signed an NDA, so I don't think I can give any actual data.</p>

<p>The only reliable information I have now, is information on the number of logins and registrations for an education company from 2002 to 2011. I think I can get more recent information on registrations, and people are working on getting login information. We stopped logging login information in 2011 so there will be a gap of no data when I try to forecast :(</p>

<p>The information is collected daily.</p>

<p>I've created a time series forecast of the data using R. I used this tutorial
<a href=""http://a-little-book-of-r-for-time-series.readthedocs.org/en/latest/src/timeseries.html#arima-models"" rel=""nofollow"">http://a-little-book-of-r-for-time-series.readthedocs.org/en/latest/src/timeseries.html#arima-models</a> To make a holt winters exponential model with daily frequency (frequency = 365). I've removed February 29 from the data. Unfortunately the gap in login data means I will have to try a more specific ARIMA right? Will I be able to use arima if there are long gaps in the data? Also, the arima function in R doesn't allow for frequencies greater than 350, and it runs out of memory quickly, so I'd have to use a monthly model (freq = 12). I have tried using fourier but the predictions didn't look right intuitively. Since I want to know what the peak usages are though, I think I might want to be more specific. Is it ok to use a weekly frequency (freq = 52) and just remove Dec 31?</p>

<p>Is daily frequency allowable? Like can I use exponential smoothing with daily frequency even though Sept 7, 2012 might fall on a Sunday, whereas Sept 7, 2011 and 2010 and 2009 might all be weekdays. There is a daily, weekly, and yearly seasonality in demand and number of logins. Eg. 6pm, and Monday, and September are more loaded in general than 4am, and Saturday, and May. There is a yearly seasonality in number of registrations.</p>

<p>I've been having some issues with the login predictions
The problem is that variability increases too much before 6 months have even passed. At the 80% confidence interval. The projection line extends into 2012 and the orange area is the 80% confidence interval. Logging and using additive exponential smoothing gave me much more variability than multiplicative exponential smoothing.</p>

<p>It's not useful to the company to say that ""well you might have 8 jillion logins sometime in the next 6 months and you might have 20% more than you had last year."" How do I reduce the variance in the projection?</p>

<p><a href=""http://img836.imageshack.us/img836/8460/holtwintersloginmultipl.png"" rel=""nofollow"">http://img836.imageshack.us/img836/8460/holtwintersloginmultipl.png</a></p>

<p>Finally, I was thinking that after I got accurate projections, I'd put logins and registrations in a neural network, and I'd put something like average wait time on a few machines as the ouput variable, and I'd forecast peak projected processing power demand in 6 months. There are other variables to consider, like software releases that change cpu demand per user, but I'm hoping the neural network will learn when these happen, or that they are easy to detect and account for. I don't have any good data on average wait time yet, but assuming I find some, is this a good plan?</p>
"
"0.256648131637567","0.237088516398225"," 33405","<p>I'm working with a time-series of several years and to analyze it, Iâ€™m using GAM smoothers from the package <code>mgcv</code>. Iâ€™m constructing models where zooplankton biomass (<code>bm</code>) is the dependent variable and the continuous explanatory variables are: </p>

<p>-time in Julian days (<code>t</code>), to creat a long-term linear trend</p>

<p>-Julian days of the year (<code>t_year</code>) to create an annual cycle</p>

<p>-Mean temperature of Winter (<code>temp_W</code>), Temperature of September (<code>temp_sept</code>) or Chla. </p>

<p>Questions: </p>

<p>1) To introduce a tensor product modifying the annual cycle in my model, I tried 2 different approaches: </p>

<p>a) <code>gam( bm ~ t + te (t_year, temp_W, temp_sept, k = c( 5,30 ), d = ( 1,2), bs = c(  â€œccâ€,â€crâ€ ) ), data = data )</code> </p>

<p>b) <code>gam( bm ~ t + te ( t_year, temp_W, temp_sept, k = 5, bs = c( â€œccâ€,â€crâ€,â€crâ€ ) ), data = data )</code></p>

<p>Here is my problem: when Iâ€™m using just 2 variables (e.g., <code>t_year</code> and <code>temp_W</code>) for the tensor product, I can understand pretty well how the interpolation works and visualize it with <code>vis.gam()</code> as a 3d plot or a contour one. But with 3 variables it is difficult for me  to understand how it works. Besides, I donâ€™t know which one is the proper way to construct it, a) or b). Finally, when I plot a) or b) as <code>vis.gam (model_name , view= c(â€œt_yearâ€, â€œtemp_Wâ€))</code>, How should I interpret the plot? The effect of <code>temp_W</code> on the annual cycle after considering already the effect of <code>temp_sept</code> or just the individual effect of <code>temp_W</code> on the annual cycle?</p>

<p>2) Iâ€™m trying to do a model selection using AIC criteria. I have several questions about it: </p>

<p>Should I use always the same type of smoothing basis (<code>bs</code>), the same type of smoother ( e.g <code>te</code>) and the same dimension of the basis (<code>k</code>)? Example: </p>

<p>Option 1: </p>

<p>a) <code>mod1 &lt;- gam(bm ~ t, data = data )</code></p>

<p>b)<code>mod2 &lt;- gam( bm ~ te ( t, k = 5, bs = â€œcrâ€ ), data = data )</code></p>

<p>c) <code>mod3 &lt;- gam( bm ~ te ( t_year, k = 5, bs = â€œccâ€), data = data )</code></p>

<p>d) <code>mod4 &lt;- gam( bm ~ te ( t_year, temp_W, k = 5, bs = c( â€œccâ€,â€crâ€ ) ), data = data )</code> </p>

<p>e) <code>mod5 &lt;- gam( bm ~ te ( t_year, temp_W, temp_sept, k = 5, bs = c( â€œccâ€,â€crâ€,â€crâ€ ) ), data = data )</code>. </p>

<p>Here the limitation for <code>k = 5</code>, is due to <code>mod5</code>, I donâ€™t use <code>s ()</code> because in <code>mod4</code> and <code>mod5</code> <code>te ()</code> is used and finally, I always use â€œ<code>cr</code>â€ and â€œ<code>cc</code>â€. </p>

<p>Option 2: </p>

<p>a) <code>mod1 &lt;- gam( bm ~ t, data = data )</code></p>

<p>b) <code>mod2 &lt;- gam( bm ~ s ( t, k = 13, bs = â€œcrâ€ ), data = data )</code></p>

<p>c) <code>mod3 &lt;- gam( bm ~ s( t_year, k = 13, bs = â€œccâ€ ), data = data )</code> </p>

<p>d) <code>mod4 &lt;- gam( bm ~ te( t_year, temp_W, k = 11, bs = c( â€œccâ€,â€crâ€ ) ), data = data)</code> </p>

<p>e) <code>mod5 &lt;- gam( bm ~ te( t_year, temp_W, temp_sept, k = 5, bs = c( â€œccâ€,â€crâ€,â€crâ€ ) ), data = data )</code> </p>

<p>I can get lower AIC for each of the models with Option 2, but are they comparable when I use AIC criteria? Is it therefore the proper way to do it as in Option 1? </p>

<p><code>AIC (mod1, mod2, mod3, mod4, mod5)</code>. </p>

<p>As an example of how the data frame looks like:</p>

<pre><code>&gt; time_series_data

          bm      Chla year month       t t_year temp_W temp_sept
1  2.1680335 54.718891 1993     1 2449009     20   12.1      19.3
2  4.6180770 29.372938 1993     2 2449043     54   12.1      19.3
3  4.6871990 99.198623 1993     3 2449064     75   12.1      19.3
4  4.9862020 59.835987 1993     4 2449094    105   12.1      19.3
5  3.4977156 79.990143 1993     5 2449120    131   12.1      19.3
6  3.1030763 68.018739 1993     6 2449148    159   12.1      19.3
7  2.0312841 70.850406 1993     7 2449181    192   12.1      19.3
8  1.2477797 62.381780 1993     8 2449211    222   12.1      19.3
9  2.1445538 99.094776 1993     9 2449254    265   12.1      19.3
10 6.7026438 82.397907 1993    10 2449282    293   12.1      19.3
11 1.6524655 44.977256 1993    11 2449303    314   12.1      19.3
12 2.1627389 52.624779 1993    12 2449342    353   12.1      19.3
13 3.0981200 58.274128 1994     1 2449374     20   11.3      18.6
14 2.4342291 14.733698 1994     2 2449402     48   11.3      18.6
15 4.8691345 51.508774 1994     3 2449431     77   11.3      18.6
16 3.7366294 38.206928 1994     4 2449458    104   11.3      18.6
17 3.3565706 72.763028 1994     5 2449500    146   11.3      18.6
18 2.7869220 81.265662 1994     6 2449520    166   11.3      18.6
19 2.6971469 50.692921 1994     7 2449540    186   11.3      18.6
20 1.3758862 94.396013 1994     8 2449569    215   11.3      18.6
21 5.7578197 59.357898 1994     9 2449620    266   11.3      18.6
22 2.8941763 21.974925 1994    10 2449645    291   11.3      18.6
23 0.9530070  7.781981 1994    11 2449673    319   11.3      18.6
24 0.3713342 84.950835 1994    12 2449697    343   11.3      18.6  
</code></pre>
"
"0.109435131032917","0.123560412643043"," 40749","<p>I have a linear model (with seasonal dummy variables) that produces monthly
forecasts. I'm using R together with the 'forecast' package:</p>

<pre><code>require(forecast)
model = tslm(waterflow ~ rainfall + season, data = model.df, lambda = lambda)
forec = forecast(model, newdata = rainfall.df, lambda = lambda)
</code></pre>

<p>I did a cross-validation and it looks great. Now, what i need is to generate
<em>weekly data points</em> from these month forecasts - in other words, i need to generate a synthetic time-series that have monthly means equal to the forecasts above. So my function would look like:</p>

<pre><code>generate.data = function(monthly.means, start.date, end.date)
{
   #code here
}
</code></pre>

<p>I'm not sure how to do this (interpolation?), so any help is welcome.
Thanks!</p>
"
"NaN","NaN"," 53429","<p>I'm wondering if someone might be able to help me locate an appropriate model for the following two time-series (the cyan and blue one, the reds are rolling means).</p>

<p><img src=""http://i.stack.imgur.com/LN9RP.png"" alt=""[The time-series in question](http://i.imgur.com/pmXerft.png)""></p>

<p>I'm looking more for a general direction based on the attributes of the data rather than a ""use this"" answer. Otherwise I'll learn less. Though all assistance is welcome. </p>
"
"0.218870262065833","0.247120825286086"," 63796","<p>This is related to a <a href=""http://stats.stackexchange.com/questions/62646/pooled-time-series-regression-in-r"">question</a> I asked a couple weeks ago, but I've got a new question related to the same data. You can find the data and its accompanying explanation in the link provided.</p>

<p>I felt that a regression including year as a covariate along with year dummies would lead to a linear dependence problem, but I was told to try it anyway as </p>

<blockquote>
  <p>""the year dummies as independent variables [may] pick up year-specific
  random effects not accounted for by a time trend, e.g. for example the
  trend over all years could be down by say 2 percent per year which
  could apply to most years, but a negative macro shock in one
  particular year could make that year lie way off the regression
  line--a simple example of why the year dummies are not co-linear with
  a time trend.""</p>
</blockquote>

<p>This makes sense, I suppose, so I ran a regression that simply included year and year dummies for each year as the independent variables (including AR(1) corrections). This looked like the following:</p>

<pre><code>&gt; ## Generate YearFactor and AgeGroupFactor using factor()
&gt; 
&gt; YearFactor &lt;- factor(YearVar)
&gt; AgeGroupFactor &lt;- factor(AgeGroup)
&gt; 
&gt; ## Check to see that YearFactor and AgeGroupFactor are indeed factor variables
&gt; 
&gt; is.factor(YearFactor)
[1] TRUE
&gt; is.factor(AgeGroupFactor)
[1] TRUE
&gt;
&gt; ## Run regressions with both time trend and year dummies to determine if a linear dependence problem exists.
&gt; 
&gt; TrendDummies &lt;- gls(PPHPY ~ YearVar + YearFactor, correlation=corARMA(p=1))
Error in glsEstimate(object, control = control) : 
 computed ""gls"" fit is singular, rank 13
&gt; summary(TrendDummies)
Error in summary(TrendDummies) : object 'TrendDummies' not found
&gt;
</code></pre>

<p>I interpret the error message ""Error in glsEstimate(object, control = control) : 
     computed ""gls"" fit is singular, rank 13"" to mean that there indeed is a linear dependence problem in this case. Am I properly interpreting this? </p>

<p>Also, given the advice in quotes above, would my regression as constructed (if there were no linear dependence problems) capture the effects mentioned therein?</p>

<p>And finally, if I run the same regression as OLS with no AR(1) correlation structure, I do indeed get some results (instead of an error message). Any thoughts on that?</p>
"
