"V1","V2","V3","V4"
"0.145574905049368","0.148556270541641","  5543","<p>I have found some distributions for which BUGS and R have different parameterizations: Normal, log-Normal, and Weibull.</p>

<p>For each of these, I gather that the second parameter used by R needs to be inverse transformed (1/parameter) before being used in BUGS (or JAGS in my case). </p>

<p>Does anyone know of a comprehensive list of these transformations that currently exists?</p>

<p>The closest I can find would be comparing the distributions in table 7 of the <a href=""http://sourceforge.net/projects/mcmc-jags/files/Manuals/2.x/jags_user_manual.pdf"">JAGS 2.2.0 user manual</a> with the results of <code>?rnorm</code> etc. and perhaps a few probability texts. This approach appears to require that the transformations will need to be deduced from the pdfs separately. </p>

<p>I would prefer to avoid this task (and possible errors) if it has already been done, or else start the list here.</p>

<p><strong>Update</strong></p>

<p>Based on Ben's suggestions, I have written the following function to transform a dataframe of parameters from R to BUGS parameterizations.</p>

<pre><code>##' convert R parameterizations to BUGS paramaterizations
##' 
##' R and BUGS have different parameterizations for some distributions. 
##' This function transforms the distributions from R defaults to BUGS 
##' defaults. BUGS is an implementation of the BUGS language, and these 
##' transformations are expected to work for bugs.
##' @param priors data.frame with colnames c('distn', 'parama', 'paramb')
##' @return priors with jags parameterizations
##' @author David LeBauer

r2bugs.distributions &lt;- function(priors) {

  norm   &lt;- priors$distn %in% 'norm'
  lnorm  &lt;- priors$distn %in% 'lnorm'
  weib   &lt;- priors$distn %in% 'weibull'
  bin    &lt;- priors$distn %in% 'binom'

  ## Convert sd to precision for norm &amp; lnorm
  priors$paramb[norm | lnorm] &lt;-  1/priors$paramb[norm | lnorm]^2
  ## Convert R parameter b to JAGS parameter lambda by l = (1/b)^a
  priors$paramb[weib] &lt;-   1 / priors$paramb[weib]^priors$parama[weib]
  ## Reverse parameter order for binomial
  priors[bin, c('parama', 'paramb')] &lt;-  priors[bin, c('parama', 'paramb')]

  ## Translate distribution names
  priors$distn &lt;- gsub('weibull', 'weib',
                       gsub('binom', 'bin',
                            gsub('chisq', 'chisqr',
                                 gsub('nbinom', 'negbin',
                                      as.vector(priors$distn)))))
  return(priors)
}

##' @examples
##' priors &lt;- data.frame(distn = c('weibull', 'lnorm', 'norm', 'gamma'),
##'                     parama = c(1, 1, 1, 1),
##'                     paramb = c(2, 2, 2, 2))
##' r2bugs.distributions(priors)
</code></pre>
"
"0.162757691754232","0.12456821978061","  8788","<p>I have a problem when I run the Komogorov-Smirnov test.</p>

<p>I have to samples of daily prices distributions estimated with density(). Now I would like to compare these two distributions with each other.</p>

<p>data.1:</p>

<pre><code>Date           price
01.01.2010     1.2
02.01.2010     1.5
etc.
</code></pre>

<p>data.2:</p>

<pre><code>Date           price
01.01.2009     0.1
02.01.2009     0.05
etc.
</code></pre>

<p>For the probability density, I calculated</p>

<pre><code>density.1 &lt;- density(data.1$price)
density.2 &lt;- density(data.2$price)
</code></pre>

<p>Now I wanted to run the KS-test:</p>

<pre><code>ks &lt;- ks.test(density.1$x, density.2$x)
</code></pre>

<p>and got the results that p=1, hence the two distributions are the same. However, it is already observable from eye that they differ quite heavily from each other.</p>

<p>Where is my mistake?
Thank you, Dani</p>
"
"0.140952295720482","0.143838990445615"," 14832","<p>I am trying to learn how to fit a probability distribution to a vector of data, using the program R, but there are a lot of potential probability distributions to use!  So my question is, how do I find the best distribution for my data, and how do I prove that I have picked the right distribution?  Can I acquire AIC values for a whole set of different distributions?</p>

<p>The data are observational count data of bees visiting flowers.  Each species has a certain number of visits, hence the differing frequencies.  The goal is to find the best distribution to describe the bee visitation, show that I have selected the right one, and then use that distribution to sample from randomly for a set of simulations.</p>

<p>Here is what the data looks like, it is a vector of count observations.  It is zero inflated, with a long tailed distribution (maybe zero-inflated negative binomial?).</p>

<pre><code>i.vec=c(0,63,1,4,1,44,2,2,1,0,1,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,
0,0,0,0,0,0,0,0,6,1,11,1,1,0,0,0,2)
</code></pre>

<p>And here are some basic parameters that I have calculated.  I am using standard deviation for sigma, and phi is the proportion of zeroes in the data.</p>

<pre><code>m=mean(i.vec)
#[1] 3.040816
sig=sd(i.vec)
#[1] 10.86078
tab&lt;-table(i.vec)
zero.prop&lt;-as.numeric(tab[1])/sum(as.numeric(tab))
#[1] 0.6122449
</code></pre>

<p>As you can see, the standard deviation is much greater than the mean, and I have a very high proportion of zeroes.</p>
"
"NaN","NaN"," 17160","<p>Is there a convenient way in R to calculate a <a href=""http://www.amstat.org/publications/jse/secure/v8n3/preston.cfm#Section2"" rel=""nofollow"">probability prediction interval</a>
for a count sampled from Poisson($\lambda$), for known lambda? That is, for a given
$\alpha$, find $a$ and $b$ such that $P(a\le X\le b)\ge1-\alpha$,
where $X\sim\text{Pois}(\lambda)$. Is there a generic way to do this
in R for any of its built-in distributions? </p>
"
"0.215308188172303","0.219717687201021"," 22200","<p>When creating a Monte Carlo simulation model for a variable, a critical step is to choose the distribution that best fits the variable's probability density. </p>

<p>I generally do this by looking at the density plot and determining what distribution best fits the density shape. For (a very lame) example, thisâ€¦</p>

<pre><code>x &lt;- rnorm(1000)
plot(density(x))
</code></pre>

<p>â€¦ appears to be a normal distribution (but only because it's a random sample from the normal distribution).</p>

<p>However, when dealing with real world data, it's difficult to know which of the 17 built-in distributions best represent the shape of the data. </p>

<p>For example, this dataâ€¦</p>

<pre><code>data &lt;- c(6.515, 0.243, 0.725, 2.276, 1.456, 4.047, 0.766, 0.29, 2.368, 
0.543, 2.223, 0.488, 0.47, 3.511, 0.544, 4.191, 0.414, 0.704, 
4.917, 0.434, 0.773, 0.477, 3.257, 0.415, 1.921, 0.278, 3.159, 
4.193, 0.132, 1.109, 1.538, 4.088, 0.468, 0.047, 2.204, 3.765, 
0.168, 2.231, 0.164, 0.371, 2.33, 4.458, 0.046, 1.195, 1.714, 
1.046, 1.915, 2.66, 5.409, 0.466)

plot(density(data))
</code></pre>

<p><img src=""http://i.stack.imgur.com/l9SWm.png"" alt=""Plot""></p>

<p>â€¦ seems like it could be best modeled with the chi-squared distribution, but it could also be a gamma distribution.</p>

<p>The only way I've found to fit the best type of model is to overlay a bunch of different possible distributions until I see one that visually matches (or comes close). But surely there's a more numerical, official way to do that, right?</p>

<p>Is there a systematic, non-visual (and automated) way to find the best distribution for a given variable? Is there a function in some R function that runs through different distributions to check their goodness of fit, or is that terribly inefficient?</p>
"
"0.184549875576259","0.188329446172303"," 23201","<p>I have a task that is specific to inventory management that is currently driving me crazy. To summarize the problem: We regularly must monitor inventory settings to ensure that they represent true demand, to ensure that we are not overstocking nor understocking. The standard procedure is to schedule reviews, where high volume items get reviewed monthly, and low volume items quarterly. But the vast majority of SKUs don't get adjusted; less than 9% are adjusted after each review...meaning that 91% of SKUs do not have a significant change in their demand patterns to warrant any change in their inventory parameters. I'm trying to design a filter so that instead of reviewing every SKU, I only review the SKUs where demand patterns have likely changed from their previously implied demand.</p>

<p>To give background into the domain of inventory management:</p>

<p>1) Inventory SKUs have settings that manage their stock levels given a specified depletion rate and variability. There are practical parameters (eg. lead times) as well as calculated parameters (eg. avg daily demand), and often heuristic parameters (eg. targeted in stock rate). </p>

<p>2) Generally speaking, if I know all of the currently used parameters (or even n-1), I know the implied demand distribution that results in those parameters. For example, if I have a safety stock of 96 units, avg daily demand of 10, lead time of 5 days, and a target in-stock rate of 98%, and demand is normally distributed, then I know that the implied demand can be represented by a normal distribution with mean of 10 and standard deviation of 10. </p>

<p>I'm trying to find a method that can help me assign probabilities that a sample of demand came from an implied demand distribution with explicit parameters. Is there a way to calculate this probability? It sounds like a conditional probability problem, but I'm not sure how to construct a calculation to determine conditional probabilities using parameterized distributions. </p>

<p>To phrase this question as an example: 
If my last 10 days of demand are c(6,7,7,5,7,8,9,4,4,9), what is the probability that this sample came from a normally distributed population with mean of 5 and stdev of 3? </p>
"
"0.215308188172303","0.219717687201021"," 24129","<p>I have a distribution of observed measurements and I want to compare it to sampled distributions, using R. 
I have a program that samples distributions, according to a certain low of probability / constraint. </p>

<p>Suppose I have:</p>

<ul>
<li>$m$ observed measurements</li>
<li>two sets of $n$ samples of $m$ measurements</li>
</ul>

<p>I'd like to compute:</p>

<ul>
<li>the average cumulative distribution function (a-cdf) of  the first set of samples (its value at each evaluation points is the mean value of the cdf of each sample at this evaluation point, and the evaluation points are the pooled $n\cdot m$ measurements)</li>
<li>the 95% envelope of the first set of samples</li>
<li>the spatial distribution index (sdi) of my observed measurements using the second set of $n$-samples. To compute the sdi, we compute all the maximum differences between the cdf of each new sample and the a-cdf, and the maximum difference between the observed cdf and a-cdf. That makes $n+1$ points, and the sdi is the rank of the observed difference among the $n+1$ differences. </li>
</ul>

<p>I'd like to know if thoses function exists in R, and if not, what would be the smartest way to implement them. 
Hope i'm clear enough. </p>
"
"NaN","NaN"," 25620","<p>Is an implementation of a density function for a logit-normal distribution available in R?</p>

<p>I have not found one in a package or in the CRAN task view of probability distributions.</p>

<p>This is for a MLE fitting of a function to data.</p>
"
"0.462048720985847","0.444567940091874"," 31747","<p>I've got a problem that I think should be simple but can't quite figure it out.  I'm looking at seed pollination, I have plants (n=36) that flower in clusters, I sample 3 flower clusters from each plant, and 6 seed pods from each cluster (18 seed pods in total from each plant).  A pod can have between 0 to at most 4 seeds pollinated.  So, the data is count, with an upper bound. I'm finding an average of ~10% of seeds are pollinated, but anywhere between 1 - 30% on a given plant, so over dispersed data, and of course, there are 4 missing cluster replicates on 3 plants, so not perfectly symmetrical.  </p>

<p>The question I'm asking is if this data supports the idea this plant requires pollinators for seed set.</p>

<p>I'm finding that the distribution for the number of seeds in a pod looks like there are more 0 pollinated seed pods (6-9 pods out of 16) and more 3 and 4 pollinated seed pods (2-4 for each)  than would be expected if seeds in the population were just randomly pollinated.  Basically, I think this is classic example for zero inflated data, first a insect either does or does not visit the flower at all (one zero generator) and if it does, then pollinates 0-4 of the seeds in another distribution.  The alternative hypothesis is the plant is partially selfing, and it would then be expected that every seed would have the same probability of being pollinated (this data suggests a roughly 0.1 chance, which means 0.01 chance for two seeds in the same pod, etc).</p>

<p>But I simply want to demonstrate the data best fits one or the other distribution, not actually DO an ZIP or ZINB on the data.  I think whatever method I use should take into account the actual number of pollinated seeds and the number of pods sampled on each plant.  The best thing I have come up with is to do some sort of boot strap thing where I just randomly assign the number of pollinated seeds for a given plant into the number of seed pods I sampled, do that 10,000 times and see how likely it is the experimental data for the given plant came out of that random distribution.</p>

<p>I just feel there is something about this that should be a lot easier than brute force bootstrapping, but after days of thinking and searching Iâ€™m giving up.  I canâ€™t just compare to a Poisson distribution because itâ€™s upper bound, itâ€™s not binomial because I need to generate the expected distribution somehow 1st.   Any thoughts?  And Iâ€™m using R so advice there (especially how to most elegantly generate 10,000 random distributions of n balls into 16 boxes that can each contain at most 4 balls) would be most welcome.</p>

<p>ADDED 9/07/2012
First, thanks to you all for all the interest and help.  Reading over the answers has made me think to reword my question a bit.  What Iâ€™m saying is that I have one hypothesis (which for now I am thinking of as the null) that seeds are pollinated randomly across pods, and my alternative hypothesis is that a seed pod with at least 1 pollinated seed is more likely to have multiple pollinated seeds than would be expected by a random process.   Iâ€™ve provided real data from three plants as examples to illustrate what Iâ€™m talking about.  First column is the # of pollinated seeds in a pod, second column is the frequency of pods with that seed count.</p>

<p>plant 1 (total 3 seeds: 4% pollination) </p>

<p>num.seeds ::pod.freq</p>

<p>0::16</p>

<p>1::1</p>

<p>2::1</p>

<p>3::0</p>

<p>4::0    </p>

<p>plant 2 (total 19 seeds: 26% pollination)</p>

<p>num.seeds::pod.freq </p>

<p>0::12</p>

<p>1::1</p>

<p>2::1</p>

<p>3::0</p>

<p>4::4</p>

<p>plant 3 (total 16 seeds: 22% pollination)</p>

<p>num.seeds::pod.freq </p>

<p>0::9</p>

<p>1::4</p>

<p>2::3</p>

<p>3::2</p>

<p>4::0</p>

<p>In plant #1, only 3 seeds were pollinated in 18 pods, one pod had one seed, and one pod had two seeds.  Thinking about a process of adding one seed to the pods at random, the first two seeds each go into their own pod, but for the 3rd seed, there are 6 spots available in pods that already have one seed but 64 spots in the 16 pods with no seeds, so the highest probability of a pod with 2 seeds here is 6/64= 0.094.  Thatâ€™s a bit low, but not really extreme, so Iâ€™d say that this plant fits the hypothesis of random pollination across all seeds with a ~4% chance of pollination occurring. But plant 2 looks much more extreme to me, with 4 pods completely pollinated, yet 12 pods with nothing.  Iâ€™m not quite sure how to calculate the odds of this distribution directly (hence my bootstrap idea) but Iâ€™d guess the odds of this distribution occurring at random if each seed has a ~25% chance of pollination are quite low.  Plant #3 I really have no idea, I think there are more 0â€™s and 3â€™s than one should expect for a random distribution but my gut feeling is that this distribution for this number of seeds is much more likely than the distribution for plant #2, and may not be that unlikely.  But obviously I want to know for sure, and across all plants.  </p>

<p>In the end Iâ€™m looking to write a statement like â€œThe distribution of pollinated seeds in seed pods fits (or does not fit) the hypothesis that plants are not simply partially self compatible, but require visitation of a pollinator to effect seed set. (results of statistical test).â€  This is really just part of my forward looking section, where Iâ€™m talking about what experiments to conduct next, so Iâ€™m not desperate for this to be one thing or the other, but I want to know for myself, if possible.  If I canâ€™t do what Iâ€™m trying to do with this data, Iâ€™d like to know that too!</p>

<p>I did ask a rather broad question at first, since Iâ€™m curious as to whether or not there are any good tests to show if data should go into a zero inflated model in the first place.  All of the examples Iâ€™ve seen seem to say â€“â€œlook, there are a lot of zeros here, and there is a reasonable explanation for that, so letâ€™s use a zero inflated modelâ€.  Thatâ€™s what Iâ€™m doing right now on this forum, but I had an experience on my last chapter where I used a Poisson glm for count data and my one of my supervisors said â€œNo, glms are too complex and unnecessary, this data should go into a contingency tableâ€ and then sent me a data dump of the massive contingency table generated by their expensive stats package that gave the same p values for all my factors + interactions to three significant digits!!  So, Iâ€™m trying to keep the stats clear and simple, and make sure I understand them well enough to robustly defend my choices, which I donâ€™t feel I can do for a zero inflated model right now.  Iâ€™ve used both a quasibinomial (for whole plants to get rid of pesudoreplicaiton) and a mixed model for the above data to compare treatments and answer my main experimental questions, either seems to do the same job, but Iâ€™m going to also play around with ZINBâ€™s tonight, to see how well that performs.  Iâ€™m thinking if I can explicitly demonstrate that this data is strongly clustered (or zero inflated) at first, then provide a good biological reason for that occurring, Iâ€™ll be much better set up to subsequently pull out a ZINB, than to just compare one to a quasibinomial/mixed model and argue since it gives better results, thatâ€™s what I should use.  </p>

<p>But I donâ€™t want to distract too much from my primary question, how can I determine if my data really is more zero inflated than expected from a random distribution?  In my case the answer to that is what is of real interest to me, with the possible benefit for model justification being a bonus.</p>

<p>Thanks again for all your time and help!</p>

<p>Cheers,
BWGIA</p>
"
"0.199336648255529","0.203419051086243"," 35269","<p>I'm using R to test some distribution families to my data.
I've done KS, AD tests and determined the loglike.</p>

<p>For one of the data the indications given by KS and AD do not agree with the ones given by the loglike:</p>

<pre><code>Table: p-values
Test    Normal  Log-normal  Gamma   Logistic    Weibull Gumbel
KS      0,16    0,00        0,00    0,26        0,00    0,49
AD      0,17    0,00        0,00    0,27        0,00    -

Measure Normal  Log-normal  Gamma   Logistic    Weibull Gumbel
loglike 282,86  279,54      308,96  284,41      304,00  291,55
</code></pre>

<p>I've read that KS gives more emphasis to the middle part of the distributions and AD to the tails. On the loglike one maximizes the probability of a model fitting the data.
The graphical analysis says to me that Log-normal, Gamma and Weibull only fit the data well at the left tail whereas the other distributions fit data quite well all over the domain....
So why does these three dist. have a larger loglike than the others that seem to fit better the data? Thanks</p>
"
