"V1","V2","V3","V4"
"0.0751646028002829","0.0811107105653813","3463","<p>I have two time series S, and T. they have the same frequency and the same length.</p>

<p>I would like to calculate (using R), the correlation between this pair (i.e. S and T), and also be able to calculate the significance of the correlation), so I can determine whether the correlation is due to chance or not.</p>

<p>I would like to do this in R, and am looking for pointers/skeletal framework to get me started.</p>
"
"0.130188910980824","0.0936585811581694","10110","<p>100 periods have been collected from a 3 dimensional periodic signal. The wavelength slightly varies. The noise of the wavelength follows Gaussian distribution with zero mean. A good estimate of the wavelength is known, that is not an issue here. The noise of the amplitude may not be Gaussian and may be contaminated with outliers.</p>

<p><strong>How can I compute a single period that approximates 'best' all of the collected 100 periods?</strong></p>

<p>I have no idea how time-series models work. Are they prepared for varying wavelengths? Can they handle non-smooth true signals? If a time-series model is fitted, can I compute a 'best estimate' for a single period? How?</p>

<p>A related question is <a href=""http://stackoverflow.com/q/2572444/341970"">this</a>. Speed is not an issue in my case. Processing is done off-line, after all periods have been collected.</p>

<p><strong>Origin of the problem:</strong> I am measuring acceleration during human steps at 200 Hz. After that I am trying to double integrate the data to get the vertical displacement of the center of gravity. Of course the noise introduces a HUGE error when you integrate twice. I would like to exploit periodicity to reduce this noise. Here is a crude graph of the actual data (y: acceleration in g, x: time in second) of 6 steps corresponding to 3 periods (1 left and 1 right step is a period):
<img src=""http://i.stack.imgur.com/44q8d.png"" alt=""Human steps""></p>

<p>My interest is now purely theoretical, as <a href=""http://jap.physiology.org/content/39/1/174.abstract"" rel=""nofollow"">http://jap.physiology.org/content/39/1/174.abstract</a> gives a pretty good recipe what to do. It does not address periodicity.</p>

<p><strong>Note:</strong> I have asked <a href=""http://stackoverflow.com/q/5702974/341970"">this question on stackoverflow</a> but it seems to be off-topic there.</p>
"
"0.106298800690547","0.114707866935281","13221","<p>I have data from different sources that is currently in multiple data frames. They generally look something like:</p>

<pre><code>TimeStamp (MS Detail Converted with strptime), Field1, Field2, Field3 
</code></pre>

<p>In all cases the Time Stamps are irregular, and the fields are either character data or int data.</p>

<p>There are three types of correlations I would like to be able to do with this data (using the term loosely). In all cases these will sometimes be from the same source, and other times from different sources:</p>

<ol>
<li>Numeric to Numeric</li>
<li>Numeric to Categorical (string). I am not sure of the proper term for this, but if field1 where to have values like A, B, and C, how might find if field2 has higher numbers than B is more likely to be the value of field1</li>
</ol>

<p>The end goal is not only to test for correlations, but also to be able to discover them. I realize this is a pretty vague / big area. Mostly looking for basic examples, or point in the right direction of how to transform my data into format that will let me do these things.</p>
"
"NaN","NaN","226577","<p>I have a count response across 33 years which I am analyzing using quasipoisson regression.</p>

<pre><code>mdl&lt;- glm(y ~ year, family=""quasipoisson"")
</code></pre>

<p>Now since <code>y</code> is a temporal data, I need to account for temporal autocorrelation at lag(1). I could do this in using <code>gls</code></p>

<pre><code>mdl &lt;- gls(y ~ year,correlation = corAR1(form=~year))
</code></pre>

<p>but in <code>gls</code> how do I specify the error family which is ""quasipoisson""?</p>

<p>Thanks</p>
"
"0.281240191291608","0.260132990857236","203290","<h2><strong>Data:</strong></h2>

<p>I have 92 years of monthly climate data. One of my variables is a drought index (<a href=""https://climatedataguide.ucar.edu/climate-data/standardized-precipitation-evapotranspiration-index-spei"" rel=""nofollow"">SPEI</a>) ranging from -2 (dry) to 2 (wet). 
All the data can be found <a href=""http://theforestecologist.web.unc.edu/files/2015/07/df.clim_.csv"" rel=""nofollow""><strong>here</strong></a>.</p>

<p><strong><em>Data Structure:</em></strong></p>

<pre><code>year month  order.ID  season  temp.avg  ppt.avg    GDD    pdo     spei
1923     0        13       1    6.1612  0.23516  73.54   0.27   0.6544
1923     1        14       1    5.0967  0.24161  40.66   0.01   0.4837
1923     2        15       1     3.425  0.24428  47.19  -0.95   0.5207
1923     3        16       2    9.7870  0.46612  161.3  -1.23   0.2631
1923     4        17       2    12.753    0.304  238.1  -0.64   0.2476
</code></pre>

<p><em>note: PDO = Pacific Decadal Oscillation Index | order.ID = (monthly) time series order</em></p>

<p><strong><em>Graph of SPEI across time:</em></strong></p>

<p><a href=""http://i.stack.imgur.com/OGVEQ.jpg"" rel=""nofollow""><img src=""http://i.stack.imgur.com/OGVEQ.jpg"" alt=""SPEI""></a></p>

<p>I am trying to determine the long-term (92yr) trends of the SPEI data. I am doing so with a general least squares approach using <code>gls</code> function from the <code>nlme</code> package in <code>R</code>. </p>

<hr>

<h2><strong>Issue:</strong></h2>

<p>After examining my best (lowest AIC) model ( <code>gls(spei ~ I(year - 1950) + pdo)</code> ) using ACF and PACF, it was very clear that there was underlying temporal autocorrelation and likely periodicity. </p>

<p><a href=""http://i.stack.imgur.com/agvIw.jpg"" rel=""nofollow""><img src=""http://i.stack.imgur.com/agvIw.jpg"" alt=""ACF &amp; PACF for NC""></a> </p>

<p>I've attempted to account for these issues in two ways:</p>

<ol>
<li><p><strong>Accounting for periodicity</strong> by including <strong>sin + cos</strong> parameters to the model. I did so by examining how including the following parameters, </p>

<pre><code>I(cos(2*pi/P*(order.ID))) + I(sin(2*pi/P*(order.ID)))
</code></pre>

<p>in my model using various period lengths (P) affected the AIC of the model: </p>

<p><a href=""http://i.stack.imgur.com/HM8GF.jpg"" rel=""nofollow""><img src=""http://i.stack.imgur.com/HM8GF.jpg"" alt=""sincos_AIC""></a></p>

<ul>
<li>Though including the sin/cos parameters using the period (630) that created the model with the lowest AIC improved the AIC of my model, it did not correct for the issues I was seeing in my ACF/PACF plots. In fact, even including upwards of 4 combinations of SIN/COS parameters using numerous ""strong"" periods (e.g., 630, 238, 183 and 49) failed to eliminate the ACF/PACF issues:</li>
</ul>

<p><a href=""http://i.stack.imgur.com/2j9f6.jpg"" rel=""nofollow""><img src=""http://i.stack.imgur.com/2j9f6.jpg"" alt=""acf of periods 630 + 238""></a></p></li>
<li><p><strong>Accounting for autocorrelation</strong> using <strong>corARMA</strong> argument in <code>gls</code> function. Specifically, I tried ARMA models using all combinations of p = {1:4} &amp; q = {0:3} with no luck in eliminating the autocorrelation. </p>

<ul>
<li><p>The best performing (lowest AIC) model was </p>

<pre><code>gls(spei ~ I(year - 1950) + pdo, correlation = corARMA(p=4,q=2), method = ML)
</code></pre></li>
<li><p>But the resulting ACF/PACF still had issues:</p></li>
</ul>

<p><a href=""http://i.stack.imgur.com/4m65R.jpg"" rel=""nofollow""><img src=""http://i.stack.imgur.com/4m65R.jpg"" alt=""acf3""></a></p></li>
</ol>

<p>Note: I did try a combination of 1 and 2 (using sin+cos parameters <em>and</em> a corARMA argument in my model), but even the combination of approaches failed to ""fix"" the problem.</p>

<p>Additional note:</p>

<p>I tried adding months and seasons (separately and together) to the model in two ways: 1st, as periods (12 and 4 respectively) in SIN/COS parameters and, second, as categorical dummy variables in the model. Both approaches resulted in models with higher AICs - essentially suggesting the periodicity is not due to months or seasons??</p>

<hr>

<h2><strong>Question</strong>:</h2>

<p>What do I do now? How do I go about ""fixing"" this data - i.e., how do I properly account for the periodicity and autocorrelation so that I can accurately view the long-term annual (linear) trend (and correct p value of the coefficient)?</p>

<p>Obviously nothing I've tried so far has worked...</p>
"
"0.130188910980824","0.140487871737254","56900","<p>I have a 20-yr dataset of an annual count of species abundance for a set of polygons (~200 irregularly shaped, continuous polygons).  I have been using regression analysis to infer trends (change in count per year) for each polygon, as well as aggregations of polygon data based on management boundaries.</p>

<p>I am sure that there is spatial autocorrelation in the data, which is sure to impact the regression analysis for the aggregated data.  My question is - how do I run a SAC test for time series data?  Do I need to look at the SAC of residuals from my regression for each year (global Moran's I)?  Or can I run one test with all years?</p>

<p>Once I've tested that yes there is SAC, is there an easy was to address this?  My stats background is minimal and everything I've read on spatio-temporal modeling sounds very complex.  I know that R has a distance-weighted autocovariate function - is this at all simple to use?</p>

<p>I'm really quite confused on how to assess/addess SAC for this problem and would very much appreciate any suggestions, links, or references. Thanks in advance!</p>
"
"0.130188910980824","0.140487871737254","57119","<p>I'm dealing with a time series data and I'm trying to construct a time series model for this particular dataset.  I'm new to R and tried using the the <code>auto.arima</code> function under the forecast package:</p>

<pre><code>fit &lt;- auto.arima(tsdata, xreg=cbind(CSS2$Month,CSS2$DayID,CSS2$Year), 
                  stepwise=FALSE, approximation=FALSE)
summary(fit)
resid(fit)
acf(resid(fit))
</code></pre>

<p>However, I noticed some problems in the ACF plot and the PACF plot from the resulting model.  Both of those appear to show some trends or seasonality.
The data that I'm dealing with do have some strong seasonal patterns (on a weekly basis and on a monthly basis), and I thought that this would be captured using <code>auto.arima</code>.  I do have the most recent version of the forecast package.
I should mention that I have daily data for 3 years, so there are a total of 1095 observations.</p>

<p>Any suggestions would be much appreciated, thank you!</p>

<p>ACF Plot PACF Plot</p>
"
"NaN","NaN","177300","<p>How would I calculate the autocorrelogram for a compositional time series in R?</p>"
"NaN","NaN","","<r><time-series><autocorrelation><compositional-data>"
"0.112746904200424","0.0811107105653813","22964","<p>I've got a dataset that looks like this:</p>

<pre><code>id      start   end     score1  score2
[...]    
LmjF.31 280000  290000  .       .
LmjF.31 290000  300000  .       2686
LmjF.31 300000  310000  .       .
LmjF.31 310000  320000  .       74
LmjF.31 320000  330000  .       1897
LmjF.31 330000  340000  .       4116
LmjF.31 340000  350000  705     3156
LmjF.31 350000  360000  663     4145
LmjF.31 360000  370000  170     4864
[...]
LmjF.34 1140000 1150000 2284    2751
LmjF.34 1150000 1160000 .       .
LmjF.34 1160000 1170000 .       .
LmjF.34 1170000 1180000 572     .
[...]
</code></pre>

<p>(dot=<code>.</code> means score is 0)</p>

<p>I would like to rank the regions for each <code>id</code> where the correlation between score1 and score2 is highest . The second and third columns are <code>start</code> and <code>end</code> positions for sliding windows that at their minimum can be of size 1, but with smaller windows, fewer of them have non-zero on both scores, so I am already using bigger windows. Since these windows in different chromosomes for two different species, correlations in <code>score1</code> and <code>score2</code> that don't overlap but that are close to each other would still be relevant, but if they partially or fully overlap, then even better. That's why the sliding window size is relative, since I would like to use a method that takes into account cases like the ones for LmjF.31 start=340000 to end=370000, where there is three consecutive rows with a score bigger than 0. Any suggestions?</p>
"
