"V1","V2","V3","V4"
"0.210042012604201","0.201346816564207","  6330","<p>I have previously used <a href=""http://www.forecastpro.com/"">forecast pro</a> to forecast univariate time series, but am switching my workflow over to R.  The forecast package for R contains a lot of useful functions, but one thing it doesn't do is any kind of data transformation before running auto.arima().  In some cases forecast pro decides to log transform data before doing forecasts, but I haven't yet figured out why.</p>

<p>So my question is: when should I log-transform my time series before trying ARIMA methods on it?</p>

<p>/edit: after reading your answers, I'm going to use something like this, where x is my time series:</p>

<pre><code>library(lmtest)
if ((gqtest(x~1)$p.value &lt; 0.10) {
    x&lt;-log(x)
}
</code></pre>

<p>Does this make sense?</p>
"
"0.216930457818656","0.259937622455018"," 28737","<p>I have time series as </p>

<pre><code>0.4385487 0.7024281 0.9381081 0.8235792 0.7779642 1.1670665 1.1958634 1.1958634 0.8235792 0.8530141 0.8802216 1.1958634 1.1235897 1.3542734 1.3245534 0.9381081 1.1670665 1.1958634 0.8802216 1.3542734 1.1670665 4.9167998 0.9651803 0.8221709 1.1070461 1.2006974 1.3542734 0.9651803 0.9381081 0.9651803 0.8854192 1.3245534 1.1235897 1.2006974 1.1958634 0.4385487 1.3245534 4.9167998 1.2277843 0.8530141 1.0018480 0.3588158 0.8530141 0.8867365 1.3542734 1.1958634 1.1958634 0.9651803 0.8802216 0.8235792 4.9167998 1.1958634 0.9651803 0.8854192 0.8854192 1.2006974 0.8867365 0.9381081 0.8235792 0.9651803 0.4385487 0.9936722 0.8821301 1.3542734 1.1235897 1.6132899 1.3245534 1.3542734 0.8132233 0.8530141 1.1958634 1.2279813 0.8354292 1.3578511 1.1070461 0.8530141 0.9670581 1.1958634 0.7779642 1.2006974 1.1958634 0.8235792 1.3245534 0.5119648 2.3386331 0.8890464 0.8867365 4.9167998 1.2006974 1.2006974 0.6715839 4.9167998 0.7747481 4.9167998 0.8867365 1.2277843 0.8890464 1.2277843 0.8890464 1.0541099 0.8821301 
</code></pre>

<p>I am using package ""itsmr""-autofit(),""forecast""-auto.arima(),""package""--functions</p>

<ol>
<li><p>Autoregressive model</p>

<pre><code>&gt; ar(t)

Call:
    ar(x = t)

    Order selected 0  sigma^2 estimated as  0.9222 
</code></pre></li>
<li><p>ARMA model</p>

<pre><code>&gt; autofit(t)
    $phi
    [1] 0

    $theta
    [1] 0

    $sigma2
    [1] 0.9130698

    $aicc
    [1] 279.4807

    $se.phi
    [1] 0

    $se.theta
    [1] 0
</code></pre></li>
<li><p>ARIMA model</p>

<pre><code>    &gt; auto.arima(t)
    Series: t 
    ARIMA(0,0,0) with non-zero mean 

    Coefficients:
          intercept
             1.2623
    s.e.     0.0951

    sigma^2 estimated as 0.9131:  log likelihood=-138.72
    AIC=281.44   AICc=281.56   BIC=286.67
</code></pre>

<p>The auto.arima function automatically differences time series: we don't have to worry about transformation.</p>

<pre><code>&gt; auto.arima(AirPassengers)
Series: AirPassengers 
ARIMA(0,1,1)(0,1,0)[12]                    

Coefficients:
          ma1
      -0.3184
s.e.   0.0877

sigma^2 estimated as 137.3:  log likelihood=-508.32
AIC=1020.64   AICc=1020.73   BIC=1026.39`
</code></pre></li>
</ol>

<p>Which model should I select to get p,q values &amp; for forecasting purpose?</p>
"
"0.171498585142509","0.164398987305357"," 32657","<p>I was playing with the <a href=""http://cran.r-project.org/web/packages/TSA/index.html"" rel=""nofollow"">TSA</a> package in R and wanted to test the <code>arimax</code> function to the solution provided in Pankratz's <em>Forecasting with Dynamic Regression Models</em>, chapter 8. The savings rate and the function seems to provide similar results as the ones in the book except for the IO weights which are quite different. I bet there is a transformation that I might be missing.</p>

<p>Any help on understanding why IO coefficients are so different would be appreciated...</p>

<p>the solution states </p>

<pre><code>AO @ t=82,43,89
LS @ t=99
IO @ t=62,55
</code></pre>

<p>with Parameters estimates</p>

<pre><code>C = 6.1635
w82 = 2.3346
w99 = -1.5114
w43 = 1.1378
w62 = 1.4574
w55 = -1.4915
w89 = -1.0702
AR1 = 0.7976
MA2 = -0.3762
</code></pre>

<p>To fit the model in R, I used
(<code>saving</code> is the data)</p>

<pre><code>arimax(saving, order = c(1,0,2), fixed=c(NA,0,NA,NA,NA,NA,NA,NA,NA,NA), io=c(55,62), 
       xreg=data.frame(AO82=1*(seq(saving)==82),
                       AO43=1*(seq(saving)==43),
                       AO89=1*(seq(saving)==89),
                       LS99=1*(seq(saving)&gt;=99)),
       method='ML')
</code></pre>

<p>The savings rate data is (100 points)</p>

<p>4.9
5.2
5.7
5.7
6.2
6.7
6.9
7.1
6.6
7
6.9
6.4
6.6
6.4
7
7.3
6
6.3
4.8
5.3
5.4
4.7
4.9
4.4
5.1
5.3
6
5.9
5.9
5.6
5.3
4.5
4.7
4.6
4.3
5
5.2
6.2
5.8
6.7
5.7
6.1
7.2
6.5
6.1
6.3
6.4
7
7.6
7.2
7.5
7.8
7.2
7.5
5.6
5.7
4.9
5.1
6.2
6
6.1
7.5
7.8
8
8
8.1
7.6
7.1
6.6
5.6
5.9
6.6
6.8
7.8
7.9
8.7
7.7
7.3
6.7
7.5
6.4
9.7
7.5
7.1
6.4
6
5.7
5
4.2
5.1
5.4
5.1
5.3
5
4.8
4.7
5
5.4
4.3
3.5</p>

<p>here it is my output</p>

<pre><code>&gt; arimax(saving, order = c(1,0,2),fixed=c(NA,0,NA,NA,NA,NA,NA,NA,NA,NA),io=c(55,62),xreg=data.frame(AO82=1*(seq(saving)==82),
+ AO43=1*(seq(saving)==43),AO89=1*(seq(saving)==89),LS99=1*(seq(saving)&gt;=99)),method='ML')

Call:
arimax(x = saving, order = c(1, 0, 2), xreg = data.frame(AO82 = 1 * (seq(saving) == 
    82), AO43 = 1 * (seq(saving) == 43), AO89 = 1 * (seq(saving) == 
    89), LS99 = 1 * (seq(saving) &gt;= 99)), fixed = c(NA, 0, NA, NA, NA, NA, 
    NA, NA, NA, NA), method = ""ML"", io = c(55, 62))

Coefficients:
         ar1  ma1     ma2  intercept    AO82    AO43     AO89     LS99    IO-55   IO-62
      0.7918    0  0.3406     6.0628  2.3800  1.1297  -1.0466  -1.4885  -0.5958  0.5517
s.e.  0.0674    0  0.1060     0.3209  0.3969  0.3780   0.3835   0.5150   0.4044  0.3772

sigma^2 estimated as 0.2611:  log likelihood = -75.57,  aic = 169.14
</code></pre>
"
"0.247536885744169","0.28474739872575"," 38248","<p>I just want to ask about the <code>Arima</code> function in forecast package. The usage of it is,</p>

<pre><code>Arima(x, order=c(0,0,0), seasonal=list(order=c(0,0,0), period=NA),
    xreg=NULL, include.mean=TRUE, include.drift=FALSE, 
    include.constant, lambda=model$lambda, transform.pars=TRUE, 
    fixed=NULL, init=NULL, method=c(""CSS-ML"",""ML"",""CSS""), n.cond, 
    optim.control=list(), kappa=1e6, model=NULL)
</code></pre>

<p>My data has trend and seasonality, so I applied seasonal differencing using the codes below,</p>

<pre><code>Diff1LogCP &lt;- diff(LogChickenProd, lag = 4, differences = 1)
</code></pre>

<p>Now, I want to have a model SARIMA(1,1,1). Using the <code>Arima</code> function, I'm not sure with the <code>order</code> and <code>seasonal</code> argument. Since my model is SARIMA(1,1,1), so what I did is,</p>

<pre><code>SARIMA111 &lt;- Arima(ChickenProd, seasonal = list(order = c(1,1,1), period = 4))
</code></pre>

<p>Notice that I ignore the <code>order</code> argument before the <code>seasonal</code> argument. This is because I'm using a seasonal ARIMA model, and not the ordinary ARIMA. So I use the <code>seasonal</code> argument only. Is that correct? Or do I need to include the <code>order</code> argument, that makes my new codes be</p>

<pre><code>SARIMA111 &lt;- Arima(ChickenProd, order = c(1,1,1), seasonal = list(order = c(1,1,1), period = 4))
</code></pre>

<p>Or should it be like</p>

<pre><code> SARIMA111 &lt;- Arima(ChickenProd, order = c(1,0,1), seasonal = list(order = c(0,1,0), period = 4))
</code></pre>

<p>Thank you in advance!</p>
"
"0.242535625036333","0.232495277487639"," 43214","<p>The basic idea i'm trying is to model the data with factor analysis, <strong>assuming a latent variable structure</strong> that underlies the observations. Labels for ""real"" anomalies are available and used for validation. Another important note is that the data does not have a ""very"" Gaussian nature. </p>

<p>Then, projecting the observations onto the new subspace found, and <strong>looking for outliers</strong> - i.e. finding the observations that digress from the underlying structure, assuming the anomalies i'm looking for will be more prevalent there. </p>

<p>Using R's <em>factanal</em>, with <em>varimax</em> (or <em>oblimin</em>) rotations, i have encountered the following result, which i'm not sure about :</p>

<ul>
<li>When projecting the <strong>normalized</strong> data (z-score) using the FA model found, classification/detection is poor ; but since factanal scales the data in advance, i believe this is the correct way(?)</li>
<li>When projecting the <strong>original</strong> data (not normalized) using the same FA model, detection is much improved. </li>
</ul>

<p>Could this be due to projecting the observations onto a subspace that assumes a low variance, much more ""normal"" distribution, thereby ""aggravating"" any anomalous points?</p>

<p>Would appreciate help/insight as to what i'm missing!</p>

<p>Thank you.</p>

<p><strong>Update:</strong>
- LX yields much better classification than LX*, where L is the loadings matrix, X is the data matrix, and X* is the standardized data matrix. LX also yields better classification than in the following.
<a href=""https://stat.ethz.ch/pipermail/r-help/2002-April/020278.html"" rel=""nofollow"">https://stat.ethz.ch/pipermail/r-help/2002-April/020278.html</a></p>

<p>Could the LX transformation be related to LDA?</p>
"
"0.27116307227332","0.155962573473011"," 87726","<p>In the Arima package, using a Box-Cox transformation give wrong results when later applied to the forecast method.</p>

<p>For example, consider this data:</p>

<pre><code>library(forecast)
data&lt;-c(2,3,2,3,2,3)
</code></pre>

<p>And for the sake of simplicity, consider an ARIMA(0,0,0) model. (The mean of this series is 2.5.)</p>

<p>The mean forecast made without a Box-Cox transformation is correct:</p>

<pre><code>forecast(Arima(data,order=c(0,0,0)))$mean
 [1] 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5
</code></pre>

<p>However if we use a Box-Cox transformation, such as a log transformation with lambda=0, the ""mean"" forecast is wrong:</p>

<pre><code>forecast(Arima(data,order=c(0,0,0), lambda=0))$mean
[1] 2.44949 2.44949 2.44949 2.44949 2.44949 2.44949 2.44949 2.44949 2.44949 2.44949
</code></pre>

<p>It seems that to produce the mean forecast of Y=exp(X), it does E(Y)=exp(E(X)).</p>

<p>Is there a way to correct this?
Is there a package with a correct implementation of forecasts with Box-Cox transformations?</p>
"
"0.27116307227332","0.259937622455018","102775","<p>I have a problem on what model class (AR, MA, ARMA, ARIMA, etc.) will I use on my data, i.e., what order (say 1,0,1) will I use, using a Box-Jenkins procedure.</p>

<p>I have already done many transformations on my data but the errors are so large and the correlation is somewhat small.  My data are stationary (ADF test and KPSS test) but not normally distributed (Anderson-Darling, Wilk-Shapiro and Kolmogorov-Smirnov test). So I apply natural log and then test it again but it is still not normally distributed. So I differenced it once and it is now stationary and normally distributed.</p>

<p>I already satisfy the requirements of using a Box-Jenkins process. Then I use <code>auto.arima</code> in R to know what order to use and I also try SPSS using its expert modeler to cross check.</p>

<p>My problem is I still get large errors and small R-squared.  I need to know what to do for determining order? I also have problems in understanding ACFs and PACFs.</p>

<p>Below is my actual data:</p>

<pre><code>Harvest
</code></pre>

<blockquote>
  <p>60477
  29323
  51369
  15800
  58994
  45496
  17227
  92103
  138573
  39181
  51192
  13132
  400
  18258
  54553
  7220
  1418
  6807
  17915
  89015
  122154
  122853
  63398
  27246
  27013
  36317
  65735
  94744
  78763
  39769
  20422
  27398
  33552
  10000
  6500
  5300
  5700
  4800
  5300
  6450
  9300
  5834
  29200
  39975
  65000
  45494
  79000
  7900
  54758
  70581
  31505
  45437
  29691
  110947
  40498
  71238
  42170
  38723
  64813
  122992
  17929
  11652
  134137
  110043
  60153
  7625
  25967
  38918
  1621
  14946
  76610
  84516
  72223
  40399
  63482
  34918
  63098
  105388
  135809
  31345
  66880
  160511
  40238
  35767
  105560
  119276
  154348
  86935
  73728
  167119
  128709
  97040
  21780
  9906
  62213
  99940
  72626
  117783
  58037
  68756
  25721
  19853
  4943
  2027
  20251
  114718
  27801
  80868
  94761
  18914
  119632
  187924
  56950
  52886
  141456
  141507</p>
</blockquote>

<p><img src=""http://i.stack.imgur.com/ASQah.png"" alt=""Harvest graph""></p>

<p>This is the differenced data</p>

<pre><code>d_Harvest
</code></pre>

<blockquote>
  <p>-31154
  22046
  -35569
  43194
  -13498
  -28269
  74876
  46470
  -99392
  12011
  -38060
  -12732
  17858
  36295
  -47333
  -5802
  5389
  11108
  71100
  33139
  699
  -59455
  -36152
  -233
  9304
  29418
  29009
  -15981
  -38994
  -19347
  6976
  6154
  -23552
  -3500
  -1200
  400
  -900
  500
  1150
  2850
  -3466
  23366
  10775
  25025
  -19506
  33506
  -71100
  46858
  15823
  -39076
  13932
  -15746
  81256
  -70449
  30740
  -29068
  -3447
  26090
  58179
  -105063
  -6277
  122485
  -24094
  -49890
  -52528
  18342
  12951
  -37297
  13325
  61664
  7906
  -12293
  -31824
  23083
  -28564
  28180
  42290
  30421
  -104464
  35535
  93631
  -120273
  -4471
  69793
  13716
  35072
  -67413
  -13207
  93391
  -38410
  -31669
  -75260
  -11874
  52307
  37727
  -27314
  45157
  -59746
  10719
  -43035
  -5868
  -14910
  -2916
  18224
  94467
  -86917
  53067
  13893
  -75847
  100718
  68292
  -130974
  -4064
  88570
  51</p>
</blockquote>

<p><img src=""http://i.stack.imgur.com/WzyDi.png"" alt=""enter image description here""></p>
"
"0.121267812518166","0.232495277487639","106038","<p>I know that this is probably a question that's been asked plenty of times, but i haven't seen an answer that's both accurate and simple. How do you estimate the appropriate forecast model for a time series by visual inspection of the ACF and PACF plots? Which one, ACF or PACF, tells the AR or the MA (or do they both?) Which part of the graphs tell you the seasonal and non seasonal part for a seasonal ARIMA?</p>

<p>Take for instance these functions:</p>

<p><img src=""https://i.imgur.com/E64Sd7p.png"" alt=""enter image description here""></p>

<p>They show the ACF and PCF of a log transformed series that's been differenced twice, one simple difference and one seasonal.</p>

<p>How would you caracterize it? What model best fits it?</p>

<p>Thanks in advance!</p>

<p><strong>EDIT:</strong> Added raw data</p>

<p>Original data: <a href=""http://pastebin.com/KRJnXzXp"">here</a></p>

<p>Log transformed data: <a href=""http://pastebin.com/JR3bkctv"">here</a></p>

<p><strong>EDIT:</strong> Corrected ACF and PACF functions (previous ones were overdifferentiated)</p>
"
"0.394120390684041","0.435928645289322","110611","<p>Note that this is a simplified example:</p>

<p>I have some time series that I made stationary by differencing twice. Then I ran <code>arima</code> on it, and set d = 0 to prevent additional differencing (I'm aware that <code>auto.arima</code> could detect the order of integration, but I'm hard-coding this myself for other reasons). Now I want to use <code>fitted</code> data from my <code>arima</code> object to determine what the <em>non-stationary</em> fit would look like.</p>

<p>For example:</p>

<pre><code>library('forecast')
# simulate ARIMA(1,2,0) time series:
rawData &lt;- arima.sim(n = 20, list(order = c(1,2,0), ar = 0.7)) 
# use diff function to make the series stationary:
stationaryData &lt;- diff(diff(rawData))

# fit ARIMA on them appropriately
rawDataFit &lt;- arima(rawData, c(1,2,0)) # include.mean = FALSE by default
stationaryDataFit &lt;- arima(stationaryData, c(1,0,0), include.mean = FALSE) # stationaryData is already twice differenced

# notice that there is very small variance between the AR(1) coefficients:
coef(rawDataFit)
coef(stationaryDataFit)
</code></pre>

<p>In this particular instance, my AR(1) coefficeints are 0.5511049 and 0.5511048. I also forced my ARIMA to exclude an intercept, so these ARIMA objects so be similar.</p>

<pre><code># plot of rawData and the fitted values
plot(rawData, type = ""l"")
lines(fitted(rawDataFit), col = ""slategrey"")
</code></pre>

<p>Here's an example of what that plot could look like:
<img src=""http://i.stack.imgur.com/5R0cM.png"" alt=""Here&#39;s an example of what that plot could look like""></p>

<p>I want to recreate the above plot, <em>without</em> using the rawDataFit object</p>

<pre><code># using the diffinv function, I can easily replicate the rawData:
recoveredRawData &lt;- diffinv(stationaryData, differences = 2, xi = rawData[1:2])

# Now I also want to ""recover"" the non-stationary data from the fitted AR(1) object:
recoveredFit &lt;- diffinv(fitted(stationaryDataFit), differences = 2, xi = c(0,0))

# plot of rawData and the fitted values
plot(recoveredRawData, type = ""l"")    
lines(recoveredFit, col = ""slategrey"")
</code></pre>

<p>Here's the attempt to recreate the above plot, using the results from my stationaryDataFit:</p>

<p><img src=""http://i.stack.imgur.com/xZuKH.png"" alt=""Here&#39;s the attempt to recreate the above plot, using the results from my stationaryDataFit""></p>

<p>The shape looks correct, but the values are clearly off. I am <em>not</em> expecting to recover exactly the same results from both methods of fitting, but I still expect them to be reasonably close. </p>

<p>I strongly suspect the problem is with my choice of xi in the <code>diffinv</code> function, since that's really the only place I'm making any assumptions. But I'm having trouble reconciling the issue.</p>

<p>To integrate the data, <code>diffinv</code> requires the first observations of the integrated data. This is how I can convert the stationaryData back to the rawData, by passing the first two values of rawData to the <code>diffinv</code> xi argument. But I'm unsure what to use as the starting values to integrate <code>fitted(stationaryDataFit)</code>. The first two values of the (integrated) rawData are 0, so that's what I'm trying for now...</p>

<p>Any ideas?</p>

<p><strong>EDIT:</strong> Is this a legitimate work-around? Take the residuals from my stationaryDataFit object, and just subtract those from my rawData? For example:</p>

<pre><code># prefix 2 zeros, so the vectors are the same length (due to secord-differencing):
recoveredFit &lt;- rawData - c(rep(0, 2), stationaryDataFit$residuals)
</code></pre>

<p>My concern is about whether I need to transform my residuals from the stationaryDataFit somehow? In fact, the residuals from both fits are extremely close (within several decimals).</p>

<p>Thank you!</p>
"
"0.171498585142509","0.164398987305357","115271","<p>I have been given data to forecast however it has a negative figure within the data which then, when doing a log transformation to make the series stationary, the ARIMA script i have written won't work.</p>

<pre><code>datan&lt;-c(144627.7451,575166.2487,854245.7137,1230639.153,1160052.421,479928.7072,-261427.4238,1181746.229,168251.621,556741.5149,1840484.518,1704679.404,1878380.278,1865288.502,1849340.253,1965974.112,2093192.242,1912399.391,2633179.421,2134618.008,2070856.492,1238565.331)

freqdata&lt;-4
startdata&lt;-c(9,2)
horiz&lt;-4
datats&lt;-ts(datan,frequency=freqdata,start=startdata)
force.log&lt;-""log""
datadates&lt;-as.character(c(""9q2"",""9q3"",""9q4"",""10q1"",""10q2"",""10q3"",""10q4"",""11q1"",""11q2"",""11q3"",""11q4"",""12q1"",""12q2"",""12q3"",""12q4"",""13q1"",""13q2"",""13q3"",""13q4"",""14q1"",""14q2"",""14q3""))
dataMAT&lt;-matrix(0,ncol=freqdata,nrow=(length(datats)+freqdata),byrow=TRUE)
for (i in 1:freqdata)
  {dataMAT[,i]&lt;-c(rep(0,length=i-1),lag(datats,k=-i+1),rep(0,length=freqdata-i+1))}
dataind&lt;-dataMAT[c(-1:(-freqdata+1),-(length(dataMAT[,1])-freqdata+1):-(length(dataMAT[,1]))),]
dataind2&lt;-data.frame(dataind)
lm1&lt;-lm(X1~.,data=dataind2)
lm2&lt;-lm(X1~X2+dataind2[,length(dataind2[1,])],data=dataind2)
library(lmtest)
library(car)
bptest1&lt;-bptest(lm1)
bptest2&lt;-bptest(lm2)
gqtest1&lt;-gqtest(lm1)
ncvtest1&lt;-ncvTest(lm1)
ncvtest2&lt;-ncvTest(lm2)
if(force.log==""level"") 
  {aslog&lt;-""n""}else
    {{if(force.log==""log"")
       {aslog&lt;-""y""}else
         {if(bptest1$p.value&lt;0.1|bptest2$p.value&lt;0.1|gqtest1$p.value&lt;0.1|ncvtest1$p&lt;0.1|ncvtest2$p&lt;0.1)
           {aslog&lt;-""y""}else
              {aslog&lt;-""n""}}}}
if(aslog==""y"")
  {dataa&lt;-log(datats)}else
    {dataa&lt;-datats}
startLa&lt;-startdata[1]+trunc((1/freqdata)*(length(dataa)-horiz))
startLb&lt;-1+((1/freqdata)*(length(dataa)-horiz)-trunc((1/freqdata)*(length(dataa)-horiz)))*freqdata
startL&lt;-c(startLa,startLb)
K&lt;-ts(rep(dataa,length=length(dataa)-horiz),frequency=freqdata,start=startdata)
L&lt;-ts(dataa[-1:-(length(dataa)-horiz)],frequency=freqdata,start=startL)
library(strucchange)
efp1rc&lt;-efp(lm1,data=dataind2,type=""Rec-CUSUM"")
efp2rc&lt;-efp(lm2,data=dataind2,type=""Rec-CUSUM"")
efp1rm&lt;-efp(lm1,data=dataind2,type=""Rec-MOSUM"")
efp2rm&lt;-efp(lm2,data=dataind2,type=""Rec-MOSUM"")
plot(efp2rc)
lines(efp1rc$process,col =""darkblue"")
plot(efp2rm)
lines(efp1rm$process,col=""darkblue"")
gefp2&lt;-gefp(lm2,data=dataind2)
plot(gefp2)
plot(dataa)
pacf(dataa)
sctest(efp2rc)
cat(""log series,y/n?:"",aslog)
</code></pre>

<p>then i want to run arima to get the forecasts</p>

<pre><code>library(tseries)
library(forecast)
max.sdiff&lt;-3
arima.force.seasonality&lt;-""n""
kpssW&lt;-kpss.test(dataa,null=""Level"")
ppW&lt;-tryCatch({ppW&lt;-pp.test(dataa,alternative=""stationary"")},error=function(ppW){ppW&lt;-list(error=""TRUE"",p.value=0.99)})
adfW&lt;-adf.test(dataa,alternative=""stationary"",k=trunc((length(dataa)-1)^(1/3)))
if(kpssW$p.value&lt;0.05|ppW$p.value&gt;0.05|adfW$p.value&gt;0.05)
  {ndiffsW=1}else
    {ndiffsW=0}
aaW&lt;-auto.arima(dataa,max.D=max.sdiff,d=ndiffsW,seasonal=TRUE,allowdrift=FALSE,stepwise=FALSE,trace=TRUE,seasonal.test=""ch"")
orderWA&lt;-c(aaW$arma[1],aaW$arma[6],aaW$arma[2])
orderWS&lt;-c(aaW$arma[3],aaW$arma[7],aaW$arma[4])
if(sum(aaW$arma[1:2])==0)
  {orderWA[1]&lt;-1}else
    {NULL}
if(arima.force.seasonality==""y"")
  {if(sum(aaW$arma[3:4])==0)
    {orderWS[1]&lt;-1}else
      {NULL}}else
        {NULL}
Arimab&lt;-Arima(dataa,order=orderWA,seasonal=list(order=orderWS),method=""ML"")
fArimab&lt;-forecast(Arimab,h=8,simulate=TRUE,fan=TRUE)
if(aslog==""y"")
  {fArimabF&lt;-exp(fArimab$mean[1:horiz])}else
    {fArimabF&lt;-fArimab$mean[1:horiz]}
plot(fArimab,main=""ARIMA Forecast"",sub=""blue=fitted,red=actual"") 
lines(dataa,col=""red"",lwd=2) #changes colour and size of dataa
lines(ts(append(fitted(Arimab),fArimab$mean[1]),frequency=freqdata,start=startdata),col=""blue"",lwd=2)
if(aslog==""y"")
  {Arimab2f&lt;-exp(fArimab$mean[1:horiz])}else
    {Arimab2f&lt;-fArimab$mean[1:horiz]} 
start(fArimab$mean)-&gt;startARIMA
ArimaALTf&lt;-ts(prettyNum(Arimab2f,big.interval=3L,big.mark="",""),frequency=freqdata,start=startARIMA)
View(ArimaALTf,title=""ARIMA2 final forecast"") #brings up table of the forecasts
summary(Arimab)
</code></pre>

<p>If anyone can help me figure out how to forecast this data with the negative i will be really grateful!!</p>
"
