postid,postdate,tag,TFMvalue,comparitive_count,Normalized_count
1533,1248813540,0,0.666666667,1,0.016666667
1534,1248813780,0,0.666666667,0,0
1535,1248813780,0,0.666666667,3,0.05
1536,1248814020,0,0.666666667,6,0.1
1537,1305727740,0,0.8,0,0
1538,1291981920,0,0.833333333,0,0
1539,1321289820,0,0.5,5,0.083333333
1540,1248823500,0,0.8,1,0.016666667
1541,1248813840,0,0.8,2,0.033333333
1542,1294237440,0,0.65,0,0
1543,1328777460,0,0.666666667,0,0
1544,1358978460,0,0.857142857,2,0.033333333
1545,1294948500,0,0.5,0,0
1546,1242810420,0,0.666666667,6,0.1
1547,1242810660,0,0.777777778,2,0.033333333
1548,1321295160,0,0.75,3,0.05
1549,1242810720,0,0.666666667,0,0
1550,1323280320,0,0.833333333,1,0.016666667
1551,1242810660,0,0.75,0,0
1552,1242819780,0,0.75,0,0
1553,1242810660,0,0.875,0,0
1554,1328421840,0,0.8,1,0.016666667
1555,1378937640,0,0.75,0,0
1556,1387666560,0,0.75,1,0.016666667
1557,1350474600,0,0.8,0,0
1558,1367125680,0,0.666666667,0,0
1559,1367953020,0,0.666666667,0,0
1560,1400682780,0,0.6,1,0.016666667
1561,1401626460,0,0.833333333,0,0
1562,1405097160,0,0.8,2,0.033333333
1563,1285855620,0,0.7,1,0.016666667
1564,1285859340,0,0.666666667,15,0.25
1565,1285855980,0,0.666666667,2,0.033333333
1566,1285856100,0,0.833333333,2,0.033333333
1567,1285856820,0,0.666666667,0,0
1568,1285857420,0,0.5,1,0.016666667
1569,1285860780,0,0.666666667,1,0.016666667
1570,1285855800,0,0.894736842,2,0.033333333
1571,1285856820,0,0.666666667,0,0
1572,1285856160,0,0.666666667,2,0.033333333
1573,1285855860,0,0.75,4,0.066666667
1574,1285906200,0,0.714285714,1,0.016666667
1575,1285971480,0,0.6,1,0.016666667
1576,1285856100,0,0.666666667,0,0
1577,1285857540,0,0.857142857,1,0.016666667
1578,1285856160,0,0.75,4,0.066666667
1579,1285888500,0,0.666666667,1,0.016666667
1580,1322305680,0,0.75,1,0.016666667
1581,1285867800,0,0.833333333,0,0
1582,1285876500,0,0.928571429,8,0.133333333
1583,1285916400,0,0.666666667,1,0.016666667
1584,1285951080,0,0.666666667,2,0.033333333
1585,1285982160,0,0.666666667,8,0.133333333
1586,1291980540,0,0.857142857,1,0.016666667
1587,1285919940,0,0.75,1,0.016666667
1588,1285953780,0,0.714285714,3,0.05
1589,1232881500,0,0.826086957,1,0.016666667
1590,1232883360,0,0.888888889,2,0.033333333
1591,1313511060,0,0.714285714,2,0.033333333
1592,1313511840,0,0.866666667,7,0.116666667
1593,1313511180,0,0.666666667,2,0.033333333
1594,1313513400,0,0.75,1,0.016666667
1595,1313511240,0,0.75,0,0
1596,1313511360,0,0.875,3,0.05
1597,1313511660,0,0.8,1,0.016666667
1598,1359407460,0,0.8,0,0
1599,1359407520,0,0.833333333,9,0.15
1600,1359407520,0,0.666666667,1,0.016666667
1601,1359407520,0,0.833333333,0,0
1602,1359407520,0,0.75,1,0.016666667
1603,1377284400,0,0.666666667,7,0.116666667
1604,1377286140,0,0.8,12,0.2
1605,1377285720,0,0.833333333,0,0
1606,1377285480,0,0.928571429,2,0.033333333
1607,1396803660,0,0.666666667,0,0
1608,1377284820,0,0.8,6,0.1
1609,1291769820,0,0.857142857,2,0.033333333
1610,1291770120,0,0.875,1,0.016666667
1611,1291770780,0,0.8,17,0.283333333
1612,1291770060,0,0.833333333,0,0
1613,1291770120,0,0.75,6,0.1
1614,1291770300,0,0.666666667,9,0.15
1615,1291786200,0,0.666666667,18,0.3
