postid,postdate,tag,TFMvalue,comparitive_count,Normalized_count,text_entropy,concept_entropy,UMASS(coherence),TFIDF(informativeness),polarity,normalized_text_entropy,normalized_concept_entropy,normalized_UMASS,normalized_TFIDF,normalized_polarity,tagtext,posttext
1533,1248813540,0,0.666666667,1,0.016666667,4.147475585,0,1.1,1.559717483,-1,4.147475585,0,1.1,1.559717483,-1,loops,"In Java, is it legal to call remove on a collection when iterating through the collection using a foreach loop?For instance: As an addendum, is it legal to remove items that have not been iterated over yet? For instance, "
1534,1248813780,0,0.666666667,0,0,4.280518759,1,0.609950835,2.006465526,3,4.280518759,1,0.609950835,2.006465526,3,loops,To safely remove from a collection while iterating over it you should use an Iterator. For example:
1535,1248813780,0,0.666666667,3,0.05,4.461699621,2,1.1,2.349065535,4,4.461699621,2,1.1,2.349065535,4,loops,"You don't want to do that. It can cause undefined behavior depending on the collection. You want to use an directly. Although the for each construct is syntactic sugar and is really using an iterator, it hides it from your code so you can't access it to call. Instead write your code: Note that the code calls, not. Even if you are removing an element that has not been iterated over yet, you still don't want to modify the collection and then use the. It might modify the collection in a way that is surprising and affects future operations on the."
1536,1248814020,0,0.666666667,6,0.1,4.314520812,3,0.726866245,3.055772155,3,4.314520812,3,0.726866245,3.055772155,3,loops,"The java design of the ""enhanced for loop"" was to not expose the iterator to code, but the only way to safely remove an item is to access the iterator. So in this case you have to do it old school: If in the real code the enhanced for loop is really worth it, then you could add the items to a temporary collection and call removeAll on the list after the loop. EDIT (re addendum): No, changing the list in any way outside the iterator.remove() method while iterating will cause problems. The only way around this is to use a CopyOnWriteArrayList, but that is really intended for concurrency issues. The cheapest (in terms of lines of code) way to remove duplicates is to dump the list into a LinkedHashSet (and then back into a List if you need). This preserves insertion order while removing duplicates."
1537,1305727740,0,0.8,0,0,4.274026395,4,1.1,2.78105041,0,4.274026395,4,1.1,2.78105041,0,loops,"I didn't know about iterators, however here's what I was doing until today to remove elements from a list inside a loop:This is always working, and could be used in other languages or structs not supporting iterators."
1538,1291981920,0,0.833333333,0,0,4.051272244,5,1.1,2.108359667,1,4.051272244,5,1.1,2.108359667,1,loops,"Yes you can use the for-each loop,To do that you have to maintain a separate list to hold removing items and then remove that list from names list using method,"
1539,1321289820,0,0.5,5,0.083333333,4.306096303,0,0.691350457,1.600725364,0,4.306096303,0,0.691350457,1.600725364,0,loops,"Make sure this is not code smell.Is it possible to reverse the logic and be 'inclusive' rather than 'exclusive'? The situation that led me to this page involved old code that looped through a List using indecies to remove elements from the List. I wanted to refactor it to use the foreach style. It looped through an entire list of elements to verify which ones the user had permission to access, and removed the ones that didn't have permission from the list. To reverse this and not use the remove: When would ""remove"" be preferred? One consideration is if gien a large list or expensive ""add"", combined with only a few removed compared to the list size.It might be more efficient to only do a few removes rather than a great many adds.But in my case the situation did not merit such an optimization."
1540,1248823500,0,0.8,1,0.016666667,4.256930681,0,0.635922986,1.77348919,-1,4.256930681,0,0.635922986,1.77348919,-1,loops,"Those saying that you can't safely remove an item from a collection except through the Iterator aren't quite correct, you can do it safely using one of the concurrent collections such as ConcurrentHashMap."
1541,1248813840,0,0.8,2,0.033333333,4.231913779,0,0.645749604,2.037797504,0,4.231913779,0,0.645749604,2.037797504,0,loops,"That will throw an exception usually.As noted before, use an iterator."
1542,1294237440,0,0.65,0,0,4.386101026,0,1.1,3.035692834,1,4.386101026,0,1.1,3.035692834,1,loops,
