postid,postdate,tag,TFMvalue
1,1221493140,2,0.75
2,1221493320,2,0.625
3,1228862280,2,0.647058824
4,1317297420,2,0.6
5,1317295020,2,0.75
6,1224748980,2,0.5
7,1221497280,2,0.666666667
8,1221541680,2,0.75
9,1221493440,2,0.571428571
10,1289180280,2,0.571428571
11,1316094900,2,0.666666667
12,1328586660,2,0.666666667
13,1395355920,2,0.5
14,1233244380,2,0.5
15,1233244680,2,0.5
16,1231807680,2,0.75
17,1231807980,2,0.5
18,1354464060,2,0.846153846
19,1354464240,2,0.666666667
20,1354464240,2,0.75
21,1354465740,2,0.6
22,1354810320,2,0.75
23,1354526040,2,0.666666667
24,1354853340,2,0.666666667
25,1354853340,2,0.583333333
26,1363576200,2,0.8
27,1388820240,2,0.857142857
28,1360845180,2,0.833333333
29,1401811860,2,0.75
30,1383493140,2,0.666666667
31,1388054580,2,0.625
32,1232179800,2,0.5
33,1232180700,2,0.714285714
34,1232179980,2,0.666666667
35,1283265660,2,0.8
36,1232206620,2,0.714285714
37,1386719640,2,0.6
38,1225460160,2,0.5
39,1225460820,2,0.75
40,1225460400,2,0.6
41,1225463100,2,0.75
42,1225461120,2,0.666666667
43,1225461480,2,0.571428571
44,1225460760,2,0.75
45,1322141160,2,0.666666667
46,1385060940,2,0.833333333
47,1225460760,2,0.857142857
48,1388302920,2,0.666666667
49,1387189860,2,0.75
50,1267123500,2,0.8
51,1267124040,2,0.916666667
52,1267124340,2,0.818181818
53,1267124520,2,0.8
54,1267124700,2,0.666666667
55,1362463560,2,0.75
56,1259213640,2,0.8
57,1259214720,2,0.8
58,1259215260,2,0.666666667
59,1330419240,2,0.6
60,1259217720,2,0.666666667
61,1259214540,2,0.8
62,1259216820,2,0.714285714
63,1320794280,2,0.666666667
64,1395975960,2,0.666666667
65,1249103280,2,0.857142857
66,1249135620,2,0.9
67,1254131160,2,0.8
68,1249103640,2,0.5
69,1249104960,2,0.666666667
70,1365768840,2,0.666666667
71,1382299920,2,0.705882353
72,1254130740,2,0.75
73,1373353740,2,0.8
74,1249136220,2,0.6
75,1239664860,2,0.615384615
76,1239665100,2,0.5
77,1384339080,2,0.6
78,1376007900,2,0.8
79,1376008260,2,0.571428571
80,1376009100,2,0.6
81,1244526180,2,0.571428571
82,1244526420,2,0.875
83,1244526480,2,0.666666667
84,1244526780,2,0.666666667
85,1244530380,2,0.857142857
86,1244526720,2,0.666666667
87,1244526480,2,0.8
88,1350355260,2,0.666666667
89,1374063900,2,0.75
90,1244526360,2,0.666666667
91,1340166660,2,0.818181818
92,1399723140,2,0.75
93,1244634720,2,0.75
94,1244635320,2,0.923076923
95,1244640120,2,0.666666667
96,1244637060,2,0.75
97,1267631880,2,0.833333333
98,1325716020,2,0.8
99,1244635800,2,0.5
100,1244636040,2,0.833333333
101,1336453740,2,0.666666667
102,1386346440,2,0.8
103,1268337300,2,0.8
104,1268338500,2,0.6
105,1268337720,2,0.666666667
106,1268337600,2,0.833333333
107,1268338020,2,0.75
108,1268339220,2,0.5
109,1268340300,2,0.833333333
110,1267831980,2,0.857142857
111,1267832340,2,0.5
112,1268022840,2,0.6
113,1267832640,2,0.75
114,1268058840,2,0.7
115,1372069500,2,0.8
116,1372069860,2,0.571428571
117,1281371280,2,0.75
118,1281371400,2,0.555555556
119,1247714640,2,0.666666667
120,1247716740,2,0.666666667
121,1247716560,2,0.666666667
122,1324852680,2,0.666666667
123,1324853160,2,0.8
124,1324863480,2,0.571428571
125,1300722780,2,0.75
126,1300723500,2,0.666666667
127,1300723200,2,0.6
